Combined,Elevation Band,% of 2/1 Average,SWE (in.),SCA,Area (mi2),Vol (af),Pillows,Surveys
1. Central Columbia,"3,000",120,8.7,68.1,658.21,"305,324",16.1 ( 2 ),NA
,"4,000",119,11.8,71,547.88,"344,585",11.6 ( 3 ),NA
,"5,000",115,16.5,81.5,526.64,"463,193",13.4 ( 2 ),NA
,"6,000",107,21,89.8,324.33,"363,583",29.1 ( 1 ),NA
,"7,000",96,22.6,91.6,75.39,"90,749",NA,NA
,"8,000",17,3.8,87,3.09,619,NA,NA
2. Central Puget Sound,"3,000",175,2.7,16.7,554.64,"81,008",12.8 ( 2 ),NA
,"4,000",200,9.4,46.4,450.68,"226,963",24.1 ( 2 ),NA
,"5,000",161,17.5,74.6,182.34,"170,285",NA,NA
,"6,000",110,21.6,86.5,45.56,"52,546",NA,NA
,"7,000",98,23.8,88.4,4.54,"5,752",NA,NA
,"8,000",139,49.6,91.2,0.29,765,NA,NA
,">9,000",0,0,81.8,0.1,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000",79,0.3,4,2525.3,"41,604",0.3 ( 1 ),NA
,"3,000",76,1.1,10.6,1622.21,"92,863",8.1 ( 4 ),NA
,"4,000",107,4.8,34.5,681.95,"174,156",16.5 ( 3 ),NA
,"5,000",142,13.8,70.9,205.6,"150,938",21.6 ( 2 ),NA
,"6,000",125,27,90.8,33.49,"48,169",NA,NA
,"7,000",128,41.7,93,8.59,"19,104",NA,NA
,"8,000",168,81.6,97.9,1.45,"6,303",NA,NA
,"9,000",154,100,96.7,0.68,"3,603",NA,NA
,">10,000",179,105.4,97.6,0.29,"1,628",NA,NA
4. Klamath,"4,000",50,1.2,13.8,4327.63,"267,250",4.6 ( 3 ),2.2 ( 1 )
,"5,000",85,4.5,40,2236.5,"536,952",13.2 ( 9 ),NA
,"6,000",112,10.9,64.7,550.68,"321,079",19.5 ( 2 ),NA
,"7,000",119,15.9,77.8,83.59,"71,037",6.2 ( 1 ),NA
,"8,000",130,26.4,98.2,0.87,"1,224",NA,NA
5. Lewis,"2,000",18,0.1,0.9,270.95,"1,574",0.7 ( 2 ),NA
,"3,000",50,1.4,8.6,216.8,"15,931",21.9 ( 3 ),NA
,"4,000",78,3.2,15.1,76.16,"12,868",42.8 ( 2 ),NA
,"5,000",137,14.4,52.6,11.78,"9,038",NA,NA
,"6,000",107,28.7,80.3,3.96,"6,068",NA,NA
,"7,000",126,42,75.2,0.68,"1,514",NA,NA
,">8,000",106,38.8,69.5,0.29,598,NA,NA
6. Lower Cowlitz,"3,000",60,2.1,17.5,134.75,"15,170",7.4 ( 1 ),NA
,"4,000",110,9.5,56.5,41.51,"21,119",21.0 ( 1 ),NA
,"5,000",119,15.2,63,6.85,"5,556",NA,NA
,"6,000",87,13.3,50.3,1.35,958,NA,NA
,"7,000",126,18.4,61.4,0.77,757,NA,NA
7. Naches,"4,000",137,5.4,45.2,324.23,"93,622",17.8 ( 2 ),NA
,"5,000",142,10,58.8,237.45,"126,491",33.1 ( 2 ),NA
,"6,000",130,19.4,83.5,47.78,"49,341",NA,NA
,"7,000",110,32.6,98.7,0.97,"1,679",NA,NA
8. North Puget Sound,"1,000",18,0,0.1,325.1,201,NA,NA
,"2,000",60,0.4,2.8,423.26,"9,116",11.8 ( 1 ),NA
,"3,000",112,2.7,15.8,515.25,"73,822",22.1 ( 2 ),NA
,"4,000",131,8.6,42,492.47,"225,590",23.3 ( 4 ),NA
,"5,000",116,15.4,68.4,385.04,"316,700",27.9 ( 1 ),NA
,"6,000",96,18.1,85.9,152.22,"147,302",20.2 ( 1 ),NA
,"7,000",69,15.9,87.7,18.05,"15,337",NA,NA
,"8,000",31,7.8,95.1,1.16,481,NA,NA
9. Olympic,"4,000",94,6.9,31,130.6,"48,111",18.3 ( 2 ),NA
,"5,000",107,20.5,75.5,86.87,"94,843",15.3 ( 1 ),NA
,">6,000",110,25,86.3,20.27,"26,997",NA,NA
10. Rogue-Umpqua,"3,000",0,0,0,1687.94,201,0.7 ( 1 ),1.0 ( 4 )
,"4,000",20,0.4,2.3,916.99,"18,211",2.9 ( 2 ),5.4 ( 4 )
,"5,000",85,6.3,30.9,554.25,"185,710",14.6 ( 2 ),7.7 ( 1 )
,"6,000",92,12.5,52.8,194.89,"129,949",17.4 ( 1 ),NA
,"7,000",102,20.9,76.2,16.12,"17,965",NA,NA
,"8,000",123,27.8,86.6,0.68,"1,001",NA,NA
11. South Puget Sound,"2,000",2,0,0.1,408.01,192,1.9 ( 2 ),NA
,"3,000",20,0.3,2.6,376.45,"6,975",7.6 ( 7 ),NA
,"4,000",70,2.2,13.1,222.59,"25,621",11.2 ( 1 ),NA
,"5,000",133,13.6,59.1,99.61,"72,225",31.9 ( 2 ),NA
,"6,000",118,26.3,87.5,33.88,"47,448",NA,NA
,"7,000",116,36.8,82.3,3.96,"7,759",NA,NA
,"8,000",140,91.9,87.1,0.97,"4,732",NA,NA
,"9,000",65,38.6,86.9,0.48,993,NA,NA
,"10,000",200,173.5,88,0.87,"8,037",NA,NA
,"11,000",219,72.2,82.4,0.68,"2,600",NA,NA
,"12,000",180,313.2,92.1,0.19,"3,225",NA,NA
,">13,000",197,504,95.2,0.29,"7,783",NA,NA
12. Upper Columbia,"3,000",122,7.5,68.4,2568.16,"1,031,266",NA,NA
,"4,000",121,10,76.3,1450.78,"776,247",9.1 ( 4 ),NA
,"5,000",121,13.1,77.7,767.28,"536,837",11.5 ( 2 ),NA
,"6,000",113,16.7,85.2,566.03,"504,040",NA,NA
,"7,000",84,15.2,92.9,146.04,"118,276",NA,NA
,"8,000",37,7.3,97.1,3.38,"1,310",NA,NA
13. Upper Cowlitz,"3,000",48,0.4,2.8,282.24,"6,669",19.8 ( 1 ),NA
,"4,000",118,3.4,17.4,299.9,"55,151",30.8 ( 3 ),NA
,"5,000",156,14.2,54.9,108.59,"82,118",NA,NA
,"6,000",127,30.1,86.8,18.92,"30,368",NA,NA
,"7,000",128,41.4,81.2,3.19,"7,030",NA,NA
,"8,000",126,67.7,90.3,0.1,348,NA,NA
,"9,000",229,224.9,91,0.48,"5,789",NA,NA
,"10,000",19,35.4,86.4,0.1,181,NA,NA
14. Upper Deschutes-Crooked,"4,000",99,2.8,35,3836.21,"569,627",15.5 ( 1 ),3.0 ( 2 )
,"5,000",107,7.4,60.8,1479.45,"583,481",19.5 ( 5 ),13.9 ( 3 )
,"6,000",106,13.6,62.7,250.1,"180,935",NA,36.3 ( 1 )
,"7,000",115,25.2,82.4,39.58,"53,292",NA,NA
,"8,000",128,42.1,99.4,2.32,"5,204",NA,NA
,"9,000",138,45.6,99.8,0.68,"1,642",NA,NA
15. Upper Yakima,"3,000",125,6.3,56.9,492.47,"164,729",12.0 ( 1 ),NA
,"4,000",120,10.3,66.7,358.59,"196,249",20.2 ( 1 ),NA
,"5,000",125,16.1,85.2,160.52,"137,593",14.1 ( 1 ),NA
,"6,000",114,22.1,95.3,21.24,"25,068",NA,NA
,"7,000",112,42.6,99.9,0.58,"1,315",NA,NA
16. Willamette,0,NA,0,0,4941.53,0,0.0 ( 1 ),NA
,"1,000",1,0,0,1975.2,2,0.3 ( 1 ),NA
,"2,000",0,0,0,1620.57,7,0.3 ( 2 ),NA
,"3,000",17,0.2,1.5,1454.74,"14,803",3.5 ( 6 ),NA
,"4,000",74,2.6,16.7,883.31,"124,600",16.6 ( 8 ),NA
,"5,000",107,9,47.2,399.91,"192,734",25.3 ( 1 ),NA
,"6,000",105,17.9,65.2,66.8,"63,776",NA,NA
,"7,000",112,37.4,82.9,10.91,"21,751",NA,NA
,"8,000",136,69.8,94.2,2.41,"8,985",NA,NA
,"9,000",161,71.5,91.7,0.87,"3,311",NA,NA
