 ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (af), Area (mi2),Pillows,Surveys
1. Alvord Lake,86,4.6,49.2,"79,066",324,NA,NA
2. Bitterroot,92,5.1,50.8,"535,749","1,952",11.9 ( 4 ),3.2 ( 1 )
3. Carson,52,2,20.8,"153,076","1,405",9.5 ( 6 ),1.8 ( 1 )
4. Clearwater Basin,129,4.5,38.4,"1,815,116","7,488",17.4 ( 11 ),NA
5. Clover Valley and Franklin,47,1.2,44.8,"265,311","4,048",7.2 ( 2 ),12.0 ( 1 )
6. Donner und Blitzen,115,10,89.1,"118,590",222,20.6 ( 2 ),NA
7. Dry Lake Valley,11,0.2,4.8,"2,598",289,NA,NA
8. Eastern Nevada,41,1.3,32.5,"307,749","4,372",4.0 ( 8 ),6.6 ( 1 )
9. Flathead,93,2.5,24.8,"992,583","7,526",13.5 ( 11 ),9.6 ( 10 )
10. Grande Ronde-Burnt-Powder_Imnaha,106,6.9,62,"1,953,383","5,312",13.0 ( 10 ),9.7 ( 3 )
11. Guano,36,0.7,9.2,"77,258","2,036",NA,NA
12. Harney-Malheur Lakes,100,4.7,55,"69,446",276,NA,NA
13. John Day,95,5.5,51.2,"441,269","1,502",15.0 ( 2 ),NA
14. Kootenai,110,2.8,22.4,"249,885","1,673",12.9 ( 5 ),17.2 ( 1 )
15. Lake County-Goose Lake,86,3.7,34.2,"710,604","3,602",12.0 ( 2 ),11.4 ( 1 )
16. Little Humboldt,78,3.3,38.2,"72,987",419,7.8 ( 3 ),NA
17. Lower Clark Fork,175,5.7,46.5,"443,517","1,465",22.0 ( 3 ),18.3 ( 2 )
18. Lower Humboldt,34,1,13.3,"13,908",274,4.1 ( 1 ),NA
19. Lower Pend Oreille,131,8.3,52.9,"57,380",129,17.5 ( 1 ),NA
20. Lower Snake-Asotin,89,2.8,30.5,"48,302",328,4.0 ( 2 ),NA
