, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Surveys
21. Lower Snake-Tucannon,"4,000-5,000'",114,4.4,55.4,"15,551",66,NA,NA
,"5,000-6,000'",141,10.1,87,"22,189",41,NA,NA
,"6,000-7,000'",157,16.1,95.3,"1,579",2,NA,NA
22. Lower Yakima,"3,000-4,000'",170,4.7,50.1,"79,742",315,NA,NA
,"4,000-5,000'",123,8.7,72.7,"58,541",126,NA,NA
,"5,000-6,000'",118,11.9,82.5,"24,937",39,16.1 ( 2 ),NA
,"6,000-7,000'",128,16.5,93.5,"7,832",9,NA,NA
23. Malheur,"5,000-6,000'",114,6.6,74.8,"304,844",863,11.1 ( 3 ),NA
,"6,000-7,000'",113,10.4,80.6,"57,068",103,NA,NA
,"7,000-8,000'",124,15.7,96,"21,890",26,NA,NA
,"8,000-9,000'",118,17.6,100,363,0,NA,NA
24. Middle Humboldt,"6,000-7,000'",40,0.7,14.7,"17,738",475,NA,NA
,"7,000-8,000'",84,3.7,53.9,"28,501",144,NA,8.7 ( 1 )
,"8,000-9,000'",94,6.4,82.6,"4,496",13,NA,NA
,"9,000-10,000'",91,6.6,89,204,1,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",44,1,17.9,"15,995",312,NA,NA
,"8,000-9,000'",57,2.2,33.2,"18,106",158,NA,NA
,"9,000-10,000'",65,3.4,51.1,"13,025",71,NA,NA
,"10,000-11,000'",72,4.6,65.8,"6,273",26,NA,NA
,"11,000-12,000'",68,5,83.4,798,3,NA,NA
26. Northern Great Basin,"6,000-7,000'",36,0.9,12.2,"92,542","1,932",3.4 ( 1 ),NA
,"7,000-8,000'",85,4.5,51.6,"60,619",253,5.8 ( 1 ),NA
,"8,000-9,000'",96,8.9,82.6,"19,503",41,NA,NA
,"9,000-10,000'",111,11.8,98.7,365,1,NA,NA
27. Panhandle Basins,"3,000-4,000'",86,1.1,11,"39,768",702,3.9 ( 1 ),NA
,"4,000-5,000'",100,2.3,18.8,"61,222",508,NA,NA
,"5,000-6,000'",130,7.2,43.7,"131,614",344,26.7 ( 2 ),NA
,"6,000-7,000'",145,13.4,73.1,"62,605",88,NA,NA
,"7,000-8,000'",122,12.4,69.7,"1,532",2,NA,NA
28. Reese,"7,000-8,000'",41,1.2,19.8,"17,650",282,8.6 ( 1 ),NA
,"8,000-9,000'",68,2.6,37.5,"21,107",150,7.1 ( 1 ),NA
,"9,000-10,000'",87,4.8,62.8,"12,039",47,NA,NA
,">10,000'",81,5.4,74.7,"3,233",11,NA,NA
29. Rock,"5,000-6,000'",6,0,0.7,"1,372",591,NA,NA
,"6,000-7,000'",70,1.9,29.4,"21,858",212,NA,2.1 ( 1 )
,"7,000-8,000'",95,6.7,81.5,"10,454",29,8.4 ( 1 ),NA
,"8,000-9,000'",107,11.1,96.1,"1,943",3,NA,NA
30. Salmon Basin,"5,000-6,000'",92,4.1,57.8,"448,650","2,058",12.0 ( 1 ),NA
,"6,000-7,000'",98,6.4,70.8,"1,220,057","3,565",15.4 ( 3 ),NA
,"7,000-8,000'",96,8.4,76.8,"1,704,786","3,809",6.4 ( 1 ),NA
,"8,000-9,000'",87,8.9,80,"914,247","1,926",9.3 ( 5 ),NA
,"9,000-10,000'",84,9.4,87,"251,531",502,7.5 ( 1 ),NA
,"10,000-11,000'",82,9.1,87.2,"33,893",70,NA,NA
,"11,000-12,000'",82,8.3,79.4,"1,197",3,NA,NA
31. Silver,"5,000-6,000'",103,4.8,49.5,"108,742",428,NA,NA
,"6,000-7,000'",115,9.2,85,"1,705",3,NA,NA
32. Silvies,"4,000-5,000'",129,5.4,73,"206,966",713,NA,NA
,"5,000-6,000'",112,6.9,75.9,"211,087",570,6.9 ( 1 ),NA
,"6,000-7,000'",99,7.7,64.7,"12,489",31,13.0 ( 1 ),NA
,"7,000-8,000'",121,15.5,91.7,"1,591",2,NA,NA
33. Southern Snake Basins,"5,000-6,000'",43,1.3,22.1,"558,270","8,108",4.6 ( 1 ),NA
,"6,000-7,000'",86,4.9,71.2,"848,525","3,280",5.5 ( 5 ),5.8 ( 3 )
,"7,000-8,000'",99,8.3,91.2,"401,855",908,8.7 ( 4 ),3.9 ( 2 )
,"8,000-9,000'",96,10,93.4,"88,983",166,9.8 ( 3 ),NA
,"9,000-10,000'",93,10.8,93.3,"20,804",36,NA,NA
,"10,000-11,000'",93,10.1,88.4,884,2,NA,NA
34. Spokane,"3,000-4,000'",133,2.3,23,"200,050","1,665",3.9 ( 1 ),NA
,"4,000-5,000'",142,3.5,29,"192,341","1,020",12.8 ( 4 ),NA
,"5,000-6,000'",199,7,48.8,"153,293",412,14.2 ( 3 ),NA
,"6,000-7,000'",252,11,69.8,"27,996",48,NA,NA
,"7,000-8,000'",288,14.5,94,372,0,NA,NA
35. St. Mary,"4,000-5,000'",101,3.8,53.9,"33,232",166,4.6 ( 1 ),NA
,"5,000-6,000'",72,3.6,46.1,"39,273",207,NA,NA
,"6,000-7,000'",65,3.4,36.9,"27,969",153,NA,NA
,"7,000-8,000'",80,5.4,54.8,"29,269",101,NA,NA
,">8,000'",93,6.4,60.5,"6,983",21,NA,NA
36. Truckee,"5,000-6,000'",17,0.2,2.3,"5,374",669,NA,NA
,"6,000-7,000'",40,2,20.2,"51,139",479,7.7 ( 5 ),NA
,"7,000-8,000'",69,6.6,55.3,"68,900",196,8.0 ( 1 ),NA
,"8,000-9,000'",77,9.8,77.1,"31,161",60,13.5 ( 3 ),NA
,"9,000-10,000'",76,11,81.4,"8,816",15,NA,NA
,"10,000-11,000'",73,10.5,88.1,543,1,NA,NA
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",30,0.3,3.5,"15,418",890,1.9 ( 1 ),NA
,"4,000-5,000'",83,3.5,34.3,"88,601",471,12.8 ( 2 ),NA
,"5,000-6,000'",114,8.6,60.8,"33,075",72,14.7 ( 4 ),NA
38. Upper Humboldt,"5,000-6,000'",8,0.1,2.6,"11,067","2,395",NA,0.0 ( 1 )
,"6,000-7,000'",71,2.2,44.9,"226,844","1,939",3.3 ( 1 ),3.5 ( 2 )
,"7,000-8,000'",93,6.1,85.3,"142,723",437,5.0 ( 2 ),5.3 ( 3 )
,"8,000-9,000'",100,9,93.4,"73,946",155,9.1 ( 4 ),12.6 ( 2 )
,"9,000-10,000'",96,10,94.1,"46,107",87,NA,NA
,">10,000'",91,9.7,94.7,"10,695",21,NA,NA
39. Walker,"6,000-7,000'",7,0,4.4,"1,559",673,NA,NA
,"7,000-8,000'",27,0.5,16,"16,008",616,4.3 ( 1 ),NA
,"8,000-9,000'",57,2.4,42.4,"49,222",381,8.0 ( 1 ),NA
,"9,000-10,000'",76,7.4,75.6,"71,604",180,10.0 ( 4 ),NA
,"10,000-11,000'",76,9.7,87.2,"40,768",78,NA,NA
,">11,000'",74,8.1,88.5,"4,807",11,NA,NA
40. West Central Basins,"4,000-5,000'",93,5.1,63.3,"413,235","1,513",4.6 ( 2 ),NA
