,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,86,127,4.6,8.9,81.8,"153,397",323.84,NA,NA
2. Bitterroot,92,113,5.1,7.9,64,"821,965",1951.65,11.9 ( 4 ),15.4 ( 4 )
3. Carson,52,83,2,4.4,32.3,"330,279",1405.03,9.5 ( 6 ),14.9 ( 7 )
4. Clearwater Basin,129,145,4.5,6.5,47.1,"2,607,397",7488.26,17.4 ( 11 ),20.8 ( 11 )
5. Clover Valley and Franklin,47,90,1.2,2.7,53.2,"580,460",4050.79,7.2 ( 2 ),11.8 ( 2 )
6. Donner und Blitzen,115,134,10,14.1,95.3,"166,763",221.72,20.6 ( 2 ),29.2 ( 2 )
7. Dry Lake Valley,11,19,0.2,0.8,15.2,"12,055",288.61,NA,NA
8. Eastern Nevada,41,67,1.3,2.8,41.9,"642,505",4372.12,4.0 ( 8 ),4.6 ( 8 )
9. Flathead,93,124,2.5,5.1,42.8,"2,027,419",7521.27,13.5 ( 11 ),14.9 ( 13 )
10. Grande Ronde-Burnt-Powder_Imnaha,106,124,6.9,10,74.8,"2,846,795",5311.41,13.0 ( 10 ),15.7 ( 10 )
11. Guano,36,141,0.7,3.9,43.1,"420,086",2038.62,NA,0.7 ( 1 )
12. Harney-Malheur Lakes,100,138,4.7,7.1,65.4,"104,965",275.58,NA,NA
13. John Day,95,103,5.5,7.9,58.8,"630,351",1501.94,15.0 ( 2 ),17.3 ( 2 )
14. Kootenai,110,137,2.8,5.9,40.8,"525,822",1672.88,12.9 ( 5 ),14.6 ( 5 )
15. Lake County-Goose Lake,86,135,3.7,6.8,51.7,"1,313,957",3599.73,12.0 ( 2 ),21.1 ( 2 )
16. Little Humboldt,78,120,3.3,7.4,71.3,"166,276",419.02,7.8 ( 3 ),9.9 ( 3 )
17. Lower Clark Fork,175,185,5.7,9.4,64.1,"731,034",1465.26,22.0 ( 3 ),24.9 ( 4 )
18. Lower Humboldt,34,60,1,2.5,27.9,"36,399",274.23,4.1 ( 1 ),6.1 ( 1 )
19. Lower Pend Oreille,131,161,8.3,12.7,68.7,"87,563",128.96,17.5 ( 1 ),17.7 ( 1 )
20. Lower Snake-Asotin,89,111,2.8,4.3,40.8,"76,043",328.28,4.0 ( 2 ),5.6 ( 2 )
