 ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025
Basin,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
21. Lower Snake-Tucannon,149,136,11,10,71.7,"58,026",109,NA,NA,NA
22. Lower Yakima,181,134,10.6,7.5,50.9,"196,387",489,17.5 ( 2 ),19.5 ( 2 ),NA
23. Malheur,139,143,10.2,11.4,84.6,"604,395",992,14.6 ( 3 ),16.0 ( 3 ),5.6 ( 2 )
24. Middle Humboldt,95,37,3.9,0.9,8.3,"32,027",633,NA,NA,13.7 ( 1 )
25. Northern Big Smoky Valley,86,46,4.4,1.6,15.4,"49,810",570,NA,NA,NA
26. Northern Great Basin,98,59,4.9,2.2,17.4,"264,247","2,227",6.5 ( 2 ),6.9 ( 2 ),4.2 ( 2 )
27. Panhandle Basins,171,181,7.6,8.5,48.9,"747,329","1,643",21.0 ( 3 ),25.0 ( 3 ),17.6 ( 1 )
28. Reese,94,46,5.4,1.7,14,"43,598",491,9.4 ( 2 ),10.7 ( 2 ),NA
29. Rock,65,39,2.6,1,8.8,"42,627",835,12.1 ( 1 ),14.4 ( 1 ),2.4 ( 1 )
30. Salmon Basin,110,116,10.1,11.8,78.3,"7,485,814","11,933",15.8 ( 11 ),18.0 ( 11 ),8.8 ( 6 )
31. Silver,159,190,7.8,8.7,70.1,"200,462",431,NA,NA,NA
32. Silvies,159,176,9.3,10.2,86.3,"714,668","1,316",13.5 ( 2 ),14.5 ( 2 ),NA
33. Southern Snake Basins,101,91,4.6,3.6,29.5,"2,404,209","12,501",9.3 ( 13 ),11.9 ( 13 ),7.0 ( 18 )
34. Spokane,209,232,6.6,6.9,43.9,"1,160,925","3,146",13.9 ( 8 ),16.5 ( 8 ),10.9 ( 9 )
35. St. Mary,106,112,8,8.8,67.7,"302,822",648,6.4 ( 1 ),7.5 ( 1 ),NA
36. Truckee,77,65,4.9,4.6,28.5,"344,794","1,420",17.3 ( 8 ),17.5 ( 9 ),NA
37. Umatilla-Walla Walla-Willow,107,93,3.8,3,20.1,"233,130","1,434",15.1 ( 7 ),17.7 ( 7 ),NA
38. Upper Humboldt,88,60,4.1,2.2,21.2,"598,803","5,033",11.1 ( 8 ),12.9 ( 8 ),9.2 ( 12 )
39. Walker,89,65,4.2,3.2,34,"330,072","1,939",15.7 ( 7 ),15.7 ( 7 ),NA
40. West Central Basins,113,118,12.8,14.3,85.9,"4,275,762","5,617",21.7 ( 14 ),24.8 ( 14 ),17.9 ( 12 )
