 ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025
Basin,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Alvord Lake,127,98,8.9,6.8,47.6,"117,371",324,NA,NA,11.2 ( 4 )
2. Bitterroot,113,130,7.9,10.2,69.1,"1,062,153","1,952",15.4 ( 4 ),18.2 ( 4 ),5.4 ( 1 )
3. Carson,83,67,4.4,3.7,23,"279,029","1,405",14.9 ( 7 ),14.4 ( 7 ),3.8 ( 1 )
4. Clearwater Basin,145,160,6.5,8.1,49.6,"3,234,427","7,488",20.8 ( 11 ),25.2 ( 11 ),8.7 ( 2 )
5. Clover Valley and Franklin,90,29,2.7,0.7,9.2,"160,459","4,051",11.8 ( 2 ),14.7 ( 2 ),22.3 ( 1 )
6. Donner und Blitzen,134,139,14.1,16.3,95.8,"193,036",222,29.2 ( 2 ),33.7 ( 2 ),NA
7. Dry Lake Valley,19,16,0.8,0.4,6.6,"5,733",289,NA,NA,NA
8. Eastern Nevada,67,32,2.8,1,12.4,"240,836","4,372",4.6 ( 8 ),4.9 ( 8 ),2.7 ( 8 )
9. Flathead,124,172,5.1,7.7,55.9,"3,092,558","7,521",14.9 ( 13 ),18.4 ( 12 ),10.7 ( 18 )
10. Grande Ronde-Burnt-Powder_Imnaha,124,130,10,10.3,66.7,"2,917,093","5,311",15.7 ( 10 ),17.8 ( 11 ),17.6 ( 12 )
11. Guano,141,143,3.9,2.4,23.3,"258,337","2,039",0.7 ( 1 ),0.0 ( 1 ),8.7 ( 2 )
12. Harney-Malheur Lakes,138,167,7.1,8.7,76,"128,233",276,NA,NA,7.8 ( 2 )
13. John Day,103,101,7.9,7.7,50.6,"618,863","1,502",17.3 ( 2 ),19.5 ( 2 ),NA
14. Kootenai,137,151,5.9,7.4,44.7,"662,214","1,673",14.6 ( 5 ),16.9 ( 5 ),15.8 ( 2 )
15. Lake County-Goose Lake,135,155,6.8,7.9,55.8,"1,511,466","3,600",21.1 ( 2 ),22.5 ( 2 ),17.1 ( 10 )
16. Little Humboldt,120,84,7.4,4.6,35.2,"103,421",419,9.9 ( 3 ),14.7 ( 3 ),NA
17. Lower Clark Fork,185,191,9.4,11.2,64.8,"875,559","1,465",24.9 ( 4 ),30.4 ( 4 ),20.3 ( 5 )
18. Lower Humboldt,60,36,2.5,1.1,9.5,"16,091",274,6.1 ( 1 ),7.9 ( 1 ),NA
19. Lower Pend Oreille,161,162,12.7,13.1,60.1,"90,058",129,17.7 ( 1 ),20.9 ( 1 ),NA
20. Lower Snake-Asotin,111,113,4.3,3.7,28.5,"64,087",328,5.6 ( 2 ),6.2 ( 2 ),NA
