, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,Area (mi2),2/16/2025,3/1/2025,3/1/2025
Basin,Elevation Band,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),">5,000'",Pillows,Pillows,Surveys
1. Alvord Lake,"6,000-7,000'",126,82,7.3,4.3,35.3,"55,216",241,NA,NA,5.6 ( 1 )
,"7,000-8,000'",129,122,12.7,12.9,81.7,"48,038",70,NA,NA,16.6 ( 2 )
,"8,000-9,000'",131,129,18.3,20.5,94.2,"12,268",11,NA,NA,NA
,"9,000-10,000'",130,131,19.5,22.4,99.2,"1,849",2,NA,NA,NA
2. Bitterroot,"5,000-6,000'",95,125,5,6,57.8,"208,680",658,13.7 ( 2 ),16.3 ( 2 ),5.4 ( 1 )
,"6,000-7,000'",106,124,7,9.4,67.2,"354,216",707,17.1 ( 2 ),20.2 ( 2 ),NA
,"7,000-8,000'",127,138,11.6,15.2,82.3,"401,311",495,14.8 ( 1 ),17.2 ( 1 ),NA
,"8,000-9,000'",136,148,15.6,20.1,93,"95,492",89,NA,NA,NA
,"9,000-10,000'",117,132,14.9,20.7,97.8,"2,454",2,NA,NA,NA
3. Carson,"5,000-6,000'",23,7,0.1,0,0.2,504,619,NA,NA,NA
,"6,000-7,000'",54,27,2,0.7,6.1,"12,575",351,1.1 ( 1 ),0.0 ( 1 ),NA
,"7,000-8,000'",94,76,9.1,7.3,52.7,"85,670",219,14.2 ( 1 ),13.8 ( 1 ),3.8 ( 1 )
,"8,000-9,000'",100,88,15.2,15.1,85.8,"125,615",156,17.7 ( 5 ),17.4 ( 5 ),NA
,"9,000-10,000'",95,83,17.6,17.3,88.2,"44,146",48,NA,NA,NA
,">10,000'",96,84,19.3,18.6,86.1,"10,520",11,NA,NA,NA
4. Clearwater Basin,"3,000-4,000'",132,192,3.8,4.2,36.6,"509,367","2,295",6.0 ( 1 ),7.0 ( 1 ),7.4 ( 1 )
,"4,000-5,000'",109,126,4.2,5.1,37.4,"537,009","1,963",16.8 ( 2 ),19.7 ( 2 ),10.0 ( 1 )
,"5,000-6,000'",160,158,7.6,9.6,54.7,"922,327","1,809",26.0 ( 5 ),31.9 ( 5 ),NA
,"6,000-7,000'",171,173,12.2,15.9,78.8,"972,783","1,147",19.8 ( 3 ),23.8 ( 3 ),NA
,"7,000-8,000'",149,161,14.9,19.9,89,"277,331",262,NA,NA,NA
,"8,000-9,000'",138,156,16,22.1,96.4,"15,611",13,NA,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",67,3,1.1,0,0.3,399,730,NA,NA,NA
,"6,000-7,000'",95,14,2.4,0.2,3.6,"25,152","2,366",NA,NA,NA
,"7,000-8,000'",87,36,3.7,1.5,21.1,"59,488",756,9.3 ( 1 ),11.8 ( 1 ),NA
,"8,000-9,000'",93,73,6.9,5.4,54.2,"45,345",158,14.2 ( 1 ),17.6 ( 1 ),NA
,"9,000-10,000'",102,104,12.1,13.4,90.9,"25,599",36,NA,NA,22.3 ( 1 )
,"10,000-11,000'",103,105,13.2,15,96.2,"4,475",6,NA,NA,NA
6. Donner und Blitzen,"6,000-7,000'",131,137,11.9,13.5,94.9,"102,935",143,19.2 ( 1 ),22.1 ( 1 ),NA
,"7,000-8,000'",139,141,17.5,20.8,97.8,"64,756",58,39.1 ( 1 ),45.2 ( 1 ),NA
,"8,000-9,000'",136,144,19.6,23.5,97.1,"22,481",18,NA,NA,NA
,"9,000-10,000'",137,141,21.3,24.2,98,"2,864",2,NA,NA,NA
7. Dry Lake Valley,"7,000-8,000'",7,4,0.3,0,1.5,527,226,NA,NA,NA
,"8,000-9,000'",40,33,2.3,1,18.9,"2,649",52,NA,NA,NA
,"9,000-10,000'",56,62,4.1,3.8,48.5,"1,786",9,NA,NA,NA
,"10,000-11,000'",71,81,7.1,7.1,68.8,771,2,NA,NA,NA
8. Eastern Nevada,"7,000-8,000'",61,15,1.9,0.3,4.7,"51,426","2,847",0.4 ( 1 ),0.0 ( 1 ),0.0 ( 3 )
,"8,000-9,000'",71,42,3.7,1.6,20.1,"94,645","1,108",4.5 ( 3 ),4.7 ( 3 ),0.8 ( 2 )
,"9,000-10,000'",78,64,5.4,3.3,38.7,"53,961",308,6.8 ( 2 ),7.6 ( 2 ),6.6 ( 3 )
,"10,000-11,000'",85,82,7.6,6.6,60.4,"32,788",93,4.7 ( 2 ),5.1 ( 2 ),NA
,">11,000'",95,96,8.8,9.1,74.1,"8,017",17,NA,NA,NA
9. Flathead,"3,000-4,000'",100,183,2.6,3.8,39.8,"411,802","2,015",7.6 ( 1 ),9.4 ( 1 ),7.2 ( 2 )
,"4,000-5,000'",110,158,3.6,5.6,47.2,"563,505","1,900",7.7 ( 3 ),8.9 ( 2 ),6.1 ( 7 )
,"5,000-6,000'",115,168,4.5,8,56.3,"719,839","1,690",15.1 ( 3 ),16.9 ( 3 ),11.1 ( 6 )
,"6,000-7,000'",144,184,8.5,12.8,77.8,"951,827","1,392",20.6 ( 5 ),24.9 ( 5 ),23.1 ( 3 )
