 ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,Area (mi2),3/15/2025,3/31/2025,3/31/2025
Basin,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
21. Lower Snake-Tucannon,144,148,7.9,6.1,47.1,"35,516",109,NA,NA,NA
22. Lower Yakima,148,135,6.5,5.6,36.7,"147,363",489,20.9 ( 2 ),21.1 ( 2 ),NA
23. Malheur,156,183,8.6,6.6,50.9,"349,761",992,15.5 ( 3 ),13.4 ( 3 ),NA
24. Middle Humboldt,171,94,3.9,0.8,7.8,"27,000",633,NA,NA,NA
25. Northern Big Smoky Valley,132,95,6,2.8,23.4,"84,465",570,NA,NA,NA
26. Northern Great Basin,127,108,2.4,1.1,8.8,"131,496","2,226",6.9 ( 2 ),5.3 ( 2 ),0.4 ( 1 )
27. Panhandle Basins,96,33,3.9,1.6,8.5,"139,869","1,644",26.2 ( 3 ),28.2 ( 3 ),20.3 ( 1 )
28. Reese,143,102,6.9,3.4,27.2,"88,966",491,15.4 ( 2 ),15.2 ( 2 ),1.9 ( 2 )
29. Rock,166,111,2.2,0.4,4.2,"18,717",835,17.8 ( 1 ),17.5 ( 1 ),NA
30. Salmon Basin,109,117,10.8,11.7,61.7,"7,443,545","11,932",18.7 ( 11 ),22.0 ( 11 ),9.2 ( 2 )
31. Silver,182,358,4.4,3.7,40.5,"84,142",431,NA,NA,NA
32. Silvies,188,239,5.4,3,30.7,"211,199","1,316",14.5 ( 2 ),13.9 ( 2 ),NA
33. Southern Snake Basins,137,107,3.3,1.5,11.7,"978,619","12,500",14.2 ( 12 ),12.2 ( 13 ),8.2 ( 9 )
34. Spokane,123,81,3.4,2.2,12,"372,928","3,146",16.8 ( 8 ),17.7 ( 8 ),13.2 ( 6 )
35. St. Mary,96,71,8.6,7.6,49.8,"260,904",648,7.6 ( 1 ),8.2 ( 1 ),NA
36. Truckee,107,90,6.4,4.9,23.3,"368,954","1,420",19.0 ( 9 ),19.9 ( 9 ),34.4 ( 1 )
37. Umatilla-Walla Walla-Willow,96,94,1.8,1.2,9.6,"92,949","1,434",17.4 ( 7 ),18.1 ( 7 ),NA
38. Upper Humboldt,127,103,3.3,1.5,11.5,"407,719","5,032",15.7 ( 8 ),14.8 ( 8 ),7.4 ( 7 )
39. Walker,135,89,5.2,3.3,17.4,"338,806","1,939",18.4 ( 7 ),18.7 ( 7 ),NA
40. West Central Basins,112,127,12.9,12.3,65,"3,681,449","5,620",24.4 ( 14 ),28.4 ( 14 ),16.3 ( 8 )
