, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Alvord Lake,"6,000-7,000'",166,224,4,3.1,31,"39,728",241,NA,NA,NA
,"7,000-8,000'",129,141,11.2,10.5,66.1,"39,074",70,NA,NA,17.6 ( 2 )
,"8,000-9,000'",121,129,21.2,22.3,86.7,"13,293",11,NA,NA,NA
,"9,000-10,000'",120,124,21.6,24.9,87.4,"2,048",2,NA,NA,NA
2. Bitterroot,"5,000-6,000'",114,109,3.8,3.2,29.9,"111,212",658,15.6 ( 2 ),18.8 ( 2 ),3.5 ( 1 )
,"6,000-7,000'",97,98,7.7,8.9,54,"335,655",707,20.0 ( 2 ),22.1 ( 2 ),NA
,"7,000-8,000'",102,100,13.4,16.2,69.8,"428,114",496,17.3 ( 1 ),20.6 ( 1 ),NA
,"8,000-9,000'",115,109,18.5,21.5,78,"102,031",89,NA,NA,NA
,"9,000-10,000'",102,108,20.1,23.3,86.7,"2,757",2,NA,NA,NA
3. Carson,"5,000-6,000'",66,57,0.1,0,0.8,662,619,NA,NA,NA
,"6,000-7,000'",108,64,2,0.5,6.6,"9,027",351,0.9 ( 1 ),0.0 ( 1 ),NA
,"7,000-8,000'",111,94,10.4,6.7,40.7,"78,673",220,16.5 ( 1 ),16.4 ( 1 ),NA
,"8,000-9,000'",106,102,20,18,74.7,"150,083",157,20.3 ( 5 ),20.6 ( 5 ),NA
,"9,000-10,000'",103,98,24.1,23.8,81.6,"60,839",48,NA,NA,NA
,">10,000'",101,94,26.1,26.1,79.2,"14,755",11,NA,NA,NA
4. Clearwater Basin,"3,000-4,000'",119,96,1.3,0.6,5.8,"68,521","2,294",6.5 ( 1 ),5.3 ( 1 ),NA
,"4,000-5,000'",80,84,2.8,2.9,20,"299,870","1,963",19.4 ( 2 ),18.9 ( 2 ),NA
,"5,000-6,000'",88,94,6.2,8,39.7,"767,297","1,808",31.9 ( 2 ),38.7 ( 5 ),NA
,"6,000-7,000'",106,109,11.9,16.2,65.7,"990,568","1,147",20.0 ( 2 ),29.4 ( 3 ),NA
,"7,000-8,000'",111,113,16.8,22.1,78.6,"308,832",262,NA,NA,NA
,"8,000-9,000'",109,116,19,24,82.7,"16,894",13,NA,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",>200† ,193,0.4,0,1.9,"1,437",727,NA,NA,NA
,"6,000-7,000'",>200†,77,1.3,0.1,2.4,"13,174","2,366",NA,NA,NA
,"7,000-8,000'",143,77,4.4,1.5,18.6,"58,604",756,13.7 ( 1 ),13.0 ( 1 ),NA
,"8,000-9,000'",125,95,10,6.2,50.1,"52,492",158,22.0 ( 1 ),26.8 ( 1 ),NA
,"9,000-10,000'",110,107,17.4,15.7,79.5,"30,005",36,NA,NA,NA
,"10,000-11,000'",108,105,18.9,16.4,75.9,"4,898",6,NA,NA,NA
6. Donner und Blitzen,"6,000-7,000'",136,159,10.3,8.2,67,"62,460",143,22.5 ( 1 ),23.9 ( 1 ),NA
,"7,000-8,000'",128,132,19.8,18.6,86.5,"58,021",58,47.8 ( 1 ),52.2 ( 1 ),NA
,"8,000-9,000'",129,134,24.2,25.8,90.4,"24,658",18,NA,NA,NA
,"9,000-10,000'",127,132,23.3,27.2,87.5,"3,226",2,NA,NA,NA
7. Dry Lake Valley,"7,000-8,000'",141,24,1.9,0.1,3.1,"1,636",226,NA,NA,NA
,"8,000-9,000'",121,61,5.9,1.5,17.8,"4,212",52,NA,NA,NA
,"9,000-10,000'",114,94,10.1,5.3,41.4,"2,500",9,NA,NA,NA
,"10,000-11,000'",116,107,14.3,11.6,64.7,"1,255",2,NA,NA,NA
8. Eastern Nevada,"7,000-8,000'",122,79,2.3,0.8,12.7,"123,340","2,847",1.2 ( 1 ),0.0 ( 1 ),0.0 ( 2 )
,"8,000-9,000'",129,89,6.1,3,31.1,"177,247","1,108",7.8 ( 3 ),5.8 ( 3 ),5.0 ( 1 )
,"9,000-10,000'",122,99,8.9,5.9,45.7,"96,274",308,12.4 ( 2 ),13.5 ( 2 ),8.9 ( 2 )
,"10,000-11,000'",118,108,13.3,11.7,66,"58,196",93,8.1 ( 2 ),8.2 ( 2 ),NA
,">11,000'",126,115,15.8,14.9,74.4,"13,229",17,NA,NA,NA
9. Flathead,"3,000-4,000'",82,63,0.7,0.3,4.6,"35,436","2,020",10.0 ( 1 ),8.5 ( 1 ),NA
,"4,000-5,000'",94,97,2.3,2.1,18.4,"207,858","1,900",9.7 ( 3 ),9.9 ( 3 ),5.4 ( 8 )
,"5,000-6,000'",80,66,4.1,4,25.2,"360,128","1,689",18.2 ( 3 ),19.8 ( 3 ),13.3 ( 6 )
,"6,000-7,000'",92,64,7.8,7.1,35.5,"527,703","1,392",26.6 ( 5 ),30.6 ( 5 ),27.4 ( 3 )
,"7,000-8,000'",109,81,12.2,10.6,46.7,"273,266",483,NA,NA,NA
,"8,000-9,000'",117,90,15.5,12.8,47.4,"27,356",40,NA,NA,NA
,"9,000-10,000'",143,83,17.7,9.4,27.4,772,2,NA,NA,NA
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000-5,000'",163,164,4.2,2.2,23.2,"367,208","3,095",1.2 ( 1 ),1.3 ( 1 ),4.0 ( 1 )
,"5,000-6,000'",106,117,7.8,6.7,46.8,"490,637","1,376",20.4 ( 8 ),22.3 ( 8 ),28.6 ( 2 )
,"6,000-7,000'",83,89,11.4,11.8,51.5,"305,228",485,NA,NA,18.2 ( 2 )
,"7,000-8,000'",103,112,22.4,23.4,68.8,"341,549",274,15.6 ( 2 ),19.0 ( 2 ),21.7 ( 2 )
,"8,000-9,000'",113,123,28.8,28.1,73.7,"118,822",79,NA,NA,NA
,"9,000-10,000'",115,121,24.5,25,78.5,"3,725",3,NA,NA,NA
11. Guano,"5,000-6,000'",181,>200†,0.3,0.3,5.3,"27,701","1,484",0.0 ( 1 ),0.0 ( 1 ),NA
,"6,000-7,000'",161,214,2.8,1.5,14.8,"41,586",527,NA,NA,6.8 ( 2 )
,"7,000-8,000'",133,134,12.4,10.3,67.5,"13,575",25,NA,NA,NA
12. Harney-Malheur Lakes,"5,000-6,000'",171,>200†,4.1,2.8,32,"37,510",248,NA,NA,0.8 ( 1 )
,"6,000-7,000'",141,163,8.5,5.1,46.8,"7,640",28,NA,NA,NA
13. John Day,"5,000-6,000'",104,130,4.5,4,33,"256,918","1,199",19.8 ( 2 ),20.0 ( 2 ),NA
,"6,000-7,000'",106,105,11.8,11.4,54,"150,823",249,NA,NA,NA
,"7,000-8,000'",119,121,20,21.2,71.3,"59,631",53,NA,NA,NA
,"8,000-9,000'",134,142,19.3,27.6,85.2,"2,557",2,NA,NA,NA
14. Kootenai,"4,000-5,000'",71,44,1.6,1,7.5,"45,146",887,11.5 ( 2 ),12.0 ( 2 ),NA
,"5,000-6,000'",79,42,4.7,3.2,17.5,"103,323",612,20.2 ( 2 ),23.7 ( 2 ),21.4 ( 2 )
,"6,000-7,000'",100,32,9.3,4,16.7,"35,718",166,28.7 ( 1 ),32.5 ( 1 ),NA
,">7,000'",128,53,15,9.4,33.2,"3,909",8,NA,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",>200†,>200†,3.8,2.8,27.5,"407,043","2,688",4.6 ( 1 ),0.8 ( 1 ),2.4 ( 1 )
