 ,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,%3/31 Avg. ,%4/6 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,176,188,5.4,6,39.4,"103,782",324,NA,NA
2. Bitterroot,101,112,9.4,10.2,54.7,"1,063,489","1,952",20.4 ( 4 ),19.7 ( 4 )
3. Carson,93,114,4.2,5.3,29,"397,088","1,405",17.1 ( 7 ),18.5 ( 7 )
4. Clearwater Basin,100,108,6.1,7,32.9,"2,775,665","7,488",29.5 ( 11 ),28.4 ( 10 )
5. Clover Valley and Franklin,86,136,0.7,1.1,11.9,"234,148","4,051",19.9 ( 2 ),21.3 ( 2 )
6. Donner und Blitzen,145,171,12.5,14.9,85.9,"175,808",222,38.1 ( 2 ),39.1 ( 2 )
7. Dry Lake Valley,46,60,0.6,0.9,11.2,"13,699",289,NA,NA
8. Eastern Nevada,88,112,2,2.7,27.7,"639,714","4,372",7.6 ( 8 ),8.4 ( 8 )
9. Flathead,71,96,3.6,6.1,36.3,"2,453,254","7,521",21.1 ( 13 ),23.0 ( 13 )
10. Grande Ronde-Burnt-Powder_Imnaha,122,127,5.7,6.1,31.1,"1,730,411","5,311",19.8 ( 11 ),20.1 ( 11 )
11. Guano,311,377,0.8,0.7,6.3,"77,418","2,039",0.0 ( 1 ),0.0 ( 1 )
12. Harney-Malheur Lakes,248,269,3.1,3.1,26.1,"46,248",276,NA,NA
13. John Day,121,126,5.9,6,36.5,"484,564","1,502",20.0 ( 2 ),19.9 ( 2 )
14. Kootenai,40,54,2.1,3.1,17.5,"280,653","1,673",20.8 ( 5 ),21.4 ( 5 )
15. Lake County-Goose Lake,190,226,5.6,5.8,39.4,"1,106,333","3,600",22.0 ( 2 ),23.2 ( 2 )
16. Little Humboldt,106,157,2.2,3.9,29.5,"87,399",419,14.0 ( 3 ),14.9 ( 3 )
17. Lower Clark Fork,89,97,6.8,8.2,42.9,"642,691","1,465",38.9 ( 4 ),40.1 ( 4 )
18. Lower Humboldt,141,269,1.4,3.7,38.7,"54,663",274,2.9 ( 1 ),3.8 ( 1 )
19. Lower Pend Oreille,48,71,4.4,6.6,29.1,"45,598",129,26.5 ( 1 ),27.7 ( 1 )
20. Lower Snake-Asotin,122,138,1.6,1.8,13.4,"30,840",328,6.5 ( 2 ),6.6 ( 2 )
