,,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,Elevation Band,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,"6,000-7,000'",239,137,3.1,0.7,6.1,"8,439",241,NA,NA
,"7,000-8,000'",166,135,12.5,6.3,39.3,"23,522",70,NA,NA
,"8,000-9,000'",140,129,24.9,21.9,87.9,"13,063",11,NA,NA
,"9,000-10,000'",131,120,28.4,26.3,95.8,"2,162",2,NA,NA
2. Bitterroot,"5,000-6,000'",150,132,3.3,1.9,18.6,"65,716",658,16.9 ( 2 ),16.1 ( 2 )
,"6,000-7,000'",111,95,9.8,7.1,45.5,"268,108",707,22.4 ( 2 ),20.8 ( 2 )
,"7,000-8,000'",103,79,17.5,13.5,58.3,"356,676",496,21.0 ( 1 ),21.3 ( 1 )
,"8,000-9,000'",111,82,23.4,18.1,64.5,"85,910",89,NA,NA
,"9,000-10,000'",108,45,24.1,9.4,38.2,"1,107",2,NA,NA
3. Carson,"5,000-6,000'",103,7,0.1,0,0,20,619,NA,NA
,"6,000-7,000'",112,17,1.6,0.1,0.8,"1,600",351,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",119,78,10.3,5.1,28.1,"59,218",220,17.7 ( 1 ),15.4 ( 1 )
,"8,000-9,000'",114,98,20.1,16.9,76.6,"141,085",157,22.4 ( 5 ),19.0 ( 5 )
,"9,000-10,000'",108,93,23.9,23,90,"58,630",48,NA,NA
,">10,000'",106,90,27.8,25.1,87.6,"14,200",11,NA,NA
4. Clearwater Basin,"3,000-4,000'",125,85,0.6,0.3,3.2,"39,233","2,294",4.7 ( 1 ),1.4 ( 1 )
,"4,000-5,000'",93,83,3.2,2.5,16.8,"257,481","1,963",19.2 ( 2 ),14.9 ( 2 )
,"5,000-6,000'",103,89,9.4,7.9,40.1,"761,955","1,808",37.6 ( 4 ),39.7 ( 5 )
,"6,000-7,000'",116,91,18.2,15.3,61.8,"938,781","1,147",30.1 ( 3 ),30.5 ( 3 )
,"7,000-8,000'",114,95,23.7,21.8,76.1,"305,007",262,NA,NA
,"8,000-9,000'",116,95,26.1,23.4,80.8,"16,502",13,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",207,48,0.1,0,1,140,727,NA,NA
,"6,000-7,000'",215,74,0.3,0,1.2,"1,436","2,366",NA,NA
,"7,000-8,000'",130,58,2.1,0.4,6.6,"15,981",756,13.4 ( 1 ),9.2 ( 1 )
,"8,000-9,000'",118,83,8.3,3.9,35.6,"33,150",158,29.2 ( 1 ),23.2 ( 1 )
,"9,000-10,000'",116,102,19.2,15.3,86.3,"29,256",36,NA,NA
,"10,000-11,000'",110,98,21.7,17.7,91.9,"5,286",6,NA,NA
