,,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,Elevation Band,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,"4,000-5,000'",140,157,1.8,1,13.2,"3,687",66,NA,NA
,"5,000-6,000'",157,165,13,12,78.7,"26,164",41,NA,NA
,"6,000-7,000'",137,136,24.2,24.1,92.9,"2,361",2,NA,NA
22. Lower Yakima,"3,000-4,000'",162,28,0.4,0,0.5,686,315,NA,NA
,"4,000-5,000'",159,129,7.8,5.8,39.8,"38,754",126,NA,NA
,"5,000-6,000'",133,126,18.7,17.3,81.6,"36,259",39,21.4 ( 2 ),19.8 ( 2 )
,"6,000-7,000'",137,132,27.1,26.8,87.4,"12,672",9,NA,NA
23. Malheur,"5,000-6,000'",249,191,5.6,2.5,22.8,"117,034",863,12.5 ( 3 ),8.8 ( 3 )
,"6,000-7,000'",155,154,16.9,15.4,83.2,"84,431",103,NA,NA
,"7,000-8,000'",141,137,27.3,26.7,93.3,"37,052",26,NA,NA
,"8,000-9,000'",75,137,16.9,31.2,94,643,0,NA,NA
24. Middle Humboldt,"6,000-7,000'",>200†,19,1.2,0,0.1,196,475,NA,NA
,"7,000-8,000'",203,69,6.7,0.6,6.4,"4,514",144,NA,NA
,"8,000-9,000'",140,102,12.3,3.8,32.9,"2,634",13,NA,NA
,"9,000-10,000'",133,117,14.9,5.9,42,183,1,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",152,32,2.8,0.1,2.5,"2,140",312,NA,NA
,"8,000-9,000'",129,71,6.6,1.4,16.7,"12,050",158,NA,NA
,"9,000-10,000'",123,93,11.4,4.8,40.6,"18,181",71,NA,NA
,"10,000-11,000'",116,97,14.2,7.3,55,"9,988",26,NA,NA
,"11,000-12,000'",113,91,13.9,6.1,48.9,981,3,NA,NA
26. Northern Great Basin,"6,000-7,000'",>200†,30,1.3,0,0.3,"2,914","1,932",0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",167,92,8.7,2.2,16.6,"29,063",253,12.4 ( 1 ),9.4 ( 1 )
,"8,000-9,000'",138,121,17.1,10.5,61.6,"22,926",41,NA,NA
,"9,000-10,000'",148,128,21.5,19,94.2,586,1,NA,NA
27. Panhandle Basins,"3,000-4,000'",108,89,0.6,0.3,2.9,"10,887",702,0.0 ( 1 ),0.1 ( 1 )
,"4,000-5,000'",54,64,2.6,2.4,16.1,"65,840",508,NA,NA
,"5,000-6,000'",49,60,6.4,6.9,27.9,"126,196",344,44.5 ( 2 ),45.6 ( 2 )
,"6,000-7,000'",49,68,8.2,10.6,36.4,"49,374",88,NA,NA
,"7,000-8,000'",55,73,8.3,10.3,33.9,"1,272",2,NA,NA
28. Reese,"7,000-8,000'",163,45,3.7,0.3,3.8,"4,105",282,16.2 ( 1 ),11.3 ( 1 )
,"8,000-9,000'",140,75,8.4,2,19.6,"15,662",150,17.0 ( 1 ),15.6 ( 1 )
,"9,000-10,000'",140,111,14.1,6.3,49.4,"15,850",47,NA,NA
,">10,000'",125,105,16.1,9.5,68.4,"5,659",11,NA,NA
29. Rock,"5,000-6,000'",94,77,0,0,0,6,591,NA,NA
,"6,000-7,000'",179,7,1,0,0.1,122,212,NA,NA
,"7,000-8,000'",154,70,8.8,2.1,16.1,"3,302",29,18.8 ( 1 ),14.8 ( 1 )
,"8,000-9,000'",130,119,18.2,11.9,71.6,"2,084",3,NA,NA
30. Salmon Basin,"5,000-6,000'",224,233,4,2.9,24.7,"321,760","2,058",22.9 ( 1 ),21.8 ( 1 )
,"6,000-7,000'",147,146,10,8.6,49.1,"1,630,840","3,565",30.9 ( 3 ),29.1 ( 3 )
,"7,000-8,000'",120,114,15.9,14.3,66.5,"2,894,988","3,809",12.0 ( 1 ),10.8 ( 1 )
,"8,000-9,000'",108,104,18.6,16.8,76.4,"1,723,947","1,926",19.0 ( 5 ),18.6 ( 5 )
,"9,000-10,000'",103,102,20.7,18.9,83.9,"506,713",502,14.2 ( 1 ),13.8 ( 1 )
,"10,000-11,000'",101,100,21.3,18.6,84.7,"69,677",70,NA,NA
,"11,000-12,000'",100,103,22.6,18.8,81.6,"2,712",3,NA,NA
31. Silver,"5,000-6,000'",>200†,253,3.2,0.6,6.1,"14,452",428,NA,NA
,"6,000-7,000'",>200†,214,10.5,6.1,47.7,"1,134",3,NA,NA
32. Silvies,"4,000-5,000'",>200†,98,0.8,0,0.5,"1,071",713,NA,NA
,"5,000-6,000'",>200†,220,6.1,2.3,22.6,"70,396",570,4.2 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",152,165,12,10.4,72.9,"16,977",31,22.0 ( 1 ),17.8 ( 1 )
,"7,000-8,000'",132,120,29.2,27.1,94.4,"2,792",2,NA,NA
33. Southern Snake Basins,"5,000-6,000'",102,32,0.1,0,0.1,"3,886","8,108",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",181,78,2.9,0.6,5.7,"111,202","3,280",8.3 ( 5 ),5.8 ( 4 )
,"7,000-8,000'",139,110,11.2,4.6,34,"222,619",908,15.5 ( 4 ),11.6 ( 4 )
,"8,000-9,000'",122,112,18.8,14,77.4,"123,921",166,21.7 ( 3 ),19.8 ( 3 )
,"9,000-10,000'",116,106,22.7,20.7,91.9,"39,759",36,NA,NA
,"10,000-11,000'",110,99,22.7,22.2,94.7,"1,939",2,NA,NA
34. Spokane,"3,000-4,000'",77,36,0.3,0.1,0.8,"7,646","1,665",2.2 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",93,74,3.3,2,13,"109,557","1,020",18.9 ( 4 ),16.1 ( 4 )
,"5,000-6,000'",83,73,8.4,6.8,31.1,"150,381",412,22.4 ( 3 ),21.3 ( 3 )
,"6,000-7,000'",102,83,16.4,13.1,47.9,"33,452",48,NA,NA
,"7,000-8,000'",134,71,26.2,17.3,59.6,444,0,NA,NA
35. St. Mary,"4,000-5,000'",112,53,4.8,1.2,12.9,"10,917",166,8.9 ( 1 ),6.1 ( 1 )
,"5,000-6,000'",95,83,9,5.9,44.1,"65,084",207,NA,NA
,"6,000-7,000'",73,77,12.7,11.1,59.7,"90,839",153,NA,NA
,"7,000-8,000'",81,87,15.8,13.5,66.3,"72,956",101,NA,NA
,">8,000'",74,89,13.7,12.9,59.9,"14,125",21,NA,NA
36. Truckee,"5,000-6,000'",136,3,0.8,0,0,113,669,NA,NA
,"6,000-7,000'",124,65,8.3,2.7,15.4,"68,258",479,15.3 ( 5 ),12.4 ( 5 )
,"7,000-8,000'",121,97,18.2,13.5,60.7,"140,830",196,13.2 ( 1 ),11.6 ( 1 )
,"8,000-9,000'",110,93,23,20.5,88.9,"65,066",60,34.1 ( 3 ),36.4 ( 2 )
,"9,000-10,000'",108,93,24.5,24.7,96.7,"19,705",15,NA,NA
,"10,000-11,000'",109,92,27,25,97.2,"1,287",1,NA,NA
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",27,32,0,0,0.1,414,890,0.3 ( 1 ),0.3 ( 1 )
,"4,000-5,000'",114,141,2.3,1.8,16.4,"45,313",471,19.7 ( 2 ),28.5 ( 1 )
,"5,000-6,000'",118,134,11.6,12.4,68.9,"47,593",72,22.0 ( 4 ),20.1 ( 4 )
38. Upper Humboldt,"5,000-6,000'",160,4,0,0,0,0,"2,395",NA,NA
,"6,000-7,000'",162,17,0.8,0,0.3,"2,152","1,939",0.4 ( 1 ),0.2 ( 1 )
,"7,000-8,000'",149,88,8.1,2.4,23.3,"56,473",437,7.0 ( 2 ),5.5 ( 2 )
,"8,000-9,000'",128,111,17.3,11.9,77.1,"98,213",155,18.6 ( 4 ),14.0 ( 4 )
,"9,000-10,000'",120,107,22.2,18.8,92.9,"86,737",87,36.3 ( 1 ),35.8 ( 1 )
,">10,000'",114,102,22.7,20,93.7,"22,172",21,NA,NA
39. Walker,"6,000-7,000'",110,3,0.1,0,0,22,673,NA,NA
,"7,000-8,000'",108,31,1.6,0.2,2.6,"7,150",616,3.3 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",116,68,6.2,3,23.8,"60,963",381,18.6 ( 2 ),16.0 ( 2 )
,"9,000-10,000'",111,89,16.9,13.1,67.3,"126,251",180,24.7 ( 4 ),22.9 ( 4 )
,"10,000-11,000'",106,90,22,18.7,79.1,"78,141",78,NA,NA
,">11,000'",112,95,19.8,14.7,71.2,"8,728",11,NA,NA
40. West Central Basins,"4,000-5,000'",243,181,3.5,1.2,13.1,"96,494","1,513",3.1 ( 3 ),0.8 ( 3 )
,"5,000-6,000'",173,171,11.3,7.5,54.4,"679,904","1,692",21.6 ( 2 ),17.3 ( 2 )
