 ,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,%4/13 Avg. ,%4/20 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,161,148,5.5,4.5,30.4,"26,028",109,NA,NA
22. Lower Yakima,121,108,3.4,2.2,12.4,"57,942",489,19.8 ( 2 ),15.5 ( 2 )
23. Malheur,171,152,4.5,2.8,19.7,"147,169",992,8.8 ( 3 ),5.1 ( 3 )
24. Middle Humboldt,65,81,0.2,0.2,1.9,"5,113",633,NA,NA
25. Northern Big Smoky Valley,73,57,1.4,0.8,9,"25,140",570,NA,NA
26. Northern Great Basin,78,61,0.5,0.3,1.9,"29,773","2,226",4.7 ( 2 ),2.7 ( 2 )
27. Panhandle Basins,64,82,2.9,4.5,20.2,"392,724","1,644",30.4 ( 3 ),30.0 ( 3 )
28. Reese,76,62,1.6,0.9,9.4,"23,003",491,13.5 ( 2 ),10.2 ( 2 )
29. Rock,50,79,0.1,0.1,0.8,"3,894",835,14.8 ( 1 ),12.2 ( 1 )
30. Salmon Basin,120,115,11.2,9.8,52.5,"6,206,208","11,932",21.7 ( 11 ),20.6 ( 11 )
31. Silver,250,262,0.7,0.2,2.2,"5,586",431,NA,NA
32. Silvies,202,157,1.3,0.6,5.1,"41,425","1,316",8.9 ( 2 ),14.2 ( 1 )
33. Southern Snake Basins,95,122,0.8,0.7,5.6,"448,999","12,500",10.7 ( 12 ),7.7 ( 13 )
34. Spokane,72,82,1.8,1.9,9.3,"311,153","3,146",16.1 ( 8 ),14.1 ( 7 )
35. St. Mary,79,77,7.3,7.9,52.7,"272,326",648,6.1 ( 1 ),3.7 ( 1 )
36. Truckee,80,66,3.9,2.6,14.5,"194,661","1,420",18.3 ( 8 ),15.5 ( 8 )
37. Umatilla-Walla Walla-Willow,133,114,1.2,1,6.9,"75,761","1,434",18.2 ( 6 ),14.1 ( 7 )
38. Upper Humboldt,89,103,1,0.9,6.1,"231,401","5,032",12.9 ( 8 ),11.0 ( 8 )
39. Walker,76,66,2.7,1.9,12.7,"192,815","1,939",17.6 ( 7 ),15.8 ( 7 )
40. West Central Basins,131,122,12.1,9.7,48.8,"2,907,378","5,620",25.5 ( 15 ),22.8 ( 15 )
