 ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,Area (mi2),4/27/2025,5/3/2025,5/1/2025
Basin,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Alvord Lake,127,92,1.2,0.9,7.1,"15,005",324,NA,NA,8.0 ( 2 )
2. Bitterroot,96,76,6.6,4.7,32.9,"486,102","1,952",13.8 ( 4 ),10.3 ( 4 ),NA
3. Carson,80,59,2.6,1.5,10.6,"110,292","1,405",10.5 ( 7 ),7.5 ( 7 ),NA
4. Clearwater Basin,103,81,5.4,3.8,25.7,"1,498,917","7,488",24.9 ( 11 ),21.2 ( 11 ),NA
5. Clover Valley and Franklin,105,87,0.2,0.2,2.1,"40,682","4,048",7.9 ( 2 ),5.7 ( 2 ),NA
6. Donner und Blitzen,128,112,5.3,4,30.4,"46,730",222,32.0 ( 2 ),27.0 ( 2 ),NA
7. Dry Lake Valley,15,25,0.1,0.1,1.3,926,289,NA,NA,NA
8. Eastern Nevada,43,48,0.2,0.3,3.8,"59,405","4,372",2.1 ( 8 ),2.1 ( 8 ),NA
9. Flathead,103,92,4.9,3.9,27.2,"1,569,442","7,526",20.7 ( 13 ),17.8 ( 13 ),10.5 ( 16 )
10. Grande Ronde-Burnt-Powder_Imnaha,115,93,3.6,2.6,15.2,"737,328","5,312",10.7 ( 10 ),7.4 ( 10 ),16.5 ( 5 )
11. Guano,122,85,0.1,0,0.3,"2,645","2,036",0.1 ( 1 ),0.0 ( 1 ),0.0 ( 2 )
12. Harney-Malheur Lakes,28,57,0,0,0.4,442,276,NA,NA,0.0 ( 1 )
13. John Day,126,97,2.8,1.7,14.3,"139,301","1,502",5.2 ( 2 ),1.3 ( 2 ),NA
14. Kootenai,89,72,3.5,2.5,19.1,"226,626","1,673",19.5 ( 5 ),16.7 ( 5 ),19.4 ( 2 )
15. Lake County-Goose Lake,147,102,1.3,0.8,7,"154,078","3,602",18.0 ( 2 ),16.4 ( 2 ),5.3 ( 5 )
16. Little Humboldt,92,61,0.4,0.3,3,"6,854",419,6.7 ( 3 ),5.8 ( 3 ),NA
17. Lower Clark Fork,113,88,6.8,4.6,33.1,"360,149","1,465",40.3 ( 4 ),37.9 ( 4 ),23.4 ( 5 )
18. Lower Humboldt,208,110,0.4,0.3,5.2,"4,354",274,0.0 ( 1 ),0.0 ( 1 ),NA
19. Lower Pend Oreille,135,108,9.7,7.3,48.1,"50,024",129,24.6 ( 1 ),19.9 ( 1 ),NA
20. Lower Snake-Asotin,101,78,0.5,0.3,2.6,"5,132",328,0.8 ( 2 ),0.0 ( 2 ),NA
