, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
21. Lower Snake-Tucannon,"4,000-5,000'",98,103,0.2,0.1,2,438,66,NA,NA,NA
,"5,000-6,000'",178,147,7,4.2,37.8,"9,205",41,NA,NA,NA
,"6,000-7,000'",124,104,19.2,13.7,83.8,"1,344",2,NA,NA,NA
22. Lower Yakima,"3,000-4,000'",4,0,0,0,0,0,315,NA,NA,NA
,"4,000-5,000'",87,14,1.3,0.1,1.4,897,126,NA,NA,NA
,"5,000-6,000'",116,85,10.8,5.3,38.5,"11,222",39,11.0 ( 2 ),7.8 ( 2 ),NA
,"6,000-7,000'",121,100,21.3,14.8,70.3,"7,011",9,NA,NA,NA
23. Malheur,"5,000-6,000'",186,297,0.6,0.5,7,"24,292",863,3.7 ( 3 ),1.5 ( 3 ),NA
,"6,000-7,000'",160,137,8.1,6,51.1,"32,717",103,NA,NA,NA
,"7,000-8,000'",131,107,19.2,14.8,84.2,"20,517",26,NA,NA,NA
,"8,000-9,000'",111,93,23.9,17.6,88.3,363,0,NA,NA,NA
24. Middle Humboldt,"6,000-7,000'",>300†,161,0,0,0.1,73,475,NA,NA,NA
,"7,000-8,000'",161,56,0.3,0.1,1.3,650,144,NA,NA,NA
,"8,000-9,000'",103,91,1.5,1.2,17.4,871,13,NA,NA,NA
,"9,000-10,000'",103,94,2.9,4.1,48.3,125,1,NA,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",66,59,0,0,0.9,596,312,NA,NA,NA
,"8,000-9,000'",52,45,0.3,0.3,5.8,"2,514",158,NA,NA,NA
,"9,000-10,000'",71,64,1.8,1.9,27.4,"7,263",71,NA,NA,NA
,"10,000-11,000'",73,69,3,4,50,"5,436",26,NA,NA,NA
,"11,000-12,000'",63,59,2.3,4.1,57.4,647,3,NA,NA,NA
26. Northern Great Basin,"6,000-7,000'",53,41,0,0,0.2,"1,310","1,932",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 )
,"7,000-8,000'",93,56,0.7,0.5,5.4,"6,231",253,1.3 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",104,83,4.6,3.6,32.6,"7,993",41,NA,NA,NA
,"9,000-10,000'",113,95,7.8,7.9,64.5,245,1,NA,NA,NA
27. Panhandle Basins,"3,000-4,000'",152,46,0.1,0,0.4,937,702,0.0 ( 1 ),0.0 ( 1 ),NA
,"4,000-5,000'",97,73,2.5,1.7,18.1,"46,500",508,NA,NA,7.8 ( 1 )
,"5,000-6,000'",101,80,11.8,8.8,59,"162,366",344,42.9 ( 2 ),38.6 ( 2 ),NA
,"6,000-7,000'",106,84,20.4,15.2,78.6,"71,186",88,NA,NA,NA
,"7,000-8,000'",109,82,20.5,14.5,71,"1,790",2,NA,NA,NA
28. Reese,"7,000-8,000'",139,68,0.2,0.1,1.4,955,282,0.4 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",67,59,0.7,0.5,9.7,"4,204",150,10.5 ( 1 ),9.8 ( 1 ),NA
,"9,000-10,000'",84,79,2.2,2.7,37.7,"6,836",47,NA,NA,NA
,">10,000'",85,76,3.8,5,60.6,"2,970",11,NA,NA,NA
29. Rock,"5,000-6,000'",0,NA,0,0,0,0,591,NA,NA,NA
,"6,000-7,000'",>300†,0,0,0,0,0,212,NA,NA,NA
,"7,000-8,000'",136,37,0.8,0.2,2,337,29,7.0 ( 1 ),3.7 ( 1 ),NA
,"8,000-9,000'",126,108,3.4,2.9,25.6,505,3,NA,NA,NA
30. Salmon Basin,"5,000-6,000'",228,130,1,0.4,4.5,"39,216","2,058",19.0 ( 1 ),16.0 ( 1 ),NA
,"6,000-7,000'",147,109,4.9,3,24.8,"570,516","3,565",22.1 ( 3 ),16.6 ( 3 ),NA
,"7,000-8,000'",111,88,10.1,7.3,47.3,"1,488,067","3,809",6.8 ( 1 ),3.1 ( 1 ),NA
,"8,000-9,000'",97,81,12.8,10.1,62.5,"1,034,230","1,926",17.0 ( 5 ),14.9 ( 5 ),NA
,"9,000-10,000'",93,84,14.3,13.3,74.6,"357,055",502,12.6 ( 1 ),11.1 ( 1 ),NA
,"10,000-11,000'",91,85,15.1,14.7,78.1,"55,031",70,NA,NA,NA
,"11,000-12,000'",92,92,20,16.6,75.9,"2,395",3,NA,NA,NA
31. Silver,"5,000-6,000'",54,2,0,0,0,5,428,NA,NA,NA
,"6,000-7,000'",226,16,1.9,0,0.3,6,3,NA,NA,NA
32. Silvies,"4,000-5,000'",290,105,0,0,0,40,713,NA,NA,NA
,"5,000-6,000'",113,33,0.3,0,0.5,"1,285",570,NA,0.0 ( 1 ),NA
,"6,000-7,000'",163,89,4.1,1.7,16.1,"2,781",31,8.0 ( 1 ),1.8 ( 1 ),NA
,"7,000-8,000'",100,83,20.4,15,86.7,"1,549",2,NA,NA,NA
33. Southern Snake Basins,"5,000-6,000'",243,10,0,0,0,43,"8,108",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 3 )
,"6,000-7,000'",131,46,0.2,0.1,0.6,"9,591","3,280",0.0 ( 5 ),0.0 ( 5 ),0.0 ( 3 )
,"7,000-8,000'",103,61,1.5,0.8,7.9,"38,796",908,4.1 ( 4 ),1.9 ( 4 ),NA
,"8,000-9,000'",107,89,7.9,5.9,46.8,"52,364",166,16.0 ( 3 ),13.3 ( 3 ),NA
,"9,000-10,000'",101,88,13.4,13.1,79.6,"25,139",36,NA,NA,NA
,"10,000-11,000'",94,84,15.2,15,87.2,"1,314",2,NA,NA,NA
34. Spokane,"3,000-4,000'",44,26,0,0,0.1,747,"1,665",0.0 ( 1 ),0.1 ( 1 ),3.1 ( 3 )
,"4,000-5,000'",116,83,1.7,0.8,8.5,"46,150","1,020",8.9 ( 4 ),3.3 ( 4 ),18.0 ( 1 )
,"5,000-6,000'",119,97,8.1,5.4,41.3,"119,611",412,18.6 ( 3 ),14.7 ( 3 ),NA
,"6,000-7,000'",104,88,15.1,12.1,72.4,"30,856",48,NA,NA,NA
,"7,000-8,000'",98,82,21.2,18.2,92.6,468,0,NA,NA,NA
35. St. Mary,"4,000-5,000'",41,29,0.5,0.3,4.1,"2,477",166,0.2 ( 1 ),0.0 ( 1 ),9.8 ( 1 )
,"5,000-6,000'",67,55,3.7,2.6,25,"28,489",207,NA,NA,29.0 ( 3 )
,"6,000-7,000'",81,78,12,10,65.1,"82,095",153,NA,NA,23.8 ( 1 )
,"7,000-8,000'",87,85,15.4,12.7,71.8,"68,852",101,NA,NA,NA
,">8,000'",93,92,18.3,15.8,79.4,"17,306",21,NA,NA,NA
36. Truckee,"5,000-6,000'",6,0,0,0,0,1,669,NA,NA,NA
,"6,000-7,000'",44,29,1,0.6,5.2,"14,795",479,9.9 ( 5 ),9.5 ( 5 ),NA
,"7,000-8,000'",76,61,6.7,5.3,41.6,"55,243",196,3.3 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",79,70,11.5,11,75.7,"34,881",60,22.6 ( 3 ),21.4 ( 3 ),NA
,"9,000-10,000'",76,70,13.9,14.5,89,"11,535",15,NA,NA,NA
,"10,000-11,000'",62,61,11.1,12.2,85.6,628,1,NA,NA,NA
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",3,0,0,0,0,0,890,0.4 ( 1 ),0.0 ( 1 ),NA
,"4,000-5,000'",109,70,0.5,0.2,3.1,"6,055",471,12.1 ( 2 ),9.1 ( 2 ),NA
,"5,000-6,000'",116,87,6.5,3.8,34.9,"14,734",72,16.6 ( 4 ),13.8 ( 4 ),NA
38. Upper Humboldt,"5,000-6,000'",0,0,0,0,0,0,"2,395",NA,NA,NA
,"6,000-7,000'",267,99,0,0,0.2,731,"1,939",0.2 ( 1 ),0.0 ( 1 ),NA
,"7,000-8,000'",124,71,1,0.5,7.3,"12,633",437,2.3 ( 2 ),0.2 ( 2 ),NA
,"8,000-9,000'",116,99,7,5.8,52.5,"47,616",155,6.3 ( 4 ),4.8 ( 4 ),NA
,"9,000-10,000'",115,100,13.6,12.8,84.2,"59,234",87,31.4 ( 1 ),29.0 ( 1 ),NA
,">10,000'",108,96,15.5,15.2,88.6,"16,774",21,NA,NA,NA
39. Walker,"6,000-7,000'",42,14,0,0,0,14,673,NA,NA,NA
,"7,000-8,000'",79,34,0.3,0.1,1.2,"1,845",616,0.0 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",80,59,2.4,1.1,12.1,"21,385",381,9.4 ( 2 ),7.8 ( 2 ),NA
,"9,000-10,000'",82,80,9.9,7.6,52.4,"73,497",180,19.3 ( 4 ),18.1 ( 4 ),NA
,"10,000-11,000'",74,80,13.4,12.7,72.5,"53,077",78,NA,NA,NA
,">11,000'",72,77,11.1,10.7,73,"6,327",11,NA,NA,NA
40. West Central Basins,"4,000-5,000'",174,38,0.2,0,0.4,"1,822","1,513",0.1 ( 3 ),0.0 ( 3 ),NA
,"5,000-6,000'",191,101,2.7,1,10.8,"93,250","1,692",8.2 ( 2 ),4.5 ( 2 ),6.4 ( 5 )
,"6,000-7,000'",127,99,9.9,6.6,48.9,"450,829","1,272",26.1 ( 7 ),20.7 ( 7 ),18.9 ( 4 )
,"7,000-8,000'",109,91,18.6,14.7,77.5,"631,769",806,30.5 ( 3 ),27.3 ( 3 ),NA
,"8,000-9,000'",99,85,21.7,18.9,85.8,"295,796",294,NA,NA,NA
,">9,000'",95,83,23.1,21.6,89.1,"48,846",42,NA,NA,NA
