, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Surveys
1. Belle Fourche,"2,000-3,000'",10,0,1.2,"2,179","1,720",NA,NA
,"3,000-4,000'",59,0.5,17.6,"45,789","1,722",NA,NA
,"4,000-5,000'",117,2.9,84.6,"435,815","2,827",NA,2.1 ( 1 )
,"5,000-6,000'",111,3.4,81.1,"129,114",721,4.6 ( 1 ),6.5 ( 1 )
,"6,000-7,000'",110,4.9,93.4,"54,587",209,NA,5.6 ( 2 )
,"7,000-8,000'",117,4.6,88.4,258,1,NA,NA
2. Bighorn,"2,000-3,000'",172,2.8,75.7,"31,675",213,NA,NA
,"3,000-4,000'",110,2.3,62.1,"308,168","2,480",NA,NA
,"4,000-5,000'",67,1.1,34.8,"322,647","5,267",NA,NA
,"5,000-6,000'",80,2.1,64.4,"606,868","5,480",NA,NA
,"6,000-7,000'",80,2.6,64,"449,586","3,200",NA,NA
,"7,000-8,000'",79,3.6,65.1,"346,323","1,827",4.8 ( 3 ),3.1 ( 3 )
,"8,000-9,000'",81,4.9,74.5,"411,783","1,565",3.6 ( 7 ),3.7 ( 5 )
,"9,000-10,000'",79,5.8,75.8,"427,934","1,381",7.7 ( 8 ),8.9 ( 2 )
,"10,000-11,000'",76,6.8,82.2,"335,779",926,6.8 ( 3 ),NA
,"11,000-12,000'",76,7.4,82.4,"143,185",364,NA,NA
,">12,000'",73,8.3,83.4,"15,820",36,NA,NA
3. Cheyenne,"2,000-3,000'",8,0,0.7,"2,582","3,403",NA,NA
,"3,000-4,000'",13,0,1.6,"6,559","3,657",NA,NA
,"4,000-5,000'",78,0.7,22.5,"206,718","5,671",NA,NA
,"5,000-6,000'",83,1.4,42.6,"165,531","2,141",NA,3.4 ( 1 )
,"6,000-7,000'",94,3.3,74.1,"83,422",472,4.2 ( 2 ),2.2 ( 2 )
,"7,000-8,000'",108,4,82.7,992,5,NA,NA
4. Gallatin,"4,000-5,000'",110,4.5,88.2,"110,654",462,NA,NA
,"5,000-6,000'",80,4.4,80.3,"70,148",300,NA,NA
,"6,000-7,000'",63,3.4,51.9,"48,661",271,7.5 ( 1 ),NA
,"7,000-8,000'",62,3.4,45.7,"68,668",380,NA,7.0 ( 1 )
,"8,000-9,000'",67,4.4,50.5,"73,515",314,13.2 ( 2 ),NA
,"9,000-10,000'",78,7.5,75,"45,211",114,14.4 ( 1 ),NA
,"10,000-11,000'",80,8.3,77.6,"2,790",6,NA,NA
5. Jefferson,"5,000-6,000'",110,3.5,64.2,"306,539","1,658",NA,NA
,"6,000-7,000'",85,4.8,70.8,"796,511","3,121",4.4 ( 2 ),2.6 ( 1 )
,"7,000-8,000'",77,4.8,62.9,"673,460","2,638",5.0 ( 3 ),5.9 ( 2 )
,"8,000-9,000'",75,5.6,64.3,"336,960","1,135",6.8 ( 5 ),NA
,"9,000-10,000'",86,8.3,84,"101,249",228,13.9 ( 1 ),NA
,"10,000-11,000'",90,8.5,84.8,"3,246",7,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",174,3.7,72.2,"32,657",165,NA,NA
,"5,000-6,000'",113,4.4,81.9,"103,433",440,NA,NA
,"6,000-7,000'",74,4.6,74.3,"119,501",491,6.8 ( 2 ),4.7 ( 1 )
,"7,000-8,000'",62,3.6,50.4,"139,239",719,8.8 ( 3 ),NA
,"8,000-9,000'",71,5.2,59.4,"155,335",564,12.8 ( 2 ),NA
,"9,000-10,000'",83,8.4,84.6,"59,892",133,NA,NA
,">10,000'",86,9.5,84.3,"5,639",11,NA,NA
7. North Platte,"7,000-8,000'",92,5.5,87.7,"1,874,545","6,341",5.5 ( 2 ),NA
,"8,000-9,000'",91,6.5,90.4,"864,078","2,477",6.3 ( 6 ),5.5 ( 1 )
,"9,000-10,000'",87,6.4,75.7,"339,029",990,11.0 ( 9 ),NA
