,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,89,108,1.7,2.3,71.4,"900,962",7203.12,4.6 ( 1 ),4.4 ( 1 )
2. Bighorn,79,114,2.8,4.7,73.4,"5,700,235",22740.55,5.8 ( 21 ),8.4 ( 21 )
3. Cheyenne,58,129,0.6,1.7,63.7,"1,421,289",15348.04,4.2 ( 2 ),4.4 ( 2 )
4. Gallatin,76,106,4.3,7.1,80.5,"694,415",1846.15,12.1 ( 4 ),14.6 ( 4 )
5. Jefferson,84,107,4.7,7.7,81.5,"3,597,549",8788.26,6.4 ( 12 ),8.7 ( 14 )
6. Madison Headwaters in WY,77,112,4.6,7.9,83,"1,055,749",2521.34,9.3 ( 7 ),12.3 ( 7 )
7. North Platte,91,98,6,7.5,86.8,"4,103,045",10281.51,10.2 ( 22 ),13.0 ( 22 )
8. Powder,108,123,2.5,3,73,"2,151,794",13384.42,4.3 ( 5 ),4.6 ( 5 )
9. Smith-Judith-Musselshell,97,125,3.8,6.3,90.4,"2,781,566",8335.66,9.9 ( 8 ),11.2 ( 9 )
10. Snake,77,97,6.8,10,86.8,"3,005,716",5624.93,10.4 ( 11 ),15.7 ( 11 )
11. Sun-Teton-Marias,123,172,2.8,6.8,95.3,"3,792,508",10460.47,3.9 ( 5 ),5.5 ( 5 )
12. Tongue,113,119,3,4,93.5,"1,152,826",5400.02,5.6 ( 6 ),6.3 ( 6 )
13. Upper Clark Fork,84,112,4.1,6.7,73.7,"2,136,889",5982.85,6.2 ( 12 ),8.3 ( 12 )
14. Upper Green,77,94,5.3,7.7,86.1,"3,921,186",9541.74,7.4 ( 21 ),10.7 ( 21 )
15. Upper Missouri,96,127,4.1,6.3,85.1,"995,930",2950.01,4.4 ( 2 ),5.7 ( 2 )
16. Upper Snake Basins,82,104,5.5,7.8,80.9,"2,857,315",6872.23,11.2 ( 10 ),15.2 ( 11 )
17. Upper Yellowstone,87,120,3.9,7.1,88.3,"4,193,286",11070.03,8.0 ( 20 ),11.1 ( 20 )
18. Wood and Lost Basins,84,112,5.5,9.1,93.6,"3,591,653",7420.69,7.1 ( 15 ),10.9 ( 16 )
