, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,Area (mi2),2/16/2025,3/1/2025,3/1/2025
Basin,Elevation Band,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),">5,000'",Pillows,Pillows,Surveys
1. Belle Fourche,"2,000-3,000'",96,0,0.8,0,0,8,"1,721",NA,NA,NA
,"3,000-4,000'",121,6,1.5,0,0.5,"1,478","1,722",NA,NA,NA
,"4,000-5,000'",113,47,3.2,0.7,18.2,"103,028","2,829",NA,NA,1.9 ( 1 )
,"5,000-6,000'",97,63,3.9,2.4,56.2,"93,311",721,4.4 ( 1 ),4.7 ( 1 ),6.1 ( 1 )
,"6,000-7,000'",100,90,5.6,5.5,94.8,"60,995",209,NA,NA,5.5 ( 2 )
,"7,000-8,000'",107,95,5.7,5.1,90.9,292,1,NA,NA,NA
2. Bighorn,"2,000-3,000'",253,334,4,1.4,30.3,"16,182",213,NA,NA,NA
,"3,000-4,000'",172,152,4.2,1.7,34,"219,505","2,480",NA,NA,NA
,"4,000-5,000'",137,63,3.6,0.7,12.8,"183,873","5,266",NA,NA,NA
,"5,000-6,000'",116,26,2.5,0.4,6.9,"113,218","5,482",NA,NA,NA
,"6,000-7,000'",113,52,3.9,1.5,21.4,"250,921","3,201",NA,NA,NA
,"7,000-8,000'",105,90,6.1,4.7,57.8,"460,662","1,827",6.2 ( 3 ),6.8 ( 3 ),5.1 ( 3 )
,"8,000-9,000'",101,98,7.8,7.9,79.9,"662,470","1,565",6.0 ( 7 ),6.6 ( 7 ),5.4 ( 5 )
,"9,000-10,000'",99,99,9.2,9.8,84.1,"724,717","1,381",10.4 ( 8 ),11.3 ( 8 ),12.1 ( 3 )
,"10,000-11,000'",95,92,10.6,11.2,87.7,"553,036",925,11.1 ( 3 ),12.1 ( 3 ),NA
,"11,000-12,000'",94,90,11.6,12,88,"233,929",364,NA,NA,NA
,">12,000'",92,91,13.3,14.1,89.5,"26,852",36,NA,NA,NA
3. Cheyenne,"2,000-3,000'",82,0,0.7,0,0,0,"3,402",NA,NA,NA
,"3,000-4,000'",120,0,1,0,0,3,"3,658",NA,NA,NA
,"4,000-5,000'",177,8,2.1,0,0.9,"10,254","5,671",NA,NA,NA
,"5,000-6,000'",108,22,3.1,0.4,10.7,"49,091","2,141",NA,NA,2.6 ( 1 )
