 ,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,44,37,0.7,0.3,7.5,"96,201","7,203",4.7 ( 1 ),5.6 ( 1 )
2. Bighorn,77,135,2.8,2.9,40.2,"3,479,810","22,741",9.2 ( 21 ),10.3 ( 21 )
3. Cheyenne,19,25,0.2,0.1,2.7,"62,471","15,348",4.7 ( 2 ),4.6 ( 2 )
4. Gallatin,118,112,8.1,6.8,69.9,"672,333","1,846",16.6 ( 4 ),17.8 ( 4 )
5. Jefferson,107,105,7.2,6,58.7,"2,832,489","8,788",10.3 ( 14 ),10.9 ( 14 )
6. Madison Headwaters in WY,107,110,7.4,7.5,73.4,"1,011,216","2,521",14.0 ( 7 ),15.0 ( 7 )
7. North Platte,57,78,4,4,43.5,"2,188,100","10,282",15.0 ( 22 ),16.6 ( 22 )
8. Powder,43,72,0.6,0.5,10.1,"335,791","13,384",4.9 ( 5 ),5.7 ( 5 )
9. Smith-Judith-Musselshell,116,100,4.4,2.6,34.9,"1,140,655","8,336",12.3 ( 9 ),12.5 ( 9 )
10. Snake,102,89,11.6,9.7,80.2,"2,900,699","5,625",18.2 ( 11 ),19.2 ( 10 )
11. Sun-Teton-Marias,87,89,1.9,1.2,13.7,"677,367","10,460",6.7 ( 5 ),7.1 ( 5 )
12. Tongue,92,70,1.6,0.7,9.5,"215,987","5,400",6.8 ( 6 ),7.5 ( 6 )
13. Upper Clark Fork,125,110,7.8,5.5,59.7,"1,746,579","5,983",9.9 ( 12 ),10.2 ( 12 )
14. Upper Green,72,102,6,6.9,75.1,"3,490,638","9,542",11.9 ( 22 ),12.9 ( 20 )
15. Upper Missouri,141,113,5.9,2.9,37.8,"455,095","2,950",6.5 ( 2 ),6.7 ( 2 )
16. Upper Snake Basins,108,102,8.8,6.5,67.9,"2,398,679","6,872",17.8 ( 11 ),19.3 ( 11 )
17. Upper Yellowstone,123,108,6.8,5.9,53.3,"3,461,517","11,070",12.7 ( 20 ),13.4 ( 20 )
18. Wood and Lost Basins,111,105,9.4,7.3,64.4,"2,888,483","7,421",11.9 ( 16 ),12.5 ( 16 )
