 ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,Area (mi2),3/15/2025,3/31/2025,3/31/2025
Basin,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Belle Fourche,37,24,0.3,0.2,4.3,"63,366","7,200",5.6 ( 1 ),4.4 ( 1 ),NA
2. Bighorn,135,97,2.9,2.6,21.1,"3,095,705","22,740",10.3 ( 21 ),12.0 ( 21 ),20.1 ( 1 )
3. Cheyenne,25,19,0.1,0,2.2,"27,074","15,348",4.6 ( 2 ),3.3 ( 2 ),NA
4. Gallatin,112,101,6.8,6.4,48.1,"630,349","1,846",17.8 ( 4 ),19.9 ( 4 ),13.4 ( 4 )
5. Jefferson,105,100,6,5.9,46.7,"2,784,910","8,788",10.9 ( 14 ),12.8 ( 14 ),10.6 ( 8 )
6. Madison Headwaters in WY,110,99,7.5,7.1,53.4,"958,129","2,524",15.0 ( 7 ),17.3 ( 7 ),9.0 ( 5 )
7. North Platte,78,65,4,3.3,27.7,"1,816,041","10,281",16.6 ( 22 ),17.9 ( 22 ),15.4 ( 11 )
8. Powder,72,63,0.5,0.4,7.9,"273,010","13,385",5.7 ( 5 ),6.3 ( 5 ),NA
9. Smith-Judith-Musselshell,100,89,2.6,2.5,29.8,"1,089,304","8,335",12.5 ( 9 ),14.6 ( 9 ),15.8 ( 3 )
10. Snake,89,110,9.7,12.9,85.9,"3,871,352","5,626",19.2 ( 10 ),21.8 ( 11 ),12.3 ( 5 )
11. Sun-Teton-Marias,89,63,1.2,1,7.5,"538,993","10,463",7.1 ( 5 ),7.4 ( 5 ),7.6 ( 1 )
12. Tongue,70,67,0.7,0.7,6,"215,956","5,400",7.5 ( 6 ),9.3 ( 6 ),NA
13. Upper Clark Fork,110,96,5.5,4.5,38.2,"1,445,704","5,981",10.2 ( 12 ),11.3 ( 12 ),6.0 ( 17 )
14. Upper Green,102,77,6.9,4.9,38.5,"2,508,253","9,539",12.9 ( 20 ),14.1 ( 21 ),16.8 ( 2 )
15. Upper Missouri,113,91,2.9,2.4,25.5,"374,659","2,951",6.7 ( 2 ),6.7 ( 2 ),1.4 ( 1 )
16. Upper Snake Basins,102,111,6.5,6.5,54.1,"2,380,640","6,875",19.3 ( 11 ),20.8 ( 11 ),18.8 ( 13 )
17. Upper Yellowstone,108,115,5.9,6.5,53.9,"3,826,500","11,070",13.4 ( 20 ),15.2 ( 20 ),8.8 ( 5 )
18. Wood and Lost Basins,105,102,7.3,5.5,39.1,"2,167,161","7,420",12.5 ( 16 ),12.9 ( 16 ),6.6 ( 6 )
