,,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,Elevation Band,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,720",NA,NA
,"3,000-4,000'",15,0,0,0,0,0,"1,722",NA,NA
,"4,000-5,000'",332,0,0.2,0,0,4,"2,827",NA,NA
,"5,000-6,000'",182,5,1.3,0,0.8,"1,154",721,5.8 ( 1 ),2.7 ( 1 )
,"6,000-7,000'",150,55,4.7,1.6,30.5,"17,809",209,NA,NA
,"7,000-8,000'",147,87,5.2,3.1,65.4,174,1,NA,NA
2. Bighorn,"2,000-3,000'",0,0,0,0,0,0,213,NA,NA
,"3,000-4,000'",12,1,0,0,0,0,"2,480",NA,NA
,"4,000-5,000'",238,68,0,0,0.2,411,"5,267",NA,NA
,"5,000-6,000'",258,107,0.1,0,0.7,"5,380","5,480",NA,NA
,"6,000-7,000'",192,48,1,0.2,2.8,"36,660","3,200",NA,NA
,"7,000-8,000'",170,77,4.9,1.6,16.9,"155,247","1,827",8.5 ( 3 ),6.1 ( 3 )
,"8,000-9,000'",120,102,10.2,6.7,55.2,"555,792","1,565",9.5 ( 7 ),7.5 ( 7 )
,"9,000-10,000'",105,102,13.9,11.4,74.1,"836,154","1,381",14.8 ( 8 ),14.0 ( 8 )
,"10,000-11,000'",95,96,17.1,14.4,80.4,"709,121",926,16.9 ( 3 ),16.7 ( 3 )
,"11,000-12,000'",92,95,19.1,15.7,79.7,"305,132",364,NA,NA
,">12,000'",89,96,22.7,19.2,83.4,"36,487",36,NA,NA
3. Cheyenne,"2,000-3,000'",1,0,0,0,0,0,"3,403",NA,NA
,"3,000-4,000'",2,0,0,0,0,0,"3,657",NA,NA
,"4,000-5,000'",66,2,0,0,0,1,"5,671",NA,NA
,"5,000-6,000'",139,0,0.1,0,0,5,"2,141",NA,NA
,"6,000-7,000'",145,14,1.8,0.2,3.9,"4,750",472,3.6 ( 2 ),0.3 ( 2 )
,"7,000-8,000'",147,36,4.3,1.3,26.3,310,5,NA,NA
4. Gallatin,"4,000-5,000'",>200†,7,0.5,0,0,26,462,NA,NA
,"5,000-6,000'",>200†,60,3.5,0.5,7.1,"7,511",300,NA,NA
,"6,000-7,000'",154,112,8.1,4,43.9,"57,153",271,NA,NA
,"7,000-8,000'",107,98,11.1,7.9,65.6,"160,064",380,NA,NA
,"8,000-9,000'",98,90,15.1,11.4,71.2,"191,165",314,23.2 ( 2 ),24.1 ( 2 )
,"9,000-10,000'",98,92,19.1,14.9,73.1,"90,115",114,25.3 ( 1 ),26.2 ( 1 )
,"10,000-11,000'",97,96,21,18,81.2,"6,027",6,NA,NA
5. Jefferson,"5,000-6,000'",>200†,57,1,0,0.4,"2,693","1,658",NA,NA
,"6,000-7,000'",179,92,4.8,1.4,13.8,"233,250","3,121",5.6 ( 2 ),2.5 ( 2 )
,"7,000-8,000'",119,97,9.1,5.1,39.6,"712,130","2,638",9.4 ( 3 ),8.3 ( 3 )
,"8,000-9,000'",95,92,13.6,9.7,60.2,"585,899","1,135",16.6 ( 6 ),16.9 ( 6 )
,"9,000-10,000'",96,94,17.8,14,70.2,"170,748",228,19.9 ( 2 ),19.9 ( 2 )
,"10,000-11,000'",101,103,18.4,15.2,75.8,"5,805",7,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",>200†,44,0.1,0,0.1,30,165,NA,NA
,"5,000-6,000'",>200†,33,1.3,0,0.5,731,440,NA,NA
,"6,000-7,000'",146,99,6.8,2.9,36.4,"75,728",491,13.3 ( 2 ),12.4 ( 2 )
,"7,000-8,000'",101,94,9.5,6.6,57.1,"255,065",719,17.3 ( 3 ),17.8 ( 3 )
,"8,000-9,000'",93,90,14.1,11.1,69.7,"335,419",564,24.8 ( 2 ),24.8 ( 2 )
,"9,000-10,000'",98,98,19.5,16.1,78.1,"114,672",133,NA,NA
,">10,000'",96,100,22,20.6,87.1,"12,208",11,NA,NA
7. North Platte,"7,000-8,000'",96,16,1.6,0.1,1.2,"30,589","6,341",8.4 ( 2 ),5.4 ( 2 )
,"8,000-9,000'",109,71,6.1,2.9,29.5,"383,547","2,477",10.8 ( 6 ),8.8 ( 6 )
,"9,000-10,000'",99,95,10.9,9.9,77.8,"521,282",990,20.8 ( 9 ),18.7 ( 9 )
,"10,000-11,000'",90,94,14,14.7,85.2,"320,664",409,29.6 ( 5 ),28.5 ( 5 )
,"11,000-12,000'",94,94,17.8,17.8,89.8,"58,134",61,NA,NA
,"12,000-13,000'",95,96,18.5,17.2,84.7,"2,749",3,NA,NA
8. Powder,"2,000-3,000'",0,0,0,0,0,0,"1,208",NA,NA
,"3,000-4,000'",36,0,0,0,0,0,"3,983",NA,NA
,"4,000-5,000'",>200†,8,0,0,0,5,"4,641",NA,NA
