, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Belle Fourche,"2,000-3,000'",0,NA,0,0,0,0,"1,720",NA,NA,NA
,"3,000-4,000'",0,NA,0,0,0,0,"1,722",NA,NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"2,827",NA,NA,0.0 ( 1 )
,"5,000-6,000'",11,2,0,0,0,19,721,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",14,4,0.1,0,0.3,134,209,NA,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,1,NA,NA,NA
2. Bighorn,"2,000-3,000'",0,NA,0,0,0,0,213,NA,NA,NA
,"3,000-4,000'",>300†,NA,0,0,0,0,"2,480",NA,NA,NA
,"4,000-5,000'",53,0,0,0,0,0,"5,267",NA,NA,NA
,"5,000-6,000'",>300†,20,0,0,0,56,"5,480",NA,NA,NA
,"6,000-7,000'",197,102,0.2,0.1,0.8,"8,859","3,200",NA,NA,NA
,"7,000-8,000'",156,113,1.7,0.9,10.2,"83,399","1,827",4.7 ( 3 ),4.6 ( 3 ),1.8 ( 3 )
,"8,000-9,000'",132,113,7.3,5.2,48.6,"437,849","1,565",6.5 ( 7 ),5.4 ( 7 ),5.1 ( 4 )
,"9,000-10,000'",102,98,12.3,10.6,76.3,"777,797","1,381",14.5 ( 8 ),14.8 ( 8 ),6.8 ( 3 )
,"10,000-11,000'",89,88,15,14.6,86.6,"719,923",926,18.3 ( 3 ),19.0 ( 3 ),NA
,"11,000-12,000'",86,87,16.8,17.9,92,"348,227",364,NA,NA,NA
,">12,000'",84,88,20.1,22.6,94.6,"43,126",36,NA,NA,NA
3. Cheyenne,"2,000-3,000'",0,NA,0,0,0,0,"3,403",NA,NA,NA
,"3,000-4,000'",0,NA,0,0,0,0,"3,657",NA,NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"5,671",NA,NA,NA
,"5,000-6,000'",1,0,0,0,0,0,"2,141",NA,NA,NA
,"6,000-7,000'",50,0,0.1,0,0,17,472,0.1 ( 2 ),0.0 ( 2 ),NA
,"7,000-8,000'",32,0,0.1,0,0,0,5,NA,NA,NA
4. Gallatin,"4,000-5,000'",0,0,0,0,0,0,462,NA,NA,NA
,"5,000-6,000'",23,8,0,0,0.1,80,300,NA,NA,NA
,"6,000-7,000'",105,78,1.5,0.7,9.9,"9,788",271,11.7 ( 1 ),10.7 ( 1 ),10.9 ( 1 )
,"7,000-8,000'",97,90,5.2,4,44,"81,182",380,NA,NA,12.5 ( 3 )
,"8,000-9,000'",76,85,9.7,10.2,77.8,"171,345",314,24.7 ( 2 ),24.4 ( 2 ),NA
,"9,000-10,000'",72,89,13,16,87.4,"97,092",114,26.2 ( 1 ),25.9 ( 1 ),NA
,"10,000-11,000'",81,89,16.1,18.9,89.2,"6,326",6,NA,NA,NA
5. Jefferson,"5,000-6,000'",30,1,0,0,0,2,"1,658",NA,NA,NA
,"6,000-7,000'",76,30,0.4,0.1,0.9,"11,450","3,121",0.0 ( 2 ),0.0 ( 2 ),1.0 ( 2 )
,"7,000-8,000'",102,70,3.3,1.7,16.2,"240,387","2,638",5.9 ( 3 ),4.9 ( 3 ),8.4 ( 6 )
,"8,000-9,000'",94,84,8.7,7,51.4,"425,396","1,135",16.9 ( 6 ),16.7 ( 6 ),18.5 ( 3 )
,"9,000-10,000'",90,91,13.7,13.8,76.6,"167,602",228,19.4 ( 2 ),19.0 ( 2 ),NA
,"10,000-11,000'",94,94,15.3,15.2,79.8,"5,795",7,NA,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",0,0,0,0,0,0,165,NA,NA,NA
,"5,000-6,000'",12,0,0,0,0,0,440,NA,NA,NA
,"6,000-7,000'",64,31,0.5,0.1,2.5,"3,627",491,7.2 ( 2 ),5.4 ( 2 ),0.0 ( 1 )
,"7,000-8,000'",92,69,4.7,2.8,31.6,"106,305",719,16.5 ( 3 ),15.0 ( 3 ),3.6 ( 4 )
,"8,000-9,000'",80,81,10.3,9.7,74.2,"292,187",564,23.9 ( 2 ),22.3 ( 2 ),NA
,"9,000-10,000'",81,88,15.1,15.8,85.8,"112,398",133,NA,NA,NA
,">10,000'",81,87,19.1,20.6,90.4,"12,174",11,NA,NA,NA
7. North Platte,"7,000-8,000'",12,2,0,0,0,961,"6,341",1.2 ( 2 ),0.2 ( 2 ),NA
