 ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,Area (mi2),2/1/2025,2/1/2025
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (af), ,Pillows,Surveys
1. Central Columbia,114,13.8,76.4,"1,568,057","2,136",14.8 ( 7 ),NA
2. Central Puget Sound,168,8.1,39.7,"537,323","1,238",18.4 ( 4 ),NA
3. Hood-Sandy-Lower Deschutes,103,2,14,"538,373","5,080",12.5 ( 10 ),NA
4. Klamath,78,3.1,26.6,"1,197,545","7,199",11.9 ( 15 ),2.2 ( 1 )
5. Lewis,63,1.5,7.6,"47,593",581,21.8 ( 7 ),NA
6. Lower Cowlitz,84,4.4,28.4,"43,564",185,14.2 ( 2 ),NA
7. Naches,138,8.3,53.6,"271,134",610,25.4 ( 4 ),NA
8. North Puget Sound,111,6.4,32.6,"788,554","2,313",22.1 ( 8 ),NA
9. Olympic,104,13.4,52.2,"169,953",238,17.3 ( 3 ),NA
10. Rogue-Umpqua,67,2,9.2,"353,039","3,371",8.8 ( 6 ),3.7 ( 9 )
11. South Puget Sound,91,3.1,13.8,"187,596","1,148",13.3 ( 13 ),NA
12. Upper Columbia,118,10.1,74.2,"2,967,979","5,502",11.3 ( 7 ),NA
13. Upper Cowlitz,125,4.9,20.5,"187,659",714,23.8 ( 3 ),NA
14. Upper Deschutes-Crooked,103,4.7,43.5,"1,394,183","5,608",19.7 ( 7 ),14.0 ( 6 )
15. Upper Yakima,123,9.5,65.5,"524,956","1,033",15.4 ( 3 ),NA
16. Willamette,77,0.7,3.7,"429,974","11,356",8.6 ( 18 ),NA
