, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,Area (mi2),2/1/2025,2/1/2025
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (af),,Pillows,Surveys
1. Central Columbia,"3,000-4,000'",120,8.7,68.1,"305,325",658,16.1 ( 2 ),NA
,"4,000-5,000'",120,11.8,71,"344,586",548,11.6 ( 3 ),NA
,"5,000-6,000'",116,16.5,81.5,"463,193",527,13.4 ( 2 ),NA
,"6,000-7,000'",107,21,89.8,"363,584",324,29.1 ( 1 ),NA
,"7,000-8,000'",97,22.6,91.6,"90,749",75,NA,NA
,"8,000-9,000'",18,3.8,87,620,3,NA,NA
2. Central Puget Sound,"3,000-4,000'",176,2.7,16.7,"81,009",555,12.8 ( 2 ),NA
,"4,000-5,000'",201,9.4,46.4,"226,964",451,24.1 ( 2 ),NA
,"5,000-6,000'",161,17.5,74.6,"170,286",182,NA,NA
,"6,000-7,000'",110,21.6,86.5,"52,546",46,NA,NA
,"7,000-8,000'",99,23.8,88.4,"5,753",5,NA,NA
,"8,000-9,000'",139,49.6,91.2,766,0,NA,NA
,">9,000'",0,0,81.8,0,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",79,0.3,4,"41,605","2,525",0.3 ( 1 ),NA
,"3,000-4,000'",77,1.1,10.6,"92,864","1,622",8.1 ( 4 ),NA
,"4,000-5,000'",108,4.8,34.5,"174,156",682,16.5 ( 3 ),NA
,"5,000-6,000'",143,13.8,70.9,"150,939",206,21.6 ( 2 ),NA
,"6,000-7,000'",125,27,90.8,"48,169",33,NA,NA
,"7,000-8,000'",128,41.7,93,"19,105",9,NA,NA
,"8,000-9,000'",169,81.6,97.9,"6,304",1,NA,NA
,"9,000-10,000'",155,100,96.7,"3,603",1,NA,NA
,">10,000'",180,105.4,97.6,"1,628",0,NA,NA
4. Klamath,"4,000-5,000'",51,1.2,13.8,"267,251","4,328",4.6 ( 3 ),2.2 ( 1 )
,"5,000-6,000'",85,4.5,40,"536,953","2,236",13.2 ( 9 ),NA
,"6,000-7,000'",113,10.9,64.7,"321,080",551,19.5 ( 2 ),NA
,"7,000-8,000'",119,15.9,77.8,"71,038",84,6.2 ( 1 ),NA
,"8,000-9,000'",131,26.4,98.2,"1,224",1,NA,NA
5. Lewis,"2,000-3,000'",18,0.1,0.9,"1,575",271,0.7 ( 2 ),NA
