,,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,Elevation Band,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000",120,125,8.7,10.8,73.5,"380,009",658.3,16.1 ( 2 ),17.6 ( 2 )
,"4,000",120,124,11.8,15.5,78.4,"452,438",547.4,11.6 ( 3 ),12.4 ( 3 )
,"5,000",116,122,16.5,21.2,86,"595,986",525.97,13.4 ( 2 ),14.2 ( 2 )
,"6,000",107,116,21,26.3,91.4,"454,117",324.23,29.1 ( 1 ),31.4 ( 1 )
,"7,000",97,111,22.6,29.3,92.7,"117,884",75.39,NA,NA
,"8,000",18,101,3.8,24.2,91.7,"3,980",3.09,NA,NA
2. Central Puget Sound,"3,000",176,223,2.7,5.6,32.3,"165,772",554.64,12.8 ( 2 ),22.6 ( 3 )
,"4,000",201,204,9.4,14,60.8,"337,256",451.16,24.1 ( 2 ),26.0 ( 2 )
,"5,000",161,165,17.5,23.2,81,"226,058",182.34,NA,NA
,"6,000",110,116,21.6,27.5,85.9,"66,742",45.56,NA,NA
,"7,000",99,105,23.8,31.9,88.2,"7,708",4.54,NA,NA
,"8,000",139,104,49.6,47.3,91.5,730,0.29,NA,NA
,">9,000",0,158,0,66.4,85.5,341,0.1,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000",79,136,0.3,0.7,7.5,"100,186",2524.82,0.3 ( 1 ),4.8 ( 1 )
,"3,000",77,96,1.1,2,15.5,"170,813",1621.92,8.1 ( 4 ),11.8 ( 4 )
,"4,000",108,118,4.8,6.7,37.4,"242,443",682.34,16.5 ( 3 ),18.3 ( 3 )
,"5,000",143,153,13.8,18,71.4,"197,048",205.5,21.6 ( 2 ),23.5 ( 2 )
,"6,000",125,136,27,33.5,92.5,"59,890",33.49,NA,35.3 ( 1 )
,"7,000",128,120,41.7,45.6,95.9,"20,912",8.59,NA,NA
,"8,000",169,113,81.6,64.6,97.9,"4,991",1.45,NA,NA
,"9,000",155,105,100,82.7,95.2,"2,980",0.68,NA,NA
,">10,000",180,114,105.4,81.3,98.2,"1,256",0.29,NA,NA
4. Klamath,"4,000",51,99,1.2,2.4,21.1,"544,049",4321.74,4.6 ( 3 ),8.5 ( 3 )
,"5,000",85,125,4.5,8.2,54.6,"982,933",2240.26,13.2 ( 9 ),19.5 ( 9 )
,"6,000",113,135,10.9,16.6,73.7,"487,257",551.84,19.5 ( 2 ),32.9 ( 3 )
