 ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,Area (mi2),3/15/2025,3/31/2025,3/31/2025
Basin,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Central Columbia,105,76,17.4,14.9,45.1,"1,695,265","2,136",19.7 ( 6 ),20.4 ( 7 ),NA
2. Central Puget Sound,90,21,8.2,2.6,6.3,"169,013","1,238",31.5 ( 5 ),35.3 ( 5 ),26.5 ( 1 )
3. Hood-Sandy-Lower Deschutes,85,99,2.1,2.7,10.8,"735,511","5,080",19.1 ( 11 ),22.4 ( 11 ),6.8 ( 2 )
4. Klamath,197,191,5.9,5.8,37.6,"2,217,234","7,199",20.5 ( 16 ),21.7 ( 16 ),32.7 ( 3 )
5. Lewis,44,40,2.2,2.5,6.3,"76,617",581,31.8 ( 7 ),36.4 ( 7 ),NA
6. Lower Cowlitz,95,84,8.2,7.3,26.2,"71,860",185,21.2 ( 2 ),23.1 ( 2 ),NA
7. Naches,104,85,8.8,8.6,37.7,"281,144",610,35.7 ( 4 ),40.4 ( 4 ),NA
8. North Puget Sound,84,30,8.1,3.4,9.3,"415,528","2,313",33.0 ( 9 ),37.4 ( 9 ),7.2 ( 6 )
9. Olympic,120,77,24.3,18.1,42.4,"229,195",238,28.0 ( 3 ),31.7 ( 3 ),14.6 ( 3 )
10. Rogue-Umpqua,106,110,4.2,6,16.7,"1,080,696","3,371",14.3 ( 6 ),15.7 ( 6 ),13.5 ( 3 )
11. South Puget Sound,64,56,3.6,3.9,8.7,"240,309","1,148",19.2 ( 14 ),20.3 ( 14 ),4.5 ( 4 )
12. Upper Columbia,126,112,10.7,8.2,37.5,"2,412,176","5,502",14.9 ( 7 ),13.8 ( 7 ),8.4 ( 7 )
13. Upper Cowlitz,68,37,4.8,3.7,7.9,"141,527",714,33.2 ( 3 ),37.1 ( 3 ),NA
14. Upper Deschutes-Crooked,150,150,5,5.5,25.3,"1,646,043","5,608",26.4 ( 7 ),30.0 ( 7 ),14.3 ( 5 )
15. Upper Yakima,111,97,11,10.6,43.2,"582,075","1,033",20.4 ( 3 ),20.4 ( 3 ),NA
16. Willamette,86,92,1.1,1.7,4.9,"1,054,249","11,356",12.6 ( 18 ),15.5 ( 18 ),0.0 ( 1 )
