, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Central Columbia,"3,000-4,000'",113,71,8.6,4.5,24.5,"156,573",658,26.3 ( 1 ),20.9 ( 2 ),NA
,"4,000-5,000'",91,67,14.3,12,47.1,"350,665",548,14.7 ( 3 ),17.2 ( 3 ),NA
,"5,000-6,000'",100,72,21.3,19.6,54,"549,711",527,18.3 ( 2 ),18.4 ( 2 ),NA
,"6,000-7,000'",113,85,29.4,27.9,61.7,"481,866",324,37.3 ( 1 ),39.5 ( 1 ),NA
,"7,000-8,000'",124,101,37.4,37.6,71.1,"151,131",75,NA,NA,NA
,"8,000-9,000'",121,108,27.7,32.3,69.8,"5,319",3,NA,NA,NA
2. Central Puget Sound,"3,000-4,000'",59,4,2.5,0.2,0.8,"6,256",555,29.7 ( 3 ),34.0 ( 3 ),26.5 ( 1 )
,"4,000-5,000'",86,14,8.4,2.1,5.1,"50,959",451,34.1 ( 2 ),37.2 ( 2 ),NA
,"5,000-6,000'",113,32,18.7,7.1,14.1,"69,298",182,NA,NA,NA
,"6,000-7,000'",113,54,29.7,14.4,29.1,"35,053",46,NA,NA,NA
,"7,000-8,000'",119,65,35.2,22.1,64.1,"5,357",5,NA,NA,NA
,"8,000-9,000'",138,117,-,-,96.2,-,0,NA,NA,NA
,">9,000'",66,197,29.9,-,81.8,-,0,NA,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",44,59,0.1,0,0.7,"6,034","2,525",1.2 ( 1 ),0.0 ( 1 ),NA
,"3,000-4,000'",54,63,0.8,0.8,6.9,"71,442","1,622",11.6 ( 4 ),13.8 ( 4 ),NA
,"4,000-5,000'",84,97,5.3,6.9,33.3,"251,223",682,21.9 ( 3 ),26.1 ( 3 ),6.8 ( 2 )
,"5,000-6,000'",116,125,17.1,23.7,67.3,"259,395",206,27.6 ( 2 ),31.5 ( 2 ),NA
,"6,000-7,000'",132,136,39.8,53,91.6,"94,604",33,41.5 ( 1 ),49.6 ( 1 ),NA
,"7,000-8,000'",133,130,-,-,95.5,-,9,NA,NA,NA
,"8,000-9,000'",170,134,-,-,99.1,-,1,NA,NA,NA
,"9,000-10,000'",156,131,-,-,99.8,-,1,NA,NA,NA
,">10,000'",177,140,-,-,97.7,-,0,NA,NA,NA
4. Klamath,"4,000-5,000'",320,308,2.5,1.7,20.7,"389,269","4,328",6.5 ( 3 ),6.2 ( 3 ),6.0 ( 1 )
,"5,000-6,000'",170,193,8.4,7.9,56.8,"947,561","2,236",20.4 ( 9 ),21.2 ( 9 ),NA
,"6,000-7,000'",138,147,19.2,24.5,84.7,"718,438",551,36.8 ( 3 ),41.7 ( 3 ),46.1 ( 2 )
,"7,000-8,000'",142,149,26.2,35.8,89.9,"159,583",84,14.9 ( 1 ),12.6 ( 1 ),NA
,"8,000-9,000'",153,161,35.3,-,95,-,1,NA,NA,NA
5. Lewis,"2,000-3,000'",14,11,0.2,0.1,0.5,"1,275",271,1.7 ( 2 ),0.0 ( 2 ),NA
,"3,000-4,000'",34,26,2,1.7,6.1,"19,539",217,33.4 ( 3 ),39.2 ( 3 ),NA
,"4,000-5,000'",44,38,4.1,4.9,12.8,"20,036",76,59.4 ( 2 ),68.5 ( 2 ),NA
,"5,000-6,000'",96,98,16.5,27.2,49.1,"17,062",12,NA,NA,NA
,"6,000-7,000'",125,122,50.5,65,90.9,"13,730",4,NA,NA,NA
,"7,000-8,000'",130,107,-,-,98.2,-,1,NA,NA,NA
