 ,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,93,94,19.1,17.1,47.7,"1,949,170","2,136",20.0 ( 7 ),18.4 ( 7 )
2. Central Puget Sound,45,42,8.2,5.2,13.4,"345,013","1,238",36.5 ( 5 ),35.9 ( 5 )
3. Hood-Sandy-Lower Deschutes,119,125,2.9,2.6,9.7,"698,919","5,080",22.1 ( 11 ),20.5 ( 11 )
4. Klamath,210,167,5.4,3.6,19.3,"1,400,056","7,199",21.4 ( 15 ),17.8 ( 15 )
5. Lewis,58,67,3.3,3.1,9.8,"95,710",581,36.5 ( 7 ),42.6 ( 6 )
6. Lower Cowlitz,104,103,8.9,6.9,26.2,"68,479",185,21.9 ( 2 ),21.3 ( 2 )
7. Naches,123,118,11.8,10.3,39.9,"333,853",610,40.4 ( 4 ),40.5 ( 4 )
8. North Puget Sound,50,48,7.1,5.1,13.3,"627,129","2,313",37.6 ( 9 ),37.9 ( 9 )
9. Olympic,106,124,24.6,26.8,65.4,"339,615",238,31.4 ( 3 ),32.2 ( 3 )
10. Rogue-Umpqua,114,129,5.7,5.2,15.9,"938,879","3,371",16.1 ( 6 ),13.4 ( 6 )
11. South Puget Sound,76,84,5.7,4.9,11.3,"298,058","1,148",20.8 ( 14 ),20.3 ( 14 )
12. Upper Columbia,130,120,8.7,6.8,26.5,"1,981,425","5,502",14.0 ( 7 ),11.9 ( 7 )
13. Upper Cowlitz,69,73,7.8,6,14.8,"226,523",714,37.5 ( 3 ),36.1 ( 3 )
14. Upper Deschutes-Crooked,161,154,5.4,4.3,17.9,"1,289,788","5,608",30.5 ( 7 ),26.8 ( 7 )
15. Upper Yakima,110,95,11.4,8.8,30.7,"482,833","1,033",19.4 ( 3 ),17.7 ( 3 )
16. Willamette,101,125,1.7,1.7,5.4,"1,038,851","11,356",15.5 ( 18 ),13.1 ( 18 )
