, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,Area (mi2),2/1/2025,2/1/2025
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (af),,Pillows,Surveys
1. Bear,"5,000-6,000'",71,3.3,70.1,"202,021","1,145",NA,NA
,"6,000-7,000'",74,5,85.5,"653,140","2,441",6.0 ( 3 ),6.0 ( 1 )
,"7,000-8,000'",78,6.4,90.1,"614,448","1,791",7.9 ( 6 ),8.7 ( 1 )
,"8,000-9,000'",81,7.9,88.3,"247,486",585,10.8 ( 7 ),NA
,"9,000-10,000'",78,8.2,87.3,"61,836",142,6.7 ( 2 ),NA
,"10,000-11,000'",82,9.2,88.1,"29,588",60,NA,NA
,"11,000-12,000'",87,10.6,93.5,"8,912",16,NA,NA
,"12,000-13,000'",93,11.1,97.6,458,1,NA,NA
2. Beaver,"6,000-7,000'",9,0,1,912,481,NA,NA
,"7,000-8,000'",27,0.4,7,"3,456",181,NA,NA
,"8,000-9,000'",34,1.1,24.6,"4,419",77,4.6 ( 1 ),NA
,"9,000-10,000'",51,2.7,48.1,"9,623",66,NA,NA
,"10,000-11,000'",59,4.7,65.7,"6,432",25,8.1 ( 1 ),NA
,"11,000-12,000'",71,8,94.4,"2,016",5,NA,NA
3. Blue,"7,000-8,000'",89,5.3,88.2,"8,845",32,NA,NA
,"8,000-9,000'",94,6.2,86.3,"32,986",100,NA,NA
,"9,000-10,000'",92,6.4,83.1,"48,831",144,7.0 ( 1 ),NA
,"10,000-11,000'",85,5.7,63.3,"48,211",158,11.4 ( 2 ),NA
,"11,000-12,000'",88,8.6,83.3,"76,341",166,10.9 ( 2 ),NA
,"12,000-13,000'",93,10.5,96.1,"36,450",65,NA,NA
,">13,000'",98,10.2,90.1,"3,198",6,NA,NA
4. Canadian,"8,000-9,000'",45,1.1,37.1,"42,582",735,NA,NA
,"9,000-10,000'",41,1.6,42.9,"32,031",365,1.9 ( 1 ),NA
,"10,000-11,000'",53,2.5,52.7,"17,595",132,3.7 ( 1 ),NA
,"11,000-12,000'",65,4.4,69.6,"6,923",30,NA,NA
,"12,000-13,000'",78,7.2,97.7,960,3,NA,NA
5. Colorado Headwaters,"5,000-6,000'",52,0.9,22.3,27,1,NA,NA
