,,2/1/2025,2/16/2025,2/1/2025,2/16/2025,,,,2/1/2025,2/16/2025
Basins,Elevation Band,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,"5,000",71,93,3.3,4.4,60,"270,045",1146.72,NA,NA
,"6,000",74,92,5,6.7,77.1,"868,556",2440.26,6.0 ( 3 ),8.5 ( 3 )
,"7,000",78,97,6.4,9.3,89.7,"885,615",1791.42,7.9 ( 6 ),11.7 ( 6 )
,"8,000",81,108,7.9,12.6,89.2,"393,497",584.75,10.8 ( 7 ),16.1 ( 7 )
,"9,000",78,98,8.2,11.8,88.4,"89,745",142.28,6.7 ( 2 ),9.4 ( 2 )
,"10,000",82,102,9.2,13.3,90.1,"42,438",60.04,NA,NA
,"11,000",87,104,10.6,14.3,90.7,"11,974",15.73,NA,NA
,"12,000",93,94,11.1,12.7,95.3,522,0.77,NA,NA
2. Beaver,"6,000",9,51,0,0.8,19.5,"20,405",481.18,NA,NA
,"7,000",27,50,0.4,1.6,25.8,"15,710",181.27,NA,NA
,"8,000",34,43,1.1,2,32.8,"8,437",77.32,4.6 ( 1 ),5.9 ( 1 )
,"9,000",51,54,2.7,3.5,46.4,"12,418",65.64,NA,NA
,"10,000",59,65,4.7,6.3,64.1,"8,511",25.48,8.1 ( 1 ),9.7 ( 1 )
,"11,000",71,85,8,11,94.7,"2,768",4.73,NA,NA
3. Blue,"7,000",89,90,5.3,5.7,79.3,"9,647",31.76,NA,NA
,"8,000",94,107,6.2,8.1,85.2,"42,989",99.42,NA,NA
,"9,000",92,101,6.4,7.9,81,"60,657",143.34,7.0 ( 1 ),8.6 ( 1 )
,"10,000",85,102,5.7,8.2,68,"68,715",157.63,11.4 ( 2 ),14.2 ( 2 )
,"11,000",88,106,8.6,11.7,82.1,"103,345",165.25,10.9 ( 2 ),12.4 ( 2 )
,"12,000",93,104,10.5,12.7,90.8,"44,286",65.44,NA,NA
,">13,000",98,101,10.2,12.8,96.5,"4,027",5.89,NA,NA
4. Canadian,"8,000",45,53,1.1,1,26.9,"39,149",735.43,NA,NA
,"9,000",41,56,1.6,2.5,56.2,"48,041",365.35,1.9 ( 1 ),2.0 ( 1 )
