 ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025
Basin,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Bear,96,96,7.8,8.8,79.9,"2,894,251","6,182",12.6 ( 18 ),14.8 ( 18 ),13.1 ( 10 )
2. Beaver,52,26,1.5,0.7,9.7,"32,651",836,7.8 ( 2 ),8.1 ( 2 ),NA
3. Blue,103,98,9.4,10.2,78.9,"364,068",669,12.3 ( 5 ),14.2 ( 5 ),8.3 ( 2 )
4. Canadian,55,31,1.7,0.6,12.2,"40,619","1,265",4.2 ( 2 ),4.3 ( 2 ),0.5 ( 2 )
5. Colorado Headwaters,95,89,8.2,8.7,75.4,"1,338,475","2,873",11.0 ( 13 ),13.0 ( 13 ),11.8 ( 14 )
6. Colorado Headwaters-Plateau,75,68,6.2,5.4,50.4,"518,005","1,801",9.4 ( 1 ),9.9 ( 1 ),10.6 ( 1 )
7. Eagle,97,87,8.6,8.3,65.1,"406,439",921,10.7 ( 3 ),11.9 ( 3 ),13.4 ( 2 )
8. Gila,2,0,0,0,0,25,"4,924",0.2 ( 5 ),0.1 ( 6 ),2.7 ( 4 )
9. Gunnison,77,70,6.5,6.2,64.9,"2,115,701","6,434",9.5 ( 11 ),10.1 ( 11 ),9.3 ( 6 )
10. Little Colorado,1,0,0,0,0.1,"1,518","16,380",2.9 ( 5 ),2.1 ( 5 ),0.8 ( 12 )
11. Lower Colorado Mainstream,4,8,0,0.1,2.9,"28,632","10,695",3.4 ( 5 ),2.9 ( 5 ),1.2 ( 3 )
12. Lower Green,71,54,5.8,4.6,44.6,"1,393,597","5,648",7.1 ( 23 ),7.7 ( 24 ),13.6 ( 1 )
13. Lower Rio Grande,11,3,0.2,0.1,1.1,"5,251","1,795",1.7 ( 6 ),1.4 ( 6 ),0.0 ( 1 )
14. Lower Sevier,71,39,3.5,1.4,16.2,"67,090",897,6.6 ( 4 ),7.6 ( 4 ),NA
15. Pecos,56,37,2.4,1.2,19.1,"20,675",331,3.0 ( 2 ),1.3 ( 2 ),NA
16. Provo-Utah Lake-Jordan,85,80,6.4,5.8,52.9,"835,965","2,681",14.5 ( 17 ),16.2 ( 17 ),13.7 ( 9 )
17. Rio Chama-Upper Rio Grande,21,18,0.9,0.6,10.7,"172,144","5,207",3.6 ( 13 ),3.4 ( 13 ),2.6 ( 4 )
18. Rio Grande Headwaters,50,37,2.6,1.8,23.6,"728,888","7,594",6.2 ( 14 ),6.4 ( 14 ),4.7 ( 6 )
19. Roaring Fork,93,84,9.8,9.2,70.7,"663,798","1,359",11.1 ( 7 ),12.1 ( 7 ),10.6 ( 1 )
20. Salt,0,0,0,0,0.2,368,"2,362",0.8 ( 6 ),0.3 ( 7 ),NA
21. San Juan,28,26,1.5,1.4,17.2,"472,504","6,406",7.8 ( 15 ),7.7 ( 15 ),1.0 ( 6 )
22. San Pitch,57,52,3.6,3.1,28.2,"141,898",858,9.5 ( 6 ),10.0 ( 6 ),11.2 ( 2 )
23. South Platte,92,56,4.8,2.7,26.1,"800,793","5,620",9.4 ( 21 ),10.8 ( 21 ),6.9 ( 29 )
24. Southwestern Utah,14,8,0.3,0.1,3,"11,084","1,440",2.9 ( 4 ),3.0 ( 3 ),2.6 ( 1 )
25. Toole Valley-Vernon Creek,80,52,2.6,1.2,12,"60,136",906,9.2 ( 4 ),10.3 ( 4 ),NA
26. Upper Arkansas,85,51,3.2,1.9,20.3,"604,574","5,877",6.1 ( 7 ),6.2 ( 7 ),7.5 ( 5 )
27. Upper Colorado-Dirty Devil,33,21,1.7,1,13,"133,982","2,598",3.6 ( 7 ),3.7 ( 7 ),10.3 ( 2 )
28. Upper Colorado-Dolores,46,38,2.9,2.4,33.6,"442,383","3,434",8.4 ( 8 ),8.8 ( 8 ),5.2 ( 3 )
29. Upper Sevier,36,23,1.8,1.1,16.7,"220,498","3,759",4.9 ( 16 ),5.0 ( 16 ),3.4 ( 2 )
30. Verde,0,0,0,0,0,104,"1,817",1.2 ( 7 ),0.2 ( 7 ),0.0 ( 3 )
31. Weber-Ogden,92,89,8.2,8.1,72.8,"881,879","2,041",13.6 ( 17 ),14.8 ( 16 ),NA
32. White-Yampa,91,80,8,7.4,62.2,"2,347,787","5,948",13.8 ( 15 ),15.8 ( 15 ),13.9 ( 4 )
