 ,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,%3/31 Avg.,%4/6 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,93,117,5.3,6.1,44.4,"2,005,143","6,182",16.3 ( 18 ),17.4 ( 18 )
2. Beaver,65,82,1.3,1.7,18.7,"74,774",836,12.3 ( 2 ),13.0 ( 2 )
3. Blue,84,100,9.2,11.1,75.7,"396,468",669,16.6 ( 5 ),17.6 ( 5 )
4. Canadian,15,35,0.3,0.4,7.7,"30,366","1,265",0.1 ( 1 ),1.4 ( 1 )
5. Colorado Headwaters,88,105,7.7,8.6,63.7,"1,314,439","2,873",15.3 ( 13 ),16.3 ( 13 )
6. Colorado Headwaters-Plateau,66,94,4.2,5,38.5,"484,195","1,801",12.5 ( 1 ),13.5 ( 1 )
7. Eagle,80,92,7.7,8.6,56.5,"420,147",921,12.3 ( 3 ),13.7 ( 3 )
8. Gila,0,5,0,0,0,365,"4,924",0.0 ( 6 ),0.0 ( 6 )
9. Gunnison,66,98,4.8,7,61.5,"2,412,090","6,434",11.1 ( 11 ),12.1 ( 11 )
10. Little Colorado,4,60,0,0,1.1,"27,497","16,380",3.2 ( 5 ),3.4 ( 5 )
11. Lower Colorado Mainstream,21,54,0.1,0.2,5.6,"112,804","10,695",4.0 ( 5 ),4.1 ( 5 )
12. Lower Green,69,98,5.1,6.7,53,"2,013,784","5,648",9.4 ( 24 ),10.3 ( 24 )
13. Lower Rio Grande,6,14,0,0.1,1,"6,652","1,795",0.7 ( 6 ),1.1 ( 6 )
14. Lower Sevier,67,126,1.5,3.4,38.2,"164,205",897,11.7 ( 4 ),13.4 ( 4 )
15. Pecos,29,40,0.9,1,12.8,"18,159",331,0.1 ( 2 ),1.1 ( 2 )
16. Provo-Utah Lake-Jordan,85,123,4.6,6.8,50.5,"965,989","2,681",20.0 ( 18 ),21.6 ( 18 )
17. Rio Chama-Upper Rio Grande,25,40,0.5,0.7,11,"202,282","5,207",2.9 ( 13 ),3.3 ( 13 )
18. Rio Grande Headwaters,45,65,1.6,2.3,24.6,"911,863","7,594",6.6 ( 13 ),6.9 ( 14 )
19. Roaring Fork,80,93,9.1,10.7,66.3,"774,601","1,359",14.0 ( 7 ),15.3 ( 7 )
20. Salt,1,20,0,0.1,3.4,"13,231","2,362",0.0 ( 8 ),0.0 ( 7 )
21. San Juan,49,60,1.7,2.1,21.8,"710,299","6,406",8.3 ( 15 ),9.1 ( 15 )
22. San Pitch,68,103,3.1,4.8,36.6,"217,452",858,13.0 ( 6 ),14.8 ( 6 )
23. South Platte,64,85,2.6,3.3,28.4,"987,092","5,620",12.6 ( 21 ),13.4 ( 21 )
24. Southwestern Utah,36,51,0.4,0.6,9.5,"44,744","1,440",3.3 ( 5 ),3.8 ( 5 )
25. Toole Valley-Vernon Creek,91,129,1.4,2,18.4,"95,387",906,12.7 ( 4 ),13.8 ( 4 )
26. Upper Arkansas,50,73,1.5,2.2,18.2,"674,163","5,877",6.2 ( 7 ),6.9 ( 7 )
27. Upper Colorado-Dirty Devil,31,67,1.1,2.4,27,"332,838","2,598",4.3 ( 7 ),5.5 ( 7 )
28. Upper Colorado-Dolores,45,79,1.9,3.2,39,"583,752","3,434",9.4 ( 9 ),10.6 ( 8 )
29. Upper Sevier,43,75,1.4,2.6,33,"531,173","3,759",6.2 ( 16 ),7.4 ( 16 )
30. Verde,3,246,0,0.3,8.9,"25,110","1,817",0.7 ( 7 ),1.1 ( 7 )
31. Weber-Ogden,86,134,5.2,7.3,55.3,"796,449","2,041",17.6 ( 17 ),18.9 ( 17 )
32. White-Yampa,83,108,5.9,6.6,50,"2,101,950","5,948",17.9 ( 15 ),19.2 ( 15 )
