 ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,Area (mi2),4/27/2025,5/3/2025,5/1/2025
Basin,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Bear,83,59,1.9,1.3,12.4,"416,543","6,181",9.7 ( 18 ),7.6 ( 18 ),9.2 ( 3 )
2. Beaver,41,43,0.3,0.3,5,"13,923",836,7.5 ( 2 ),7.1 ( 2 ),NA
3. Blue§,71,54,7.1,5.5,43.6,"195,471",670,13.9 ( 5 ),13.8 ( 5 ),2.0 ( 2 )
4. Canadian,14,22,0,0.1,1.1,"3,599","1,265",0.1 ( 2 ),0.2 ( 2 ),NA
5. Colorado Headwaters§,68,58,4,3.5,29.1,"536,460","2,874",11.9 ( 13 ),11.7 ( 13 ),8.7 ( 13 )
6. Colorado Headwaters-Plateau,49,43,1.5,1.3,14.2,"122,689","1,801",7.9 ( 1 ),5.4 ( 1 ),8.2 ( 1 )
7. Eagle,62,52,4.1,3.4,32.2,"165,386",921,6.5 ( 3 ),4.2 ( 3 ),9.8 ( 3 )
8. Gila,0,0,0,0,0,0,"4,924",0.0 ( 6 ),0.0 ( 6 ),NA
9. Gunnison§,48,43,1.9,1.7,18.7,"599,145","6,433",4.8 ( 11 ),2.9 ( 11 ),3.3 ( 6 )
10. Little Colorado,25,25,0,0,0,"1,333","16,379",0.6 ( 5 ),0.5 ( 5 ),0.0 ( 3 )
11. Lower Colorado Mainstream,10,9,0,0,0.3,"2,237","10,695",0.5 ( 5 ),0.0 ( 5 ),NA
12. Lower Green§,55,47,2,1.5,17.6,"446,093","5,647",4.4 ( 24 ),3.3 ( 24 ),17.9 ( 1 )
13. Lower Rio Grande,1,6,0,0,0,234,"1,795",0.0 ( 6 ),0.0 ( 6 ),NA
14. Lower Sevier,45,37,0.2,0.2,3.3,"7,640",897,5.3 ( 4 ),4.5 ( 4 ),NA
15. Pecos,9,23,0.1,0.2,2.9,"3,067",331,0.2 ( 2 ),0.4 ( 2 ),NA
16. Provo-Utah Lake-Jordan§,61,49,1.7,1.1,13.3,"163,865","2,681",12.5 ( 16 ),8.5 ( 18 ),7.9 ( 7 )
17. Rio Chama-Upper Rio Grande,17,18,0.1,0.1,1.7,"23,852","5,207",0.9 ( 13 ),0.6 ( 13 ),0.7 ( 2 )
18. Rio Grande Headwaters§,43,37,0.7,0.6,8.2,"257,760","7,595",2.8 ( 14 ),2.0 ( 14 ),0.8 ( 9 )
19. Roaring Fork§,59,50,5.6,4.8,39.4,"349,309","1,359",9.0 ( 7 ),7.7 ( 7 ),4.5 ( 2 )
20. Salt,0,3,0,0,0,240,"2,361",0.0 ( 7 ),0.0 ( 7 ),NA
21. San Juan,42,39,0.8,0.7,7.8,"229,623","6,406",3.4 ( 15 ),2.5 ( 15 ),0.0 ( 1 )
22. San Pitch,53,51,1.3,1.1,13,"50,190",857,6.2 ( 6 ),4.7 ( 6 ),15.7 ( 1 )
23. South Platte§,57,51,1.5,1.3,12,"386,541","5,620",11.3 ( 20 ),9.9 ( 21 ),5.1 ( 28 )
24. Southwestern Utah,17,20,0,0,1.3,"3,180","1,440",1.1 ( 5 ),0.8 ( 5 ),0.0 ( 2 )
25. Toole Valley-Vernon Creek,91,61,0.3,0.2,1.9,"8,366",906,5.2 ( 4 ),4.1 ( 4 ),NA
26. Upper Arkansas,54,50,0.9,0.8,8.7,"250,263","5,875",2.4 ( 6 ),1.1 ( 6 ),4.8 ( 5 )
27. Upper Colorado-Dirty Devil,30,27,0.3,0.3,4,"41,069","2,597",0.2 ( 7 ),0.1 ( 7 ),0.8 ( 2 )
28. Upper Colorado-Dolores§,32,31,0.6,0.7,5.8,"130,251","3,434",3.8 ( 8 ),2.5 ( 9 ),2.3 ( 3 )
29. Upper Sevier,30,30,0.3,0.3,4.3,"55,134","3,758",2.6 ( 16 ),1.9 ( 16 ),0.0 ( 2 )
30. Verde,69,26,0,0,0,225,"1,816",0.1 ( 7 ),0.1 ( 7 ),NA
31. Weber-Ogden,63,46,1.7,1.1,12.8,"119,479","2,041",9.4 ( 16 ),6.3 ( 17 ),NA
32. White-Yampa§,66,54,3,2.3,20.1,"734,486","5,948",12.4 ( 15 ),10.8 ( 15 ),7.1 ( 4 )
