, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Bear,"5,000-6,000'",107,31,0,0,0,39,"1,145",NA,NA,NA
,"6,000-7,000'",88,27,0.2,0,0.7,"4,364","2,441",0.1 ( 3 ),0.0 ( 3 ),0.0 ( 1 )
,"7,000-8,000'",87,52,2,0.9,11.8,"89,458","1,791",7.5 ( 6 ),4.8 ( 6 ),10.7 ( 1 )
,"8,000-9,000'",85,67,8.6,6.4,60.9,"199,569",585,17.2 ( 7 ),14.9 ( 7 ),17.0 ( 1 )
,"9,000-10,000'",77,72,11.7,10.2,80.8,"77,535",142,4.8 ( 2 ),2.1 ( 2 ),NA
,"10,000-11,000'",67,58,13.1,10.8,89.6,"34,599",60,NA,NA,NA
,"11,000-12,000'",63,59,13.5,12.5,90.6,"10,478",16,NA,NA,NA
,"12,000-13,000'",69,64,15.1,12.2,86.5,501,1,NA,NA,NA
2. Beaver,"6,000-7,000'",0,0,0,0,0,0,481,NA,NA,NA
,"7,000-8,000'",5,1,0,0,0.1,5,181,NA,NA,NA
,"8,000-9,000'",29,20,0.2,0.1,4.4,534,77,1.1 ( 1 ),0.0 ( 1 ),NA
,"9,000-10,000'",45,47,1.7,1.4,27.3,"4,948",66,NA,NA,NA
,"10,000-11,000'",44,52,4.5,4.7,62.8,"6,330",25,13.8 ( 1 ),14.2 ( 1 ),NA
,"11,000-12,000'",48,52,7.8,8.4,93,"2,107",5,NA,NA,NA
3. Blue§,"7,000-8,000'",0,0,0,0,0,0,32,NA,NA,NA
,"8,000-9,000'",18,6,0.1,0,0.3,81,100,NA,NA,NA
,"9,000-10,000'",81,46,1.7,1,13.7,"7,370",144,0.2 ( 1 ),0.1 ( 1 ),2.4 ( 1 )
,"10,000-11,000'",68,54,6.5,5,44,"41,766",158,16.5 ( 2 ),16.3 ( 2 ),1.7 ( 1 )
,"11,000-12,000'",73,54,14.4,11,81,"96,884",166,18.1 ( 2 ),18.1 ( 2 ),NA
,"12,000-13,000'",74,62,15.2,13,95.5,"45,278",65,NA,NA,NA
,">13,000'",70,65,13.6,13,98,"4,091",6,NA,NA,NA
4. Canadian,"8,000-9,000'",3,56,0,0,0,14,735,NA,NA,NA
,"9,000-10,000'",1,3,0,0,0.1,33,365,0.0 ( 1 ),0.0 ( 1 ),NA
,"10,000-11,000'",2,9,0,0.1,1.8,417,132,0.1 ( 2 ),0.2 ( 2 ),NA
,"11,000-12,000'",30,41,0.8,1.5,28.8,"2,449",30,NA,NA,NA
,"12,000-13,000'",55,57,3.4,5.1,86.8,687,3,NA,NA,NA
5. Colorado Headwaters§,"5,000-6,000'",0,NA,0,0,0,0,1,NA,NA,NA
,"6,000-7,000'",0,0,0,0,0,0,84,NA,NA,NA
,"7,000-8,000'",7,3,0,0,0,5,431,NA,NA,NA
,"8,000-9,000'",32,27,0.3,0.1,2.2,"5,437",836,0.1 ( 2 ),0.0 ( 2 ),0.8 ( 1 )
,"9,000-10,000'",73,61,3.6,2.3,31,"101,213",819,6.9 ( 4 ),6.4 ( 4 ),8.1 ( 10 )
,"10,000-11,000'",70,62,10,9.1,74.8,"226,784",465,17.1 ( 5 ),16.7 ( 5 ),15.2 ( 2 )
,"11,000-12,000'",72,60,16,16.2,90.8,"179,880",209,21.0 ( 2 ),21.6 ( 2 ),NA
,">12,000'",73,64,13.3,14.5,94.7,"23,141",30,NA,NA,NA
6. Colorado Headwaters-Plateau,"7,000-8,000'",7,6,0,0,0,54,693,NA,NA,NA
,"8,000-9,000'",18,18,0.2,0.1,1.9,"3,589",644,NA,NA,NA
,"9,000-10,000'",57,45,3.9,2.9,38.6,"42,428",277,NA,NA,NA
,"10,000-11,000'",58,55,8,7.5,72.3,"72,713",183,7.9 ( 1 ),5.4 ( 1 ),8.2 ( 1 )
,"11,000-12,000'",78,61,18.5,14.3,99.1,"3,905",5,NA,NA,NA
7. Eagle,"7,000-8,000'",12,35,0,0,0.1,37,155,NA,NA,NA
,"8,000-9,000'",28,41,0.3,0.3,4,"2,545",181,4.7 ( 1 ),2.4 ( 1 ),0.0 ( 1 )
