,,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,Elevation Band,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,"5,000-6,000'",31,0,0,0,0,0,"1,145",NA,NA
,"6,000-7,000'",27,12,0,0,0.2,532,"2,441",0.0 ( 3 ),0.1 ( 3 )
,"7,000-8,000'",52,26,0.9,0.2,4,"20,400","1,791",4.8 ( 6 ),2.1 ( 6 )
,"8,000-9,000'",67,49,6.4,3.2,42.1,"98,938",585,14.9 ( 7 ),10.3 ( 7 )
,"9,000-10,000'",72,59,10.2,6.3,58,"47,849",142,2.1 ( 2 ),0.0 ( 2 )
,"10,000-11,000'",58,48,10.8,7.2,82.9,"23,140",60,NA,NA
,"11,000-12,000'",59,47,12.5,8.5,85.2,"7,096",16,NA,NA
,"12,000-13,000'",64,51,12.2,8.3,80.7,344,1,NA,NA
2. Beaver,"6,000-7,000'",0,NA,0,0,0,0,481,NA,NA
,"7,000-8,000'",1,0,0,0,0,0,181,NA,NA
,"8,000-9,000'",20,6,0.1,0,1.3,102,77,0.0 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",47,33,1.4,0.8,23.1,"2,962",66,NA,NA
,"10,000-11,000'",52,42,4.7,3.1,60.5,"4,237",25,14.2 ( 1 ),13.6 ( 1 )
,"11,000-12,000'",52,41,8.4,5.9,93.3,"1,492",5,NA,NA
3. Blue§,"7,000-8,000'",0,0,0,0,0,0,32,NA,NA
,"8,000-9,000'",6,16,0,0,0.4,73,100,NA,NA
,"9,000-10,000'",46,24,1,0.3,4.8,"1,940",144,0.1 ( 1 ),0.0 ( 1 )
,"10,000-11,000'",54,42,5,4.1,39.6,"34,367",158,16.3 ( 2 ),13.4 ( 2 )
,"11,000-12,000'",54,45,11,8.3,78,"73,510",166,18.1 ( 2 ),16.9 ( 2 )
,"12,000-13,000'",62,51,13,9.6,92.4,"33,297",65,NA,NA
,">13,000'",65,54,13,10,98.8,"3,135",6,NA,NA
4. Canadian,"8,000-9,000'",56,>300†,0,0,0,7,735,NA,NA
,"9,000-10,000'",3,26,0,0,0.4,199,365,0.0 ( 1 ),0.1 ( 1 )
,"10,000-11,000'",9,34,0.1,0.3,8.1,"1,923",132,0.2 ( 2 ),2.6 ( 2 )
,"11,000-12,000'",41,57,1.5,2.6,56.8,"4,166",30,NA,NA
,"12,000-13,000'",57,58,5.1,5.4,100,716,3,NA,NA
5. Colorado Headwaters§,"5,000-6,000'",NA,NA,0,0,0,0,1,NA,NA
,"6,000-7,000'",0,NA,0,0,0,0,84,NA,NA
,"7,000-8,000'",3,0,0,0,0,0,431,NA,NA
,"8,000-9,000'",27,10,0.1,0,0.3,533,836,0.0 ( 2 ),0.1 ( 2 )
,"9,000-10,000'",61,33,2.3,0.8,12.2,"35,520",819,6.4 ( 4 ),4.0 ( 4 )
,"10,000-11,000'",62,49,9.1,5.7,58,"141,595",465,16.7 ( 5 ),13.5 ( 5 )
,"11,000-12,000'",60,48,16.2,11.8,86.3,"131,309",209,21.6 ( 2 ),20.0 ( 2 )
,">12,000'",64,52,14.5,11.2,95.5,"17,927",30,NA,NA
6. Colorado Headwaters-Plateau,"7,000-8,000'",6,4,0,0,0,12,693,NA,NA
,"8,000-9,000'",18,17,0.1,0.1,1.3,"1,792",644,NA,NA
,"9,000-10,000'",45,28,2.9,1.1,18.6,"15,946",277,NA,NA
,"10,000-11,000'",55,45,7.5,4.9,62.3,"47,816",183,5.4 ( 1 ),1.9 ( 1 )
,"11,000-12,000'",61,49,14.3,10.5,98,"2,860",5,NA,NA
7. Eagle,"7,000-8,000'",35,21,0,0,0,5,155,NA,NA
,"8,000-9,000'",41,19,0.3,0,0.8,392,181,2.4 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",47,26,1.7,0.5,7.4,"4,949",199,4.7 ( 1 ),0.0 ( 1 )
,"10,000-11,000'",51,39,4.3,2.7,38.6,"31,233",219,5.4 ( 1 ),0.2 ( 1 )
,"11,000-12,000'",54,44,9.9,7.2,79.9,"50,694",132,NA,NA
,"12,000-13,000'",62,49,14.1,10,92.3,"17,183",32,NA,NA
,"13,000-14,000'",63,51,13.8,10.4,94.9,"1,122",2,NA,NA
8. Gila,"6,000-7,000'",NA,NA,0,0,0,0,"1,912",NA,NA
,"7,000-8,000'",0,NA,0,0,0,0,"2,100",NA,NA
,"8,000-9,000'",0,0,0,0,0,0,793,0.0 ( 5 ),0.0 ( 5 )
,"9,000-10,000'",0,0,0,0,0,0,109,0.0 ( 1 ),0.0 ( 1 )
,"10,000-11,000'",0,0,0,0,0,0,10,NA,NA
9. Gunnison§,"7,000-8,000'",20,1,0,0,0,2,"1,020",NA,NA
,"8,000-9,000'",18,8,0,0,0.3,816,"1,710",0.0 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",27,20,0.6,0.2,4.7,"20,175","1,555",3.2 ( 4 ),2.7 ( 4 )
,"10,000-11,000'",40,40,2.6,1.8,26.2,"114,908","1,223",5.0 ( 3 ),3.6 ( 3 )
,"11,000-12,000'",54,48,6.7,5,65.5,"170,768",642,1.4 ( 3 ),0.1 ( 3 )
,"12,000-13,000'",59,49,9.9,7.5,91.7,"106,549",266,NA,NA
,"13,000-14,000'",61,50,10.5,8.3,93.5,"7,911",18,NA,NA
10. Little Colorado,"6,000-7,000'",NA,NA,0,0,0,0,"9,987",NA,NA
,"7,000-8,000'",0,0,0,0,0,0,"5,626",0.1 ( 2 ),0.1 ( 2 )
,"8,000-9,000'",11,0,0,0,0,0,600,0.2 ( 1 ),0.2 ( 1 )
,"9,000-10,000'",11,8,0,0,0.2,57,147,1.1 ( 2 ),1.0 ( 2 )
,"10,000-11,000'",35,35,0.6,0.5,15.1,402,16,NA,NA
,">11,000'",51,54,2.8,3.1,59.3,640,4,NA,NA
