,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,127,149,6.7,11,91.8,"63,820",109.27,NA,NA
22. Lower Yakima,144,181,6.6,10.6,81.7,"277,474",489.29,16.1 ( 2 ),17.5 ( 2 )
23. Malheur,115,139,7.3,10.2,83.5,"539,141",992.38,11.1 ( 3 ),14.6 ( 3 )
24. Middle Humboldt,56,95,1.5,3.9,45.9,"130,905",633.11,NA,NA
25. Northern Big Smoky Valley,54,86,1.8,4.4,50.7,"134,776",569.69,NA,NA
26. Northern Great Basin,46,98,1.5,4.9,50.4,"584,199",2226.94,4.6 ( 2 ),6.5 ( 2 )
27. Panhandle Basins,116,171,3.4,7.6,50.1,"668,610",1643.35,19.1 ( 3 ),21.0 ( 3 )
28. Reese,58,94,2.1,5.4,56.9,"141,204",491.03,7.9 ( 2 ),9.4 ( 2 )
29. Rock,35,65,0.8,2.6,27.3,"113,743",834.75,8.4 ( 1 ),12.1 ( 1 )
30. Salmon Basin,94,110,7.2,10.1,79.9,"6,396,312",11932.58,11.3 ( 11 ),15.8 ( 11 )
31. Silver,103,159,4.8,7.8,62.7,"178,341",431.18,NA,NA
32. Silvies,119,159,6.2,9.3,82.5,"654,304",1316.03,10.0 ( 2 ),13.5 ( 2 )
33. Southern Snake Basins,67,101,2.9,4.6,49.2,"3,068,052",12500.93,7.4 ( 13 ),9.3 ( 13 )
34. Spokane,152,209,3.4,6.6,48.7,"1,103,054",3145.86,12.2 ( 8 ),13.9 ( 8 )
35. St. Mary,79,106,4,8,75.9,"275,519",648.17,4.6 ( 1 ),6.4 ( 1 )
36. Truckee,49,77,2.2,4.9,34,"374,512",1420.37,9.7 ( 9 ),17.3 ( 8 )
37. Umatilla-Walla Walla-Willow,69,107,1.8,3.8,30.2,"290,223",1433.69,12.3 ( 7 ),15.1 ( 7 )
38. Upper Humboldt,55,88,1.9,4.1,51.6,"1,112,095",5032.84,7.1 ( 7 ),11.1 ( 8 )
39. Walker,51,89,1.8,4.2,53.8,"433,648",1939.01,8.7 ( 6 ),15.7 ( 7 )
40. West Central Basins,94,113,8.9,12.8,90.3,"3,842,030",5616.63,15.9 ( 13 ),21.7 ( 14 )
