 ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,Area (mi2),3/15/2025,3/31/2025,3/31/2025
Basin,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Alvord Lake,149,176,6.2,5.4,40.8,"94,144",324,NA,NA,17.6 ( 2 )
2. Bitterroot,104,101,8.4,9.4,51,"979,767","1,952",17.8 ( 4 ),20.4 ( 4 ),3.5 ( 1 )
3. Carson,106,93,5.4,4.2,20.1,"314,038","1,405",17.0 ( 7 ),17.1 ( 7 ),NA
4. Clearwater Basin,97,100,5.1,6.1,29.6,"2,451,981","7,488",21.3 ( 7 ),29.5 ( 11 ),NA
5. Clover Valley and Franklin,188,86,2.2,0.7,8,"160,611","4,048",17.9 ( 2 ),19.9 ( 2 ),NA
6. Donner und Blitzen,133,145,14.1,12.5,74.2,"148,365",222,35.2 ( 2 ),38.1 ( 2 ),NA
7. Dry Lake Valley,133,46,3,0.6,7.3,"9,603",289,NA,NA,NA
8. Eastern Nevada,124,88,4,2,21.1,"468,286","4,372",8.2 ( 8 ),7.6 ( 8 ),4.6 ( 5 )
9. Flathead,90,71,4,3.6,21.4,"1,432,518","7,526",19.0 ( 13 ),21.1 ( 13 ),12.1 ( 17 )
10. Grande Ronde-Burnt-Powder_Imnaha,123,122,7.1,5.7,35,"1,627,170","5,312",17.7 ( 11 ),19.8 ( 11 ),20.2 ( 7 )
11. Guano,164,311,1.1,0.8,8.5,"82,861","2,036",0.0 ( 1 ),0.0 ( 1 ),6.8 ( 2 )
12. Harney-Malheur Lakes,166,248,4.5,3.1,33.5,"45,150",276,NA,NA,0.8 ( 1 )
13. John Day,106,121,6.3,5.9,37.9,"469,929","1,502",19.8 ( 2 ),20.0 ( 2 ),NA
14. Kootenai,80,40,3.5,2.1,12.2,"188,097","1,673",18.4 ( 5 ),20.8 ( 5 ),21.4 ( 2 )
15. Lake County-Goose Lake,180,190,6.3,5.6,39.7,"1,073,258","3,602",22.9 ( 2 ),22.0 ( 2 ),16.6 ( 5 )
16. Little Humboldt,158,106,6.6,2.2,18,"49,714",419,16.3 ( 3 ),14.0 ( 3 ),NA
17. Lower Clark Fork,118,89,7.9,6.8,36.3,"527,589","1,465",32.3 ( 4 ),38.9 ( 4 ),30.9 ( 5 )
18. Lower Humboldt,183,141,4.1,1.4,13.3,"20,618",274,10.6 ( 1 ),2.9 ( 1 ),NA
19. Lower Pend Oreille,102,48,7.4,4.4,19.2,"30,212",129,23.6 ( 1 ),26.5 ( 1 ),NA
20. Lower Snake-Asotin,135,122,2.5,1.6,14.1,"28,189",328,6.7 ( 2 ),6.5 ( 2 ),NA
