, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
21. Lower Snake-Tucannon,"4,000-5,000'",161,155,4.5,2.4,28.7,"8,357",66,NA,NA,NA
,"5,000-6,000'",132,145,12.7,11.4,75.1,"24,967",41,NA,NA,NA
,"6,000-7,000'",131,133,22.9,22.4,89.4,"2,193",2,NA,NA,NA
22. Lower Yakima,"3,000-4,000'",193,137,3,1.1,12.6,"17,793",315,NA,NA,NA
,"4,000-5,000'",132,141,10.8,11,75.4,"73,993",126,NA,NA,NA
,"5,000-6,000'",121,124,17.1,20,92.4,"42,038",39,20.9 ( 2 ),21.1 ( 2 ),NA
,"6,000-7,000'",124,129,22.5,28.6,95.7,"13,540",9,NA,NA,NA
23. Malheur,"5,000-6,000'",164,205,7.3,5.2,47.3,"237,418",863,15.5 ( 3 ),13.4 ( 3 ),NA
,"6,000-7,000'",133,139,16.1,14.4,73.6,"79,368",103,NA,NA,NA
,"7,000-8,000'",131,136,23.7,23.4,82.1,"32,471",26,NA,NA,NA
,"8,000-9,000'",97,141,5.4,24.5,73.5,505,0,NA,NA,NA
24. Middle Humboldt,"6,000-7,000'",193,90,2.5,0.2,3.1,"5,514",475,NA,NA,NA
,"7,000-8,000'",150,95,7.7,2.2,19.7,"16,634",144,NA,NA,NA
,"8,000-9,000'",135,105,11.7,6.4,43.7,"4,467",13,NA,NA,NA
,"9,000-10,000'",139,126,12.8,12.4,72.3,384,1,NA,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",135,78,3.3,0.9,11.5,"15,212",312,NA,NA,NA
,"8,000-9,000'",132,99,7.1,3.3,29.6,"27,873",158,NA,NA,NA
,"9,000-10,000'",128,105,11.9,6.8,45.8,"25,681",71,NA,NA,NA
,"10,000-11,000'",122,109,14.3,10,60.9,"13,732",26,NA,NA,NA
,"11,000-12,000'",126,113,15.2,12.3,74.6,"1,967",3,NA,NA,NA
26. Northern Great Basin,"6,000-7,000'",125,99,1.5,0.4,4.4,"41,748","1,932",2.3 ( 1 ),0.0 ( 1 ),0.4 ( 1 )
,"7,000-8,000'",133,116,7.4,4.5,32.7,"60,953",253,11.4 ( 1 ),10.5 ( 1 ),NA
,"8,000-9,000'",122,122,13.4,12.9,66.3,"28,215",41,NA,NA,NA
,"9,000-10,000'",132,137,18.5,18.8,82.7,580,1,NA,NA,NA
27. Panhandle Basins,"3,000-4,000'",88,44,0.9,0.3,3.2,"12,105",702,2.5 ( 1 ),0.0 ( 1 ),NA
,"4,000-5,000'",80,34,2.9,1.5,10.2,"41,335",508,NA,NA,20.3 ( 1 )
,"5,000-6,000'",101,31,8.7,3.6,15,"66,183",344,38.1 ( 2 ),42.3 ( 2 ),NA
,"6,000-7,000'",126,28,14.7,4.2,15.5,"19,639",88,NA,NA,NA
,"7,000-8,000'",116,40,15.7,4.9,16,607,2,NA,NA,NA
