,,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,Elevation Band,%3/31 Avg.,%4/6 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,"4,000-5,000'",155,140,2.4,1.8,19.2,"6,328",66,NA,NA
,"5,000-6,000'",145,157,11.4,13,81,"28,417",41,NA,NA
,"6,000-7,000'",133,137,22.4,24.2,94.8,"2,371",2,NA,NA
22. Lower Yakima,"3,000-4,000'",137,162,1.1,0.4,4.3,"6,776",315,NA,NA
,"4,000-5,000'",141,159,11,7.8,49,"52,127",126,NA,NA
,"5,000-6,000'",124,133,20,18.7,84.6,"39,284",39,21.1 ( 2 ),21.4 ( 2 )
,"6,000-7,000'",129,137,28.6,27.1,90.7,"12,829",9,NA,NA
23. Malheur,"5,000-6,000'",205,249,5.2,5.6,44.6,"256,369",863,13.4 ( 3 ),12.5 ( 3 )
,"6,000-7,000'",139,155,14.4,16.9,83.5,"92,988",103,NA,NA
,"7,000-8,000'",136,141,23.4,27.3,93.9,"37,962",26,NA,NA
,"8,000-9,000'",141,75,24.5,16.9,50,348,0,NA,NA
24. Middle Humboldt,"6,000-7,000'",90,>200†,0.2,1.2,16.8,"31,546",475,NA,NA
,"7,000-8,000'",95,203,2.2,6.7,62.7,"51,258",144,NA,NA
,"8,000-9,000'",105,140,6.4,12.3,85.3,"8,604",13,NA,NA
,"9,000-10,000'",126,133,12.4,14.9,88.2,461,1,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",78,152,0.9,2.8,33.4,"45,975",312,NA,NA
,"8,000-9,000'",99,129,3.3,6.6,61.6,"55,549",158,NA,NA
,"9,000-10,000'",105,123,6.8,11.4,81,"43,134",71,NA,NA
,"10,000-11,000'",109,116,10,14.2,86,"19,403",26,NA,NA
,"11,000-12,000'",113,113,12.3,13.9,82.7,"2,219",3,NA,NA
26. Northern Great Basin,"6,000-7,000'",99,>200†,0.4,1.3,14,"135,074","1,932",0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",116,167,4.5,8.7,66.8,"117,896",253,10.5 ( 1 ),12.4 ( 1 )
,"8,000-9,000'",122,138,12.9,17.1,87.5,"37,511",41,NA,NA
,"9,000-10,000'",137,148,18.8,21.5,91.7,664,1,NA,NA
27. Panhandle Basins,"3,000-4,000'",44,108,0.3,0.6,5.9,"23,184",701,0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",34,54,1.5,2.6,16.5,"70,385",508,NA,NA
,"5,000-6,000'",31,49,3.6,6.4,26.2,"117,572",344,42.3 ( 2 ),44.5 ( 2 )
,"6,000-7,000'",28,49,4.2,8.2,29.2,"38,236",88,NA,NA
,"7,000-8,000'",40,55,4.9,8.3,29.8,"1,025",2,NA,NA
28. Reese,"7,000-8,000'",80,163,1.3,3.7,44.4,"56,205",282,14.8 ( 1 ),16.2 ( 1 )
,"8,000-9,000'",109,140,4.7,8.4,71.2,"67,580",150,15.5 ( 1 ),17.0 ( 1 )
,"9,000-10,000'",128,140,9.7,14.1,89.1,"35,287",47,NA,NA
,">10,000'",120,125,11.8,16.1,91.9,"9,629",11,NA,NA
29. Rock,"5,000-6,000'",184,94,0,0,0.1,176,591,NA,NA
,"6,000-7,000'",102,179,0.7,1,10.9,"11,365",212,NA,NA
,"7,000-8,000'",107,154,5.1,8.8,67.4,"13,701",29,17.5 ( 1 ),18.8 ( 1 )
,"8,000-9,000'",118,130,13.4,18.2,93.1,"3,189",3,NA,NA
30. Salmon Basin,"5,000-6,000'",183,224,3.6,4,30.8,"441,899","2,057",22.1 ( 1 ),22.9 ( 1 )
,"6,000-7,000'",132,147,9.4,10,56,"1,908,862","3,565",30.2 ( 3 ),30.9 ( 3 )
,"7,000-8,000'",112,120,14.7,15.9,74,"3,233,312","3,809",11.4 ( 1 ),12.0 ( 1 )
,"8,000-9,000'",104,108,16.6,18.6,82.6,"1,912,328","1,927",18.6 ( 5 ),19.0 ( 5 )
,"9,000-10,000'",105,103,18.3,20.7,87.9,"552,594",502,13.9 ( 1 ),14.2 ( 1 )
,"10,000-11,000'",103,101,18.3,21.3,91.9,"79,548",70,NA,NA
,"11,000-12,000'",105,100,16.9,22.6,96.6,"3,259",3,NA,NA
31. Silver,"5,000-6,000'",>200†,>200†,3.6,3.2,28.1,"73,944",428,NA,NA
,"6,000-7,000'",189,>200†,9.2,10.5,72.5,"1,944",3,NA,NA
32. Silvies,"4,000-5,000'",>200†,>200†,1,0.8,9.5,"29,898",714,NA,NA
,"5,000-6,000'",216,>200†,5,6.1,52.6,"186,511",570,5.1 ( 1 ),4.2 ( 1 )
,"6,000-7,000'",139,152,10.3,12,71.2,"19,501",31,22.6 ( 1 ),22.0 ( 1 )
,"7,000-8,000'",131,132,26.8,29.2,97.5,"3,007",2,NA,NA
33. Southern Snake Basins,"5,000-6,000'",102,102,0.2,0.1,1.2,"42,599","8,109",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",103,181,2,2.9,26.5,"514,757","3,281",8.0 ( 5 ),8.3 ( 5 )
,"7,000-8,000'",112,139,8,11.2,75,"544,092",908,14.6 ( 4 ),15.5 ( 4 )
,"8,000-9,000'",112,122,15.4,18.8,92.8,"166,996",166,20.3 ( 3 ),21.7 ( 3 )
,"9,000-10,000'",111,116,19.9,22.7,92.9,"43,613",36,NA,NA
,"10,000-11,000'",110,110,19.8,22.7,89.8,"1,990",2,NA,NA
34. Spokane,"3,000-4,000'",54,77,0.3,0.3,2.8,"28,936","1,665",3.0 ( 1 ),2.2 ( 1 )
,"4,000-5,000'",88,93,2.9,3.3,20,"178,516","1,020",18.6 ( 4 ),18.9 ( 4 )
