 ,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,%5/11 Avg.,%5/17 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,132,125,1,0.9,14.4,"5,038",109,NA,NA
22. Lower Yakima,55,83,0.4,0.5,6.4,"13,880",489,4.7 ( 2 ),2.6 ( 2 )
23. Malheur,84,172,0.5,0.6,9.5,"33,606",992,0.0 ( 3 ),0.0 ( 3 )
24. Middle Humboldt,21,285,0,0,0.7,"1,009",633,NA,NA
25. Northern Big Smoky Valley,34,53,0.2,0.2,3.1,"4,699",570,NA,NA
26. Northern Great Basin,70,116,0.1,0.1,1.3,"8,069","2,226",0.0 ( 2 ),0.0 ( 2 )
27. Panhandle Basins,63,71,2,2.1,22.2,"184,726","1,644",21.9 ( 3 ),19.6 ( 3 )
28. Reese,39,84,0.2,0.2,4.9,"5,331",491,1.6 ( 2 ),0.2 ( 2 )
29. Rock,41,180,0,0,0.3,613,835,0.0 ( 1 ),0.1 ( 1 )
30. Salmon Basin,75,70,3.4,2.8,34.4,"1,750,494","11,932",10.1 ( 11 ),8.8 ( 11 )
31. Silver,90,15,0,0,0,24,431,NA,NA
32. Silvies,53,80,0.1,0,0.6,"2,985","1,316",0.1 ( 1 ),0.0 ( 1 )
33. Southern Snake Basins,54,132,0.1,0.2,2.7,"101,301","12,500",1.7 ( 13 ),1.3 ( 13 )
34. Spokane,86,74,0.8,0.5,6.7,"91,870","3,146",3.1 ( 8 ),1.8 ( 8 )
35. St. Mary,63,79,4.1,4.3,27.2,"148,204",648,0.0 ( 1 ),0.0 ( 1 )
36. Truckee,42,55,0.9,0.7,8.5,"51,844","1,420",10.0 ( 9 ),8.9 ( 9 )
37. Umatilla-Walla Walla-Willow,75,116,0.2,0.3,4.9,"21,380","1,434",7.2 ( 7 ),5.6 ( 7 )
38. Upper Humboldt,78,100,0.3,0.3,5,"84,013","5,032",4.0 ( 8 ),3.3 ( 8 )
39. Walker,60,68,1,0.8,7.8,"79,110","1,939",9.6 ( 7 ),8.1 ( 7 )
40. West Central Basins,73,79,2.8,2.5,31.6,"764,235","5,620",9.3 ( 15 ),6.9 ( 15 )
