,,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,Elevation Band,%5/11 Avg.,%5/17 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,"6,000-7,000'",258,>300†,0.1,0.2,3.7,"2,628",241,NA,NA
,"7,000-8,000'",114,182,0.8,1.2,19.9,"4,498",70,NA,NA
,"8,000-9,000'",113,95,7.2,6.6,66.7,"3,929",11,NA,NA
,"9,000-10,000'",104,88,8.9,11.4,93.8,938,2,NA,NA
2. Bitterroot,"5,000-6,000'",64,62,0.2,0.1,3.5,"5,089",658,0.2 ( 2 ),0.0 ( 2 )
,"6,000-7,000'",73,75,2.2,1.7,26.2,"64,750",707,13.6 ( 2 ),12.0 ( 2 )
,"7,000-8,000'",67,62,7.4,5.2,57.3,"136,919",496,15.1 ( 1 ),14.7 ( 1 )
,"8,000-9,000'",64,46,11.6,6.9,68.9,"32,764",89,NA,NA
,"9,000-10,000'",63,44,11.1,6.4,66.6,754,2,NA,NA
3. Carson,"5,000-6,000'",0,0,0,0,0,0,619,NA,NA
,"6,000-7,000'",2,5,0,0,0.2,60,351,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",18,22,0.4,0.2,5.2,"2,858",220,0.1 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",47,51,3.9,2.4,28.3,"19,929",157,4.4 ( 5 ),2.4 ( 5 )
,"9,000-10,000'",62,65,9,5.8,55.6,"14,891",48,NA,NA
,">10,000'",73,77,14.1,9.4,65.8,"5,337",11,NA,NA
4. Clearwater Basin,"3,000-4,000'",38,33,0,0,0.2,945,"2,294",0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",63,63,0.5,0.3,5.2,"31,698","1,963",0.0 ( 2 ),0.0 ( 2 )
,"5,000-6,000'",76,77,3.3,2.3,29.6,"219,669","1,808",23.5 ( 5 ),19.9 ( 5 )
,"6,000-7,000'",70,67,8.2,5.7,57.1,"349,007","1,147",19.8 ( 3 ),17.7 ( 3 )
,"7,000-8,000'",65,57,11.6,7.9,71.2,"109,827",262,NA,NA
,"8,000-9,000'",67,48,13.2,8.4,79,"5,919",13,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",24,22,0,0,0.3,2,727,NA,NA
,"6,000-7,000'",3,>300†,0,0,0,100,"2,366",NA,NA
,"7,000-8,000'",40,264,0,0.1,4,"4,490",756,0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",68,121,0.7,1.1,27.2,"9,582",158,2.3 ( 1 ),0.4 ( 1 )
,"9,000-10,000'",92,83,6.4,5.6,80.7,"10,734",36,NA,NA
,"10,000-11,000'",84,74,9.1,7.8,89.4,"2,317",6,NA,NA
6. Donner und Blitzen,"6,000-7,000'",246,>300†,0.9,1.8,31.4,"13,854",143,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",133,155,5.1,5.2,69.9,"16,100",58,36.8 ( 1 ),36.5 ( 1 )
,"8,000-9,000'",112,98,10.8,9.7,92.4,"9,270",18,NA,NA
,"9,000-10,000'",104,91,10.5,11.6,88.7,"1,373",2,NA,NA
7. Dry Lake Valley,"7,000-8,000'",0,0,0,0,0,0,226,NA,NA
,"8,000-9,000'",3,4,0,0,0.2,10,52,NA,NA
,"9,000-10,000'",10,32,0.2,0.1,3.9,60,9,NA,NA
,"10,000-11,000'",59,44,2.9,0.5,14,58,2,NA,NA
8. Eastern Nevada,"7,000-8,000'",13,107,0,0,0.3,"1,001","2,847",0.0 ( 1 ),0.1 ( 1 )
,"8,000-9,000'",16,48,0,0.1,2.7,"5,006","1,108",0.0 ( 3 ),0.0 ( 3 )
,"9,000-10,000'",33,44,0.4,0.4,10.5,"6,149",308,4.6 ( 2 ),3.8 ( 2 )
,"10,000-11,000'",73,60,3.2,1.7,32.1,"8,279",93,0.7 ( 2 ),0.1 ( 2 )
,">11,000'",97,69,6.4,3.6,62.6,"3,215",17,NA,NA
9. Flathead,"3,000-4,000'",7,14,0,0,0.1,28,"2,020",0.1 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",59,77,0.1,0.1,4.1,"13,152","1,900",0.0 ( 3 ),0.0 ( 3 )
,"5,000-6,000'",78,87,2,1.9,23.6,"168,581","1,689",15.0 ( 3 ),14.1 ( 3 )
,"6,000-7,000'",82,90,8.3,7.6,55.2,"562,155","1,392",28.7 ( 5 ),21.0 ( 4 )
,"7,000-8,000'",88,100,14.2,14.1,67.4,"362,628",483,NA,NA
,"8,000-9,000'",88,95,17.3,18.3,70.3,"38,981",40,NA,NA
,"9,000-10,000'",87,98,13,19.7,81.9,"1,619",2,NA,NA
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000-5,000'",105,162,0.1,0.1,2.3,"17,760","3,095",0.9 ( 1 ),1.0 ( 1 )
,"5,000-6,000'",90,126,1,1.1,19.3,"83,430","1,376",2.8 ( 7 ),2.2 ( 7 )
,"6,000-7,000'",74,88,4.8,5,57.9,"129,312",485,NA,NA
,"7,000-8,000'",66,70,12.3,11.8,83.2,"171,648",274,12.8 ( 2 ),13.1 ( 2 )
,"8,000-9,000'",62,60,14.7,13.1,75.4,"55,343",79,NA,NA
,"9,000-10,000'",61,60,10.8,10,66.9,"1,496",3,NA,NA
11. Guano,"5,000-6,000'",388,273,0,0,0,6,"1,484",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",155,>300†,0,0.1,1.4,"2,288",527,NA,NA
,"7,000-8,000'",65,280,0.3,1.7,27.3,"2,232",25,NA,NA
12. Harney-Malheur Lakes,"5,000-6,000'",64,35,0,0,0,34,248,NA,NA
,"6,000-7,000'",83,249,0.1,0.2,3.9,370,28,NA,NA
13. John Day,"5,000-6,000'",29,70,0.1,0.1,2.7,"9,585","1,199",0.0 ( 2 ),0.0 ( 2 )
,"6,000-7,000'",87,107,3.2,3.2,38.9,"42,620",249,NA,NA
,"7,000-8,000'",84,92,10.8,9.7,82.7,"27,396",53,NA,NA
,"8,000-9,000'",77,73,14.1,12.1,92.7,"1,117",2,NA,NA
14. Kootenai,"4,000-5,000'",64,56,0.2,0.2,2.7,"7,629",887,0.7 ( 2 ),0.1 ( 2 )
,"5,000-6,000'",63,64,2.3,2,23.8,"66,417",612,11.9 ( 2 ),7.3 ( 2 )
,"6,000-7,000'",73,68,8.7,7.1,61.4,"62,977",166,30.5 ( 1 ),29.2 ( 1 )
,">7,000'",67,61,14,11.7,77.4,"4,876",8,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",40,>300†,0,0,1.1,"7,114","2,688",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",70,203,0.8,1.3,22,"53,652",797,NA,NA
,"7,000-8,000'",103,104,6.5,4.5,57.2,"27,447",115,24.5 ( 1 ),21.1 ( 1 )
,"8,000-9,000'",97,85,11.5,9.2,77.6,856,2,NA,NA
16. Little Humboldt,"6,000-7,000'",43,144,0,0,0.3,207,326,0.1 ( 2 ),0.1 ( 2 )
,"7,000-8,000'",49,118,0.2,0.3,6.3,"1,373",82,NA,NA
,"8,000-9,000'",81,96,2.3,1.4,22.4,831,11,9.9 ( 1 ),5.4 ( 1 )
,"9,000-10,000'",76,96,3.8,3.1,46.5,97,1,NA,NA
17. Lower Clark Fork,"5,000-6,000'",76,74,2.1,1.7,19.6,"99,291","1,091",34.9 ( 2 ),31.0 ( 2 )
,"6,000-7,000'",77,70,6.8,4.8,48.1,"90,029",350,32.5 ( 1 ),30.0 ( 1 )
,"7,000-8,000'",76,80,12.6,10.8,70,"13,845",24,27.5 ( 1 ),27.8 ( 1 )
,"8,000-9,000'",63,67,12.8,12.6,78.5,259,0,NA,NA
18. Lower Humboldt,"6,000-7,000'",0,300,0,0,0.2,62,213,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",36,279,0.1,0.3,8,749,47,NA,NA
,"8,000-9,000'",61,140,0.7,0.9,20.9,675,14,NA,NA
,"9,000-10,000'",75,83,1.7,0.8,19,21,0,NA,NA
19. Lower Pend Oreille,"5,000-6,000'",95,110,3.4,3.4,41.6,"19,556",108,15.2 ( 1 ),13.6 ( 1 )
,">6,000'",80,92,8.1,8.1,71.9,"9,146",21,NA,NA
20. Lower Snake-Asotin,"3,000-4,000'",0,0,0,0,0,0,190,0.0 ( 1 ),0.1 ( 1 )
,"4,000-5,000'",23,8,0,0,0.1,24,98,NA,NA
,"5,000-6,000'",93,83,1.1,0.9,13.7,"1,842",39,0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",74,104,9.7,8.3,73.3,511,1,NA,NA
