 ,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,162,113,0.7,0.2,2.6,"3,465",324,NA,NA
2. Bitterroot,62,76,2.3,1.4,16.7,"144,929","1,952",6.0 ( 4 ),4.4 ( 4 )
3. Carson,48,14,0.6,0.1,3.4,"8,503","1,405",1.7 ( 7 ),0.1 ( 7 )
4. Clearwater Basin,68,76,1.8,0.8,10.6,"323,695","7,488",13.9 ( 11 ),11.4 ( 10 )
5. Clover Valley and Franklin,113,139,0.1,0,0.6,"9,262","4,048",0.2 ( 2 ),0.0 ( 2 )
6. Donner und Blitzen,190,131,3.4,0.9,12.7,"10,590",222,18.3 ( 2 ),15.1 ( 2 )
7. Dry Lake Valley,21,4,0,0,0,6,289,NA,NA
8. Eastern Nevada,53,56,0.1,0,0.5,"6,797","4,372",1.0 ( 8 ),0.3 ( 8 )
9. Flathead,92,100,2.9,1.5,14.5,"605,470","7,526",11.6 ( 12 ),10.6 ( 12 )
10. Grande Ronde-Burnt-Powder_Imnaha,82,92,1.6,0.8,7.8,"230,019","5,312",4.3 ( 10 ),2.7 ( 11 )
11. Guano,359,30,0,0,0,98,"2,036",0.0 ( 1 ),0.0 ( 1 )
12. Harney-Malheur Lakes,105,41,0,0,0,9,276,NA,NA
13. John Day,94,105,1,0.3,4.1,"24,838","1,502",0.0 ( 2 ),0.0 ( 2 )
14. Kootenai,65,79,1.6,0.6,9.9,"57,306","1,673",8.8 ( 5 ),6.5 ( 5 )
15. Lake County-Goose Lake,169,116,0.5,0.1,1.9,"21,464","3,602",10.6 ( 2 ),6.9 ( 2 )
16. Little Humboldt,111,48,0.1,0,0.3,431,419,1.8 ( 3 ),0.1 ( 3 )
17. Lower Clark Fork,72,79,2.6,1,14.7,"81,863","1,465",29.9 ( 4 ),26.2 ( 4 )
18. Lower Humboldt,192,13,0.1,0,0,15,274,0.0 ( 1 ),0.0 ( 1 )
19. Lower Pend Oreille,103,172,4.2,1.7,23.1,"11,459",129,13.6 ( 1 ),9.4 ( 1 )
20. Lower Snake-Asotin,78,37,0.1,0,0.3,291,328,0.1 ( 2 ),0.0 ( 2 )
