 ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025
Basin,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Belle Fourche,108,44,2.3,0.7,15.7,"259,110","7,203",4.4 ( 1 ),4.7 ( 1 ),4.8 ( 4 )
2. Bighorn,114,77,4.7,2.8,32,"3,445,365","22,741",8.4 ( 21 ),9.2 ( 21 ),7.1 ( 11 )
3. Cheyenne,129,19,1.7,0.2,3.9,"145,862","15,348",4.4 ( 2 ),4.7 ( 2 ),2.7 ( 3 )
4. Gallatin,106,118,7.1,8.1,80.2,"795,418","1,846",14.6 ( 4 ),16.6 ( 4 ),12.4 ( 4 )
5. Jefferson,107,107,7.7,7.2,64.5,"3,387,135","8,788",8.7 ( 14 ),10.3 ( 14 ),9.8 ( 13 )
6. Madison Headwaters in WY,112,107,7.9,7.4,65.6,"1,000,311","2,521",12.3 ( 7 ),14.0 ( 7 ),7.9 ( 5 )
7. North Platte,98,57,7.5,4,36.7,"2,216,663","10,282",13.0 ( 22 ),15.0 ( 22 ),13.4 ( 13 )
8. Powder,123,43,3,0.6,10.2,"424,221","13,384",4.6 ( 5 ),4.9 ( 5 ),3.1 ( 2 )
9. Smith-Judith-Musselshell,125,116,6.3,4.4,53.2,"1,948,662","8,336",11.2 ( 9 ),12.3 ( 9 ),10.3 ( 6 )
10. Snake,97,102,10,11.6,89.2,"3,482,570","5,625",15.7 ( 11 ),18.2 ( 11 ),12.9 ( 11 )
11. Sun-Teton-Marias,172,87,6.8,1.9,18.4,"1,062,685","10,460",5.5 ( 5 ),6.7 ( 5 ),6.6 ( 4 )
12. Tongue,119,92,4,1.6,29.9,"460,915","5,400",6.3 ( 6 ),6.8 ( 6 ),8.4 ( 3 )
13. Upper Clark Fork,112,125,6.7,7.8,72.7,"2,485,038","5,983",8.3 ( 12 ),9.9 ( 12 ),7.0 ( 18 )
14. Upper Green,94,72,7.7,6,55.6,"3,076,771","9,542",10.7 ( 21 ),11.9 ( 22 ),13.7 ( 2 )
15. Upper Missouri,127,141,6.3,5.9,68.2,"928,795","2,950",5.7 ( 2 ),6.5 ( 2 ),5.8 ( 3 )
16. Upper Snake Basins,104,108,7.8,8.8,78.2,"3,237,058","6,872",15.2 ( 11 ),17.8 ( 11 ),16.4 ( 19 )
17. Upper Yellowstone,120,123,7.1,6.8,67,"4,014,566","11,070",11.1 ( 20 ),12.7 ( 20 ),7.8 ( 8 )
18. Wood and Lost Basins,112,111,9.1,9.4,84,"3,723,023","7,421",10.9 ( 16 ),11.9 ( 16 ),6.5 ( 13 )
