 ,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,105,12,0.1,0,0.1,"1,043","7,200",1.5 ( 1 ),0.0 ( 1 )
2. Bighorn,113,106,2.9,2.3,17.5,"2,838,203","22,740",10.8 ( 21 ),11.0 ( 21 )
3. Cheyenne,76,44,0,0,0,"1,384","15,348",0.1 ( 2 ),0.1 ( 2 )
4. Gallatin,99,82,5.6,3.8,29.1,"374,279","1,846",21.9 ( 4 ),21.8 ( 4 )
5. Jefferson,109,95,4,2.6,19.2,"1,225,688","8,788",12.3 ( 14 ),11.8 ( 14 )
6. Madison Headwaters in WY,94,83,6.2,4.6,35.4,"624,568","2,524",17.2 ( 7 ),15.9 ( 7 )
7. North Platte,112,58,3.6,1.4,13.5,"774,269","10,281",16.8 ( 22 ),15.0 ( 22 )
8. Powder,107,87,0.4,0.2,2.2,"170,564","13,385",4.6 ( 5 ),4.3 ( 5 )
9. Smith-Judith-Musselshell,148,148,1.7,1,9.1,"462,858","8,335",15.0 ( 9 ),14.0 ( 9 )
10. Snake,102,99,11.2,9.1,63.7,"2,716,050","5,626",19.9 ( 11 ),18.8 ( 11 )
11. Sun-Teton-Marias,96,93,1.2,0.7,5.2,"403,837","10,463",6.4 ( 5 ),5.3 ( 5 )
12. Tongue,90,97,0.8,0.8,6.8,"235,257","5,400",9.2 ( 6 ),9.5 ( 6 )
13. Upper Clark Fork,77,110,2.1,2.5,19,"795,859","5,981",11.3 ( 12 ),11.0 ( 12 )
14. Upper Green,135,90,5.9,3.2,23,"1,632,662","9,539",12.3 ( 21 ),11.0 ( 21 )
15. Upper Missouri,136,141,1.5,0.8,7.7,"130,165","2,951",5.3 ( 2 ),2.8 ( 2 )
16. Upper Snake Basins,107,85,4,2.4,20,"878,463","6,875",16.9 ( 11 ),13.2 ( 11 )
17. Upper Yellowstone,102,94,6.1,5.1,36.5,"3,038,587","11,070",15.7 ( 19 ),15.4 ( 19 )
18. Wood and Lost Basins,97,104,3,2.3,16.3,"913,125","7,420",8.1 ( 16 ),6.1 ( 16 )
