,,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,Elevation Band,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,"2,000-3,000'",NA,NA,0,0,0,0,"1,720",NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"1,722",NA,NA
,"4,000-5,000'",0,NA,0,0,0,0,"2,827",NA,NA
,"5,000-6,000'",0,0,0,0,0,0,721,0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",1,8,0,0,0,12,209,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,1,NA,NA
2. Bighorn,"2,000-3,000'",NA,NA,0,0,0,0,213,NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"2,480",NA,NA
,"4,000-5,000'",NA,NA,0,0,0,0,"5,267",NA,NA
,"5,000-6,000'",15,NA,0,0,0,1,"5,480",NA,NA
,"6,000-7,000'",51,615,0,0,0,166,"3,200",NA,NA
,"7,000-8,000'",64,235,0.2,0.1,1.7,"7,001","1,827",0.8 ( 3 ),0.0 ( 3 )
,"8,000-9,000'",65,153,1.6,1.1,17.8,"91,664","1,565",1.2 ( 7 ),0.4 ( 7 )
,"9,000-10,000'",75,117,4.8,3.8,46.4,"276,494","1,381",9.4 ( 8 ),8.6 ( 8 )
,"10,000-11,000'",75,89,8.4,6.9,65.3,"338,595",926,8.0 ( 2 ),4.7 ( 2 )
,"11,000-12,000'",79,82,11.4,8.9,69.8,"172,410",364,NA,NA
,">12,000'",87,73,18.6,12.9,84,"24,531",36,NA,NA
3. Cheyenne,"2,000-3,000'",NA,NA,0,0,0,0,"3,403",NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"3,657",NA,NA
,"4,000-5,000'",NA,NA,0,0,0,0,"5,671",NA,NA
,"5,000-6,000'",0,NA,0,0,0,0,"2,141",NA,NA
,"6,000-7,000'",0,0,0,0,0,0,472,0.2 ( 1 ),0.0 ( 2 )
,"7,000-8,000'",0,0,0,0,0,0,5,NA,NA
4. Gallatin,"4,000-5,000'",NA,NA,0,0,0,0,462,NA,NA
,"5,000-6,000'",26,0,0,0,0,0,300,NA,NA
,"6,000-7,000'",42,97,0.2,0,0.6,371,271,5.1 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",79,115,1.9,0.4,7.2,"8,351",380,NA,NA
,"8,000-9,000'",92,109,8.4,4.1,44.9,"69,251",314,21.6 ( 2 ),19.2 ( 2 )
,"9,000-10,000'",96,94,14.8,10.8,80.4,"65,765",114,23.1 ( 1 ),19.7 ( 1 )
,"10,000-11,000'",89,84,13.6,12.7,87.5,"4,252",6,NA,NA
5. Jefferson,"5,000-6,000'",NA,NA,0,0,0,0,"1,658",NA,NA
,"6,000-7,000'",60,12,0,0,0,46,"3,121",0.1 ( 2 ),0.0 ( 2 )
,"7,000-8,000'",90,82,1.3,0.1,2,"17,811","2,638",1.2 ( 3 ),0.1 ( 3 )
,"8,000-9,000'",86,123,6.2,2.7,28.1,"161,163","1,135",12.4 ( 5 ),12.4 ( 6 )
,"9,000-10,000'",84,108,11.2,8.8,73.6,"107,047",228,16.7 ( 2 ),15.2 ( 2 )
,"10,000-11,000'",73,97,10.9,9.9,82.9,"3,782",7,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",NA,NA,0,0,0,0,165,NA,NA
,"5,000-6,000'",0,NA,0,0,0,0,440,NA,NA
,"6,000-7,000'",32,13,0.1,0,0,21,491,2.0 ( 2 ),0.1 ( 2 )
,"7,000-8,000'",42,30,1,0.1,1.5,"3,650",719,10.6 ( 3 ),7.9 ( 3 )
,"8,000-9,000'",68,86,5.8,3,30.7,"90,859",564,16.4 ( 2 ),12.0 ( 2 )
,"9,000-10,000'",87,97,13,9.7,74.6,"68,731",133,NA,NA
,">10,000'",93,84,15.8,15,92.4,"8,873",11,NA,NA
7. North Platte,"7,000-8,000'",22,28,0,0,0,23,"6,341",0.1 ( 2 ),0.1 ( 2 )
,"8,000-9,000'",40,126,0.2,0.1,2.4,"8,273","2,477",0.5 ( 6 ),0.1 ( 6 )
,"9,000-10,000'",47,95,2.1,1.2,31.4,"63,213",990,7.3 ( 9 ),4.3 ( 9 )
,"10,000-11,000'",55,73,6.4,4.3,71.4,"93,839",409,23.3 ( 5 ),22.3 ( 5 )
,"11,000-12,000'",57,69,8.2,5.9,76.1,"19,363",61,NA,NA
,"12,000-13,000'",60,66,9.1,6,71.5,962,3,NA,NA
8. Powder,"2,000-3,000'",NA,NA,0,0,0,0,"1,208",NA,NA
