,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,114,121,13.8,17.6,81.3,"2,004,417",2134.37,14.8 ( 7 ),15.8 ( 7 )
2. Central Puget Sound,168,181,8.1,12.2,52.6,"804,610",1238.62,18.4 ( 4 ),24.0 ( 5 )
3. Hood-Sandy-Lower Deschutes,103,121,2,3,17.6,"800,522",5079.08,12.5 ( 10 ),17.2 ( 11 )
4. Klamath,78,119,3.1,5.5,36.3,"2,117,261",7197.14,11.9 ( 15 ),19.6 ( 16 )
5. Lewis,63,73,1.5,2.6,11.9,"81,453",580.7,21.8 ( 7 ),25.9 ( 7 )
6. Lower Cowlitz,84,104,4.4,7.9,42.3,"78,527",185.23,14.2 ( 2 ),17.6 ( 2 )
7. Naches,138,151,8.3,11.6,60.1,"378,456",609.85,25.4 ( 4 ),28.4 ( 4 )
8. North Puget Sound,111,139,6.4,10.3,43.3,"1,265,750",2312.17,22.1 ( 8 ),24.0 ( 8 )
9. Olympic,104,114,13.4,17.5,61.8,"222,230",237.74,17.3 ( 3 ),19.4 ( 3 )
10. Rogue-Umpqua,67,84,2,3.3,12.3,"589,104",3371.15,8.8 ( 6 ),12.8 ( 6 )
11. South Puget Sound,91,99,3.1,4.3,17.7,"263,986",1147.59,13.3 ( 13 ),15.5 ( 14 )
12. Upper Columbia,118,133,10.1,13.1,80.8,"3,829,678",5501.67,11.3 ( 7 ),11.8 ( 7 )
13. Upper Cowlitz,125,138,4.9,7.3,28.1,"277,974",713.32,23.8 ( 3 ),26.0 ( 3 )
14. Upper Deschutes-Crooked,103,150,4.7,7.9,59.1,"2,367,704",5606.69,19.7 ( 7 ),22.3 ( 7 )
15. Upper Yakima,123,134,9.5,12.6,70.4,"696,096",1033.02,15.4 ( 3 ),16.8 ( 3 )
16. Willamette,77,94,0.7,1.2,4.8,"708,158",11360.09,8.6 ( 18 ),11.1 ( 18 )
