 ,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,117,105,20.4,17.4,73.6,"1,977,823","2,134",18.9 ( 7 ),19.7 ( 6 )
2. Central Puget Sound,148,90,11.6,8.2,30.8,"540,684","1,239",28.3 ( 5 ),31.5 ( 5 )
3. Hood-Sandy-Lower Deschutes,94,85,2.5,2.1,11.7,"578,088","5,079",19.1 ( 11 ),19.1 ( 11 )
4. Klamath,166,197,8.1,5.9,54.6,"2,259,582","7,197",19.3 ( 15 ),20.5 ( 16 )
5. Lewis,54,44,2.2,2.2,8.1,"67,466",581,29.0 ( 7 ),31.8 ( 7 )
6. Lower Cowlitz,89,95,7.5,8.2,38,"80,725",185,18.8 ( 2 ),21.2 ( 2 )
7. Naches,123,104,11,8.8,52.2,"285,536",610,34.3 ( 4 ),35.7 ( 4 )
8. North Puget Sound,124,84,10.7,8.1,31.4,"1,002,125","2,312",28.9 ( 9 ),33.0 ( 9 )
9. Olympic,99,120,17.7,24.3,67.4,"308,118",238,24.1 ( 3 ),28.0 ( 3 )
10. Rogue-Umpqua,74,106,3.3,4.2,15.4,"748,471","3,371",12.5 ( 6 ),14.3 ( 6 )
11. South Puget Sound,82,64,4.1,3.6,11.9,"219,682","1,148",17.9 ( 14 ),19.2 ( 14 )
12. Upper Columbia,135,126,14.8,10.7,69.8,"3,141,826","5,502",13.9 ( 7 ),14.9 ( 7 )
13. Upper Cowlitz,102,68,6,4.8,15,"182,899",713,30.2 ( 3 ),33.2 ( 3 )
14. Upper Deschutes-Crooked,125,150,6.5,5,38,"1,490,212","5,607",24.4 ( 7 ),26.4 ( 7 )
15. Upper Yakima,121,111,13.5,11,63.7,"608,457","1,033",20.0 ( 3 ),20.4 ( 3 )
16. Willamette,78,86,1.1,1.1,4.3,"687,605","11,360",11.3 ( 18 ),12.6 ( 18 )
