,,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,Elevation Band,%4/13 Avg.,%4/20 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000-4,000'",71,52,3,1.7,8.6,"58,664",658,16.2 ( 2 ),11.1 ( 2 )
,"4,000-5,000'",81,70,12.6,9.8,38.5,"285,970",548,13.5 ( 3 ),10.9 ( 3 )
,"5,000-6,000'",96,87,25.2,22.3,71.1,"627,665",527,17.6 ( 2 ),15.7 ( 2 )
,"6,000-7,000'",104,99,34.2,35.2,86.4,"609,621",324,42.7 ( 1 ),40.2 ( 1 )
,"7,000-8,000'",117,110,42.7,46.4,92.3,"186,645",75,NA,NA
,"8,000-9,000'",118,105,39.3,46.5,95.8,"7,661",3,NA,NA
2. Central Puget Sound,"3,000-4,000'",19,34,1,2.2,7.8,"66,008",555,34.9 ( 3 ),32.1 ( 3 )
,"4,000-5,000'",36,58,5.1,11.4,30.3,"272,861",451,37.4 ( 2 ),34.2 ( 2 )
,"5,000-6,000'",56,75,12.9,25.1,57.5,"244,072",182,NA,NA
,"6,000-7,000'",78,96,23.3,45.9,80.9,"111,453",46,NA,NA
,"7,000-8,000'",107,107,38.8,58.5,95.9,"14,162",5,NA,NA
,"8,000-9,000'",130,114,-,-,100,-,0,NA,NA
,">9,000'",201,33,-,27,100,139,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",53,18,0,0,0,291,"2,525",0.0 ( 1 ),0.1 ( 1 )
,"3,000-4,000'",83,53,0.5,0.3,1.8,"24,302","1,622",10.8 ( 4 ),7.3 ( 4 )
,"4,000-5,000'",131,114,6.7,4.7,24.2,"171,194",682,23.8 ( 3 ),19.8 ( 3 )
,"5,000-6,000'",140,134,24.2,21.9,67.6,"240,093",206,30.3 ( 2 ),26.8 ( 2 )
,"6,000-7,000'",138,127,52.3,51.4,93.6,"91,759",33,50.5 ( 1 ),49.1 ( 1 )
,"7,000-8,000'",138,136,-,-,96.1,-,9,NA,NA
,"8,000-9,000'",156,148,-,-,99.1,-,1,NA,NA
,"9,000-10,000'",165,150,-,-,98.5,-,1,NA,NA
,">10,000'",170,170,-,-,99,-,0,NA,NA
4. Klamath,"4,000-5,000'",>300†,129,0.5,0.2,2,"37,865","4,328",3.2 ( 3 ),0.2 ( 3 )
