 ,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,96,109,8.8,7.9,73.4,"2,615,013","6,182",14.8 ( 18 ),16.2 ( 18 )
2. Beaver,26,94,0.7,2.3,27.7,"100,779",836,8.1 ( 2 ),11.5 ( 2 )
3. Blue,98,98,10.2,10.2,75.5,"363,794",669,14.2 ( 5 ),15.5 ( 5 )
4. Canadian,31,38,0.6,0.7,18.4,"49,498","1,265",4.3 ( 2 ),3.1 ( 2 )
5. Colorado Headwaters,89,95,8.7,8.2,71.9,"1,262,220","2,873",13.0 ( 13 ),14.4 ( 13 )
6. Colorado Headwaters-Plateau,68,84,5.4,5.8,54.4,"559,389","1,801",9.9 ( 1 ),11.5 ( 1 )
7. Eagle,87,92,8.3,8.3,63.6,"408,312",921,11.9 ( 3 ),12.9 ( 3 )
8. Gila,0,1,0,0,0.1,508,"4,924",0.1 ( 6 ),0.4 ( 6 )
9. Gunnison,70,79,6.2,6,61.5,"2,073,281","6,434",10.1 ( 11 ),11.6 ( 11 )
10. Little Colorado,0,16,0,0,2.1,"39,832","16,380",2.1 ( 5 ),5.2 ( 5 )
11. Lower Colorado Mainstream,8,56,0.1,0.2,12,"142,180","10,695",2.9 ( 5 ),6.1 ( 5 )
12. Lower Green,54,81,4.6,6.6,66.8,"1,974,193","5,648",7.7 ( 24 ),10.3 ( 24 )
13. Lower Rio Grande,3,10,0.1,0.1,2.1,"8,767","1,795",1.4 ( 6 ),2.0 ( 6 )
14. Lower Sevier,39,123,1.4,3.8,52.9,"179,766",897,7.6 ( 4 ),11.4 ( 4 )
15. Pecos,37,54,1.2,1.8,31.8,"31,279",331,1.3 ( 2 ),1.2 ( 2 )
16. Provo-Utah Lake-Jordan,80,106,5.8,6.8,60.1,"966,567","2,681",16.2 ( 17 ),19.9 ( 17 )
17. Rio Chama-Upper Rio Grande,18,32,0.6,0.7,15.5,"204,972","5,207",3.4 ( 13 ),4.2 ( 13 )
18. Rio Grande Headwaters,37,55,1.8,2.2,29.7,"876,748","7,594",6.4 ( 14 ),7.7 ( 14 )
19. Roaring Fork,84,91,9.2,9.8,70,"712,742","1,359",12.1 ( 7 ),14.0 ( 7 )
20. Salt,0,6,0,0.1,2.8,"9,039","2,362",0.3 ( 7 ),1.1 ( 8 )
21. San Juan,26,49,1.4,2,27.8,"666,356","6,406",7.7 ( 15 ),10.1 ( 14 )
22. San Pitch,52,88,3.1,4.5,43,"204,102",858,10.0 ( 6 ),12.8 ( 6 )
23. South Platte,56,59,2.7,2.5,26.8,"739,705","5,620",10.8 ( 21 ),11.6 ( 21 )
24. Southwestern Utah,8,40,0.1,0.5,10.9,"41,294","1,440",3.0 ( 3 ),4.3 ( 5 )
25. Toole Valley-Vernon Creek,52,124,1.2,2.3,28.5,"111,074",906,10.3 ( 4 ),14.0 ( 4 )
26. Upper Arkansas,51,55,1.9,1.9,21.2,"588,977","5,877",6.2 ( 7 ),6.7 ( 7 )
27. Upper Colorado-Dirty Devil,21,48,1,2.2,28.1,"298,364","2,598",3.7 ( 7 ),5.1 ( 7 )
28. Upper Colorado-Dolores,38,60,2.4,2.8,38.9,"505,060","3,434",8.8 ( 8 ),10.9 ( 8 )
29. Upper Sevier,23,56,1.1,2.4,35.9,"488,244","3,759",5.0 ( 16 ),7.3 ( 16 )
30. Verde,0,38,0,0.3,13.5,"28,304","1,817",0.2 ( 7 ),3.2 ( 7 )
31. Weber-Ogden,89,101,8.1,7.7,66.7,"841,609","2,041",14.8 ( 16 ),18.4 ( 16 )
32. White-Yampa,80,94,7.4,7.2,65.8,"2,296,592","5,948",15.8 ( 15 ),17.2 ( 15 )
