,,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,Elevation Band,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,"5,000-6,000'",109,157,5.9,4.5,71.3,"276,663","1,147",NA,NA
,"6,000-7,000'",89,103,7.4,6,63.8,"781,079","2,440",10.2 ( 3 ),9.2 ( 3 )
,"7,000-8,000'",95,104,10.1,9.5,81.3,"907,839","1,791",13.6 ( 6 ),15.2 ( 6 )
,"8,000-9,000'",107,109,13.9,15,88.3,"468,453",585,19.0 ( 7 ),21.2 ( 7 )
,"9,000-10,000'",97,98,13.2,14.4,87.8,"109,135",142,10.7 ( 2 ),12.0 ( 2 )
,"10,000-11,000'",99,104,14.6,17.3,90.8,"55,377",60,NA,NA
,"11,000-12,000'",101,105,15.7,18.8,90.6,"15,775",16,NA,NA
,"12,000-13,000'",92,97,13.8,16.8,96.6,692,1,NA,NA
2. Beaver,"6,000-7,000'",0,146,0,0.5,11.1,"13,616",481,NA,NA
,"7,000-8,000'",5,105,0.1,2.5,33.5,"23,851",181,NA,NA
,"8,000-9,000'",31,76,1.3,4.3,56.2,"17,937",77,6.1 ( 1 ),9.1 ( 1 )
,"9,000-10,000'",56,78,4.2,7.5,73.9,"26,402",66,NA,NA
,"10,000-11,000'",63,82,7,11.1,81.4,"15,112",25,10.1 ( 1 ),13.9 ( 1 )
,"11,000-12,000'",74,94,10.4,15.3,91,"3,862",5,NA,NA
3. Blue,"7,000-8,000'",73,60,2.6,0.3,5.2,551,32,NA,NA
,"8,000-9,000'",100,99,8.5,6.2,66.5,"32,718",99,NA,NA
,"9,000-10,000'",96,97,9,8.3,83.4,"63,160",143,10.6 ( 1 ),11.0 ( 1 )
,"10,000-11,000'",95,98,8.9,9.3,69.9,"78,227",158,16.0 ( 2 ),17.4 ( 2 )
,"11,000-12,000'",102,101,13,14.4,84.1,"126,808",165,14.3 ( 2 ),16.0 ( 2 )
,"12,000-13,000'",101,101,14.8,16.4,95.9,"57,226",65,NA,NA
,">13,000'",99,99,14.5,16.3,98.9,"5,104",6,NA,NA
4. Canadian,"8,000-9,000'",21,17,0.2,0.1,3.8,"2,331",735,NA,NA
,"9,000-10,000'",33,41,0.7,1,29.9,"19,438",365,0.8 ( 1 ),0.6 ( 1 )
,"10,000-11,000'",44,53,1.7,2.6,53.3,"18,516",132,4.3 ( 2 ),3.1 ( 2 )
,"11,000-12,000'",51,58,4.1,5.1,75.1,"8,181",30,NA,NA
,"12,000-13,000'",61,62,6.9,7.7,98.8,"1,033",3,NA,NA
5. Colorado Headwaters,"5,000-6,000'",0,0,0,0,0,0,1,NA,NA
,"6,000-7,000'",10,33,0.2,0.2,5.7,856,84,NA,NA
,"7,000-8,000'",62,77,3.3,2,32,"45,639",430,NA,NA
