 ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,Area (mi2),3/15/2025,3/31/2025,3/31/2025
Basin,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Bear,109,93,7.9,5.3,39.6,"1,735,147","6,181",16.2 ( 18 ),16.3 ( 18 ),10.9 ( 7 )
2. Beaver,94,65,2.3,1.3,11.1,"56,724",836,11.5 ( 2 ),12.3 ( 2 ),NA
3. Blue,98,84,10.2,9.2,68.1,"330,043",670,15.5 ( 5 ),16.6 ( 5 ),7.7 ( 1 )
4. Canadian,38,15,0.7,0.3,6.9,"17,143","1,265",3.1 ( 2 ),0.1 ( 1 ),0.1 ( 2 )
5. Colorado Headwaters,95,88,8.2,7.7,61.5,"1,185,484","2,874",14.4 ( 13 ),15.3 ( 13 ),13.3 ( 10 )
6. Colorado Headwaters-Plateau,84,66,5.8,4.2,34.4,"401,437","1,801",11.5 ( 1 ),12.5 ( 1 ),13.7 ( 1 )
7. Eagle,92,80,8.3,7.7,54,"379,937",921,12.9 ( 3 ),12.3 ( 3 ),16.3 ( 2 )
8. Gila,1,0,0,0,0,137,"4,924",0.4 ( 6 ),0.0 ( 6 ),NA
9. Gunnison,79,66,6,4.8,43.3,"1,640,434","6,433",11.6 ( 11 ),11.1 ( 11 ),11.4 ( 5 )
10. Little Colorado,16,4,0,0,0.1,"2,873","16,379",5.2 ( 5 ),3.2 ( 5 ),1.6 ( 9 )
11. Lower Colorado Mainstream,56,21,0.2,0.1,2.1,"45,618","10,695",6.1 ( 5 ),4.0 ( 5 ),1.3 ( 1 )
12. Lower Green,81,69,6.6,5.1,38.5,"1,523,006","5,647",10.3 ( 24 ),9.4 ( 24 ),19.8 ( 1 )
13. Lower Rio Grande,10,6,0.1,0,0.7,"2,916","1,795",2.0 ( 6 ),0.7 ( 6 ),NA
14. Lower Sevier,123,67,3.8,1.5,15.3,"71,273",897,11.4 ( 4 ),11.7 ( 4 ),NA
15. Pecos,54,29,1.8,0.9,16.1,"15,232",331,1.2 ( 2 ),0.1 ( 2 ),NA
16. Provo-Utah Lake-Jordan,106,85,6.8,4.6,33.2,"658,724","2,681",19.9 ( 17 ),20.0 ( 18 ),15.6 ( 8 )
17. Rio Chama-Upper Rio Grande,32,25,0.7,0.5,9.5,"149,666","5,207",4.2 ( 13 ),2.9 ( 13 ),2.5 ( 4 )
18. Rio Grande Headwaters,55,45,2.2,1.6,19.3,"647,925","7,595",7.7 ( 14 ),6.6 ( 13 ),4.9 ( 9 )
19. Roaring Fork,91,80,9.8,9.1,57.6,"659,243","1,359",14.0 ( 7 ),14.0 ( 7 ),16.4 ( 2 )
20. Salt,6,1,0.1,0,1.3,"1,816","2,361",1.1 ( 8 ),0.0 ( 8 ),NA
21. San Juan,49,49,2,1.7,18.1,"591,316","6,406",10.1 ( 14 ),8.3 ( 15 ),NA
22. San Pitch,88,68,4.5,3.1,20.1,"140,295",857,12.8 ( 6 ),13.0 ( 6 ),14.5 ( 2 )
23. South Platte,59,64,2.5,2.6,24.6,"775,114","5,620",11.6 ( 21 ),12.6 ( 21 ),7.4 ( 23 )
24. Southwestern Utah,40,36,0.5,0.4,5.2,"32,233","1,440",4.3 ( 5 ),3.3 ( 5 ),1.1 ( 2 )
25. Toole Valley-Vernon Creek,124,91,2.3,1.4,13.5,"67,608",906,14.0 ( 4 ),12.7 ( 4 ),NA
26. Upper Arkansas,55,50,1.9,1.5,14.8,"469,912","5,875",6.7 ( 7 ),6.2 ( 7 ),7.9 ( 5 )
27. Upper Colorado-Dirty Devil,48,31,2.2,1.1,9.8,"150,259","2,597",5.1 ( 7 ),4.3 ( 7 ),10.1 ( 2 )
28. Upper Colorado-Dolores,60,45,2.8,1.9,21.3,"348,541","3,434",10.9 ( 8 ),9.4 ( 9 ),5.0 ( 3 )
29. Upper Sevier,56,43,2.4,1.4,14.2,"285,145","3,758",7.3 ( 16 ),6.2 ( 16 ),3.5 ( 2 )
30. Verde,38,3,0.3,0,0.2,331,"1,816",3.2 ( 7 ),0.7 ( 7 ),0.9 ( 2 )
31. Weber-Ogden,101,86,7.7,5.2,36.7,"560,645","2,041",18.4 ( 16 ),17.6 ( 17 ),NA
32. White-Yampa,94,83,7.2,5.9,44,"1,861,337","5,948",17.2 ( 15 ),17.9 ( 15 ),14.4 ( 4 )
