No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
1,AND,"4,000-5,000'",75.39,0,0
1,AND,"5,000-6,000'",253.77,0.25,3410
1,AND,"6,000-7,000'",293.53,3.58,55980
1,AND,"7,000-8,000'",201.45,10.46,112402
1,AND,"8,000-9,000'",130.99,18.03,125928
1,AND,"9,000-10,000'",20.56,21.18,23220
2,BEU,"3,000-4,000'",33.2,0,0
2,BEU,"4,000-5,000'",160.52,0,0
2,BEU,"5,000-6,000'",188.42,0.51,5156
2,BEU,"6,000-7,000'",51.54,6.13,16858
2,BEU,"7,000-8,000'",13.61,13.08,9497
3,BUL,"2,000-3,000'",35.81,0,0
3,BUL,"3,000-4,000'",216.02,0,0
3,BUL,"4,000-5,000'",227.51,0,0
3,BUL,"5,000-6,000'",71.53,0,0
3,BUL,"6,000-7,000'",1.74,0,0
4,BUM,"3,000-4,000'",13.03,0.54,375
4,BUM,"4,000-5,000'",25.97,3.42,4733
4,BUM,"5,000-6,000'",27.12,11.11,16067
4,BUM,"6,000-7,000'",3.28,18.52,3242
4,BUM,"7,000-8,000'",0.1,20.47,105
5,CCL,"2,000-3,000'",4.15,0,0
5,CCL,"3,000-4,000'",2.12,0,0
5,CCL,"4,000-5,000'",0.39,2.73,56
6,CCR,"2,000-3,000'",7.72,0,0
6,CCR,"3,000-4,000'",30.31,0.25,407
6,CCR,"4,000-5,000'",38.13,6.11,12428
6,CCR,"5,000-6,000'",24.61,16.43,21570
6,CCR,"6,000-7,000'",9.65,20.36,10482
6,CCR,"7,000-8,000'",2.12,20.49,2320
7,CLE,"2,000-3,000'",29.25,0.7,1085
7,CLE,"3,000-4,000'",52.41,4.58,12790
7,CLE,"4,000-5,000'",65.06,11.91,41315
7,CLE,"5,000-6,000'",43.34,24.19,55923
7,CLE,"6,000-7,000'",11.29,31.53,18993
7,CLE,"7,000-8,000'",0.68,46.33,1669
8,CMO,"4,000-5,000'",6.27,0,0
8,CMO,"5,000-6,000'",8.59,4.72,2165
8,CMO,"6,000-7,000'",16.41,17.29,15130
8,CMO,"7,000-8,000'",17.18,23.95,21951
8,CMO,"8,000-9,000'",5.12,25.44,6941
8,CMO,"9,000-10,000'",0.19,22.95,236
9,CSC,"4,000-5,000'",147.49,1.26,9949
9,CSC,"5,000-6,000'",191.7,4.9,50147
9,CSC,"6,000-7,000'",159.36,13.62,115757
9,CSC,"7,000-8,000'",109.46,22.23,129749
9,CSC,"8,000-9,000'",6.18,25.49,8399
10,DED,"5,000-6,000'",29.83,6.96,11074
10,DED,"6,000-7,000'",40.06,14.26,30475
10,DED,"7,000-8,000'",37.64,20.42,41005
10,DED,"8,000-9,000'",1.64,22.9,2004
11,GRS,"7,000-8,000'",3.76,10.56,2121
11,GRS,"8,000-9,000'",0.1,15.24,78
12,HEII,"5,000-6,000'",283.5,0.05,735
12,HEII,"6,000-7,000'",1222.79,2.86,186268
12,HEII,"7,000-8,000'",1429.35,9.15,697566
12,HEII,"8,000-9,000'",1112.55,14.36,852123
12,HEII,"9,000-10,000'",678.57,19.07,690064
12,HEII,"10,000-11,000'",184.94,22.78,224663
12,HEII,"11,000-12,000'",6.27,22.62,7569
12,HEII,"12,000-13,000'",0.29,20.48,316
13,HGH,"3,000-4,000'",103.76,1.21,6686
13,HGH,"4,000-5,000'",290.73,5.27,81771
13,HGH,"5,000-6,000'",479.06,10.45,267015
13,HGH,"6,000-7,000'",529.73,17.28,488145
13,HGH,"7,000-8,000'",246.43,22.21,291848
13,HGH,"8,000-9,000'",11.1,25.53,15116
14,HRSI,"2,000-3,000'",6.37,0,0
14,HRSI,"3,000-4,000'",109.36,0,0
14,HRSI,"4,000-5,000'",313.8,0.05,780
14,HRSI,"5,000-6,000'",431.28,2.72,62581
14,HRSI,"6,000-7,000'",336.68,10.5,188499
14,HRSI,"7,000-8,000'",218.63,16.26,189609
14,HRSI,"8,000-9,000'",63.22,20.3,68440
14,HRSI,"9,000-10,000'",13.42,22.71,16252
14,HRSI,"10,000-11,000'",0.1,11.91,61
15,ISL,"6,000-7,000'",286.97,5.42,82936
15,ISL,"7,000-8,000'",139.87,8.97,66938
15,ISL,"8,000-9,000'",64.19,18.05,61781
15,ISL,"9,000-10,000'",8.59,18.28,8377
15,ISL,"10,000-11,000'",0.19,20.22,208
16,JCK,"6,000-7,000'",91.6,3.53,17257
16,JCK,"7,000-8,000'",270.85,9.72,140406
16,JCK,"8,000-9,000'",341.02,16.18,294371
16,JCK,"9,000-10,000'",89.29,22.37,106534
16,JCK,"10,000-11,000'",11.2,25.11,14998
16,JCK,"11,000-12,000'",0.48,24.91,641
17,KAC,"2,000-3,000'",19.4,0.03,33
17,KAC,"3,000-4,000'",20.17,2.44,2622
17,KAC,"4,000-5,000'",18.53,12.23,12086
17,KAC,"5,000-6,000'",5.02,21.83,5843
18,KEE,"2,000-3,000'",12.74,0.48,324
18,KEE,"3,000-4,000'",23.94,4.1,5233
18,KEE,"4,000-5,000'",14.29,15.44,11761
18,KEE,"5,000-6,000'",3.38,31.85,5739
18,KEE,"6,000-7,000'",0.1,29.51,152
19,LUC,"2,000-3,000'",0.77,0,0
19,LUC,"3,000-4,000'",136.39,0,0
19,LUC,"4,000-5,000'",491.8,0,0
19,LUC,"5,000-6,000'",485.62,0.95,24715
19,LUC,"6,000-7,000'",301.55,7.42,119384
19,LUC,"7,000-8,000'",194.69,14.6,151576
19,LUC,"8,000-9,000'",91.8,22.12,108293
19,LUC,"9,000-10,000'",8.49,25.9,11733
20,MAN,"2,000-3,000'",1.06,0,0
20,MAN,"3,000-4,000'",9.46,0,0
20,MAN,"4,000-5,000'",19.69,0,0
20,MAN,"5,000-6,000'",19.79,2.22,2343
20,MAN,"6,000-7,000'",5.89,8.9,2794
20,MAN,"7,000-8,000'",0.29,12.49,193
21,MCK,"1,000-2,000'",26.64,0,0
21,MCK,"2,000-3,000'",48.84,0,0
21,MCK,"3,000-4,000'",84.27,0,0
21,MCK,"4,000-5,000'",34.46,0.01,17
22,NACW,"1,000-2,000'",6.56,0,0
22,NACW,"2,000-3,000'",78.19,0,0
22,NACW,"3,000-4,000'",217.09,0.25,2940
22,NACW,"4,000-5,000'",218.24,2.07,24079
22,NACW,"5,000-6,000'",140.06,8.3,62008
22,NACW,"6,000-7,000'",25,17.08,22772
22,NACW,"7,000-8,000'",0.39,20.38,420
23,OCH,"3,000-4,000'",64.58,0,0
23,OCH,"4,000-5,000'",161.29,0,0
23,OCH,"5,000-6,000'",61.68,0.02,82
23,OCH,"6,000-7,000'",3.28,3.76,658
24,OWY,">5,000'",752.9,0,0
24,OWY,">6,000'",1099.43,0.02,1174
24,OWY,">7,000'",220.37,0.94,11018
24,OWY,">8,000'",26.64,5.04,7163
24,OWY,">9,000'",3.86,11.42,2352
24,OWY,">10,000'",0.19,14.85,153
25,OWY,"<2,000'",85.52,0,0
25,OWY,"<3,000'",911.3,0,0
25,OWY,"<4,000'",3227.81,0,0
25,OWY,"<5,000'",4369.42,0,0
26,PARW,"0-1,000'",12.55,0,0
26,PARW,"1,000-2,000'",587.16,0.01,314
26,PARW,"2,000-3,000'",861.49,0.09,4154
26,PARW,"3,000-4,000'",468.05,0.88,21888
26,PARW,"4,000-5,000'",308.69,3.65,60106
26,PARW,"5,000-6,000'",142.76,9.78,74431
26,PARW,"6,000-7,000'",21.04,15.42,17306
27,PRV,"3,000-4,000'",347.97,0,0
27,PRV,"4,000-5,000'",1753.39,0,0
27,PRV,"5,000-6,000'",540.93,0.21,6085
27,PRV,"6,000-7,000'",22.2,4.46,5280
28,PWDO,"3,000-4,000'",49.13,0,0
28,PWDO,"4,000-5,000'",163.13,0,0
28,PWDO,"5,000-6,000'",90.64,0.06,290
28,PWDO,"6,000-7,000'",31.76,4.98,8439
28,PWDO,"7,000-8,000'",12.55,17.19,11503
28,PWDO,"8,000-9,000'",0.77,20.81,857
29,RIM,"2,000-3,000'",4.25,0,0
