No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
01,AND,975.68,5.13,0.0
02,BEU,447.3,0.71,458971.0
03,BUL,552.61,0.0,44264.0
04,BUM,69.5,5.51,0.0
05,CCL,6.66,0.0,6798.0
06,CCR,112.55,4.29,123469.0
07,CLE,202.03,9.71,101076.0
08,CMO,53.76,16.25,24963.0
09,CSC,614.19,7.04,912539.0
10,DED,109.17,13.17,0.0
11,GRS,3.86,7.72,272.0
12,HEII,4918.27,6.49,11027.0
13,HGH,1660.82,11.51,0.0
14,HRSI,1492.86,5.16,33828.0
15,ISL,499.81,3.82,368817.0
16,JCK,804.44,10.55,1008.0
17,KAC,63.13,4.89,0.0
18,KEE,54.44,6.75,1788.0
19,LUC,1711.11,3.47,587674.0
20,MAN,56.18,0.25,10367.0
21,MCK,194.21,0.0,216641.0
22,NACW,685.52,2.06,0.0
23,OCH,290.83,0.01,42158.0
24,"OWY (Above 5,750')",2103.39,0.09,1902294.0
25,"OWY (Below 5,750')",8594.05,0.0,389969.0
26,PARW,2401.75,0.62,0.0
27,PRV,2664.49,0.0,3895169.0
28,PWDO,347.97,0.7,740042.0
29,RIM,186.0,3.22,280164.0
30,RIR,638.42,0.11,213008.0
31,TEAI,874.62,4.05,1042842.0
32,UNY,310.23,0.4,211203.0
33,VALO,2567.48,0.0,5294.0
34,WAR,1075.0,0.21,561945.0
35,WLD,203.28,0.01,6379.0
36,WOD,273.84,3.14,120192.0
