,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,21,1.3,10.6,"21,885",322.7,NA,0.8 ( 4 ),0.1
2. Bitterroot,103,5.1,49.4,"533,940","1,955.00",9.5 ( 4 ),3.4 ( 1 ),7.2
3. Carson,61,2.5,31.1,"189,777","1,407.70",9.7 ( 7 ),3.3 ( 1 ),2.9
4. Clearwater Basin,119,3.7,39.2,"1,471,174","7,475.20",11.8 ( 9 ),3.1 ( 1 ),6.6
5. Clover Valley and Franklin,10,0.3,10,"70,144","4,115.00",4.1 ( 2 ),6.5 ( 1 ),0.1
6. Donner und Blitzen,37,3.3,31.8,"38,400",219.9,3.2 ( 2 ),NA,0.3
7. Dry Lake Valley,13,0.5,9.4,"7,225",296.3,NA,NA,0
8. Eastern Nevada,20,0.8,18.5,"188,244","4,375.20",3.6 ( 8 ),NA,0.4
9. Flathead,176,4,37.4,"1,627,768","7,644.30",13.4 ( 13 ),9.6 ( 9 ),7.3
10. Grande Ronde-Burnt-Powder_Imnaha,38,2.5,28.7,"697,082","5,316.00",5.0 ( 11 ),4.1 ( 5 ),2
11. Guano,1,0,0.3,"3,806","2,062.90",0.0 ( 1 ),0.1 ( 2 ),0
12. Harney-Malheur Lakes,6,0.2,4.5,"3,713",280.6,NA,0.0 ( 2 ),0
13. John Day,18,1,12.4,"81,185","1,504.70",2.6 ( 2 ),NA,1
14. Kootenai,164,3.7,34.9,"329,970","1,671.80",11.0 ( 5 ),17.8 ( 1 ),8
15. Lake County-Goose Lake,15,0.7,14.1,"140,211","3,623.70",3.6 ( 2 ),1.5 ( 7 ),0.2
16. Little Humboldt,14,0.8,10.5,"18,426",420.8,2.1 ( 3 ),NA,0.1
17. Lower Clark Fork,185,5.6,53.9,"442,995","1,474.70",23.2 ( 3 ),13.2 ( 2 ),9.7
18. Lower Humboldt,8,0.3,4,"4,078",272.6,0.0 ( 1 ),NA,0
19. Lower Pend Oreille,111,6.1,53.7,"43,581",133.4,9.6 ( 1 ),NA,12
20. Lower Snake-Asotin,34,1.1,23.1,"18,883",333.7,1.7 ( 2 ),NA,0.9
21. Lower Snake-Tucannon,49,2.8,51.9,"15,990",108.3,NA,NA,3.8
22. Lower Yakima,22,1.1,17.1,"28,299",485,7.4 ( 2 ),NA,2.3
23. Malheur,25,1.6,25.3,"85,756",989.2,3.0 ( 3 ),0.3 ( 2 ),1.4
24. Middle Humboldt,14,0.6,11.1,"20,858",633,NA,NA,0
25. Northern Big Smoky Valley,26,1.2,26.7,"37,096",572.8,NA,NA,0.4
26. Northern Great Basin,9,0.4,6.4,"51,551","2,224.90",1.2 ( 2 ),0.0 ( 1 ),0
27. Panhandle Basins,138,3.7,38.3,"324,799","1,644.60",13.5 ( 3 ),5.2 ( 1 ),7.5
28. Reese,22,1.2,27.4,"31,342",496.9,2.8 ( 2 ),NA,0.3
29. Rock,5,0.2,2.1,"8,153",835.5,4.9 ( 1 ),NA,0
30. Salmon Basin,91,6.1,68.6,"3,864,553","11,950.50",11.6 ( 11 ),12.2 ( 1 ),7.4
31. Silver,2,0.1,1.4,"2,366",444.3,NA,NA,0
32. Silvies,8,0.4,7.8,"27,378","1,317.40",1.5 ( 2 ),NA,0.1
33. Southern Snake Basins,15,0.7,10.4,"444,514","12,552.70",2.6 ( 13 ),0.1 ( 7 ),0.2
34. Spokane,118,2.4,34.4,"403,808","3,142.80",5.8 ( 7 ),NA,3.5
35. St. Mary,101,4.7,42.3,"166,447",668.1,2.9 ( 1 ),NA,7.2
36. Truckee,55,2.7,31.3,"210,916","1,443.60",10.2 ( 9 ),NA,3.4
37. Umatilla-Walla Walla-Willow,13,0.4,10,"31,433","1,434.30",3.7 ( 7 ),NA,0.5
38. Upper Humboldt,16,0.7,15.6,"196,651","5,035.80",3.4 ( 8 ),2.1 ( 6 ),0.4
39. Walker,41,1.8,48,"188,107","1,942.90",11.3 ( 7 ),NA,2.6
40. West Central Basins,53,4.7,56,"1,439,700","5,702.10",8.3 ( 16 ),4.3 ( 10 ),5.5
