,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",4,0.2,2,"2,571",240.2,NA,0.0 ( 1 ),0
1. Alvord Lake,"7,000-8,000'",42,3.5,28.1,"12,954",69.9,NA,1.6 ( 2 ),0.1
1. Alvord Lake,"8,000-9,000'",77,9.2,76.9,"5,650",11.5,NA,NA,1
1. Alvord Lake,"9,000-10,000'",90,11.5,92.1,710,1.2,NA,NA,2.1
2. Bitterroot,"5,000-6,000'",39,1.4,22.9,"49,121",657.5,6.4 ( 2 ),3.4 ( 1 ),2.9
2. Bitterroot,"6,000-7,000'",95,4.4,50.8,"166,775",718,12.6 ( 2 ),NA,7.3
2. Bitterroot,"7,000-8,000'",143,9.5,76.3,"245,633",483.4,NA,NA,11.4
2. Bitterroot,"8,000-9,000'",158,14.1,84.5,"70,452",93.8,NA,NA,14.7
2. Bitterroot,"9,000-10,000'",148,15.9,79,"1,959",2.3,NA,NA,16.5
3. Carson,"5,000-6,000'",17,0.1,2.6,"3,543",619.1,NA,NA,0.1
3. Carson,"6,000-7,000'",56,1.3,23.6,"24,469",354.2,2.5 ( 1 ),NA,1.5
3. Carson,"7,000-8,000'",63,4.5,68.2,"53,153",220.1,7.4 ( 1 ),3.3 ( 1 ),5.9
3. Carson,"8,000-9,000'",68,8.6,88,"71,620",155.7,11.5 ( 5 ),NA,9.8
3. Carson,"9,000-10,000'",70,11.4,87.9,"28,391",46.8,NA,NA,12
3. Carson,">10,000'",75,13.6,89,"8,601",11.9,NA,NA,11.6
4. Clearwater Basin,"3,000-4,000'",23,0.5,16.4,"61,846","2,282.20",NA,3.1 ( 1 ),1.5
4. Clearwater Basin,"4,000-5,000'",64,1.6,26.2,"165,840","1,966.60",5.5 ( 1 ),NA,5.1
4. Clearwater Basin,"5,000-6,000'",146,4.7,50.4,"457,183","1,812.30",14.9 ( 5 ),NA,9.9
4. Clearwater Basin,"6,000-7,000'",190,9.8,77.6,"594,368","1,138.30",10.7 ( 2 ),NA,12.7
4. Clearwater Basin,"7,000-8,000'",175,13,87.5,"182,972",264.1,NA,NA,14
4. Clearwater Basin,"8,000-9,000'",155,14.4,91.5,"8,964",11.7,NA,NA,14.1
5. Clover Valley and Franklin,"5,000-6,000'",0,0,11.1,334,793.5,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",1,0.1,3.7,"7,374","2,365.00",NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",13,0.6,17.6,"26,301",760.6,4.7 ( 1 ),NA,0.2
5. Clover Valley and Franklin,"8,000-9,000'",42,2.7,47.5,"22,685",155.8,3.4 ( 1 ),NA,1
5. Clover Valley and Franklin,"9,000-10,000'",66,6.1,75.1,"11,020",34.1,NA,6.5 ( 1 ),2.6
5. Clover Valley and Franklin,"10,000-11,000'",75,7.6,84.9,"2,430",6,NA,NA,3.9
6. Donner und Blitzen,"6,000-7,000'",14,1.1,17.3,"8,218",138.9,1.0 ( 1 ),NA,0
6. Donner und Blitzen,"7,000-8,000'",55,5.9,50.8,"18,979",59.8,5.4 ( 1 ),NA,0.4
6. Donner und Blitzen,"8,000-9,000'",80,9.8,73,"9,971",19.1,NA,NA,1.5
6. Donner und Blitzen,"9,000-10,000'",90,11.4,77.1,"1,232",2,NA,NA,1.4
7. Dry Lake Valley,"7,000-8,000'",3,0.1,2.9,"1,413",230.4,NA,NA,0
7. Dry Lake Valley,"8,000-9,000'",25,1.3,25.8,"3,698",53.9,NA,NA,0
7. Dry Lake Valley,"9,000-10,000'",48,3,54.1,"1,614",10.2,NA,NA,0.5
7. Dry Lake Valley,"10,000-11,000'",66,5.1,86.6,500,1.8,NA,NA,1.6
8. Eastern Nevada,"7,000-8,000'",7,0.3,8.3,"43,103","2,847.80",0.3 ( 1 ),NA,0.1
