,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,21,15,1.3,0.9,7.4,"16,268",322.7,NA,NA,0
2. Bitterroot,103,88,5.1,5.5,48.7,"568,444","1,955.00",9.5 ( 4 ),9.6 ( 4 ),7
3. Carson,61,52,2.5,2.4,26.5,"180,540","1,407.70",9.7 ( 7 ),9.4 ( 7 ),2.9
4. Clearwater Basin,119,98,3.7,3.8,36.5,"1,498,065","7,475.20",11.8 ( 9 ),11.0 ( 10 ),6.7
5. Clover Valley and Franklin,10,7,0.3,0.2,4.9,"43,650","4,115.00",4.1 ( 2 ),3.6 ( 2 ),0.1
6. Donner und Blitzen,37,26,3.3,2.4,18.6,"28,605",219.9,3.2 ( 2 ),3.2 ( 2 ),0.1
7. Dry Lake Valley,13,8,0.5,0.3,6,"4,316",296.3,NA,NA,0
8. Eastern Nevada,20,12,0.8,0.5,10.4,"107,946","4,375.20",3.6 ( 8 ),3.2 ( 8 ),0.5
9. Flathead,176,134,4,4.1,35.2,"1,690,520","7,644.30",13.4 ( 13 ),13.6 ( 13 ),7.5
10. Grande Ronde-Burnt-Powder_Imnaha,38,31,2.5,2.2,23.4,"631,711","5,316.00",5.0 ( 11 ),4.8 ( 11 ),1.8
11. Guano,1,1,0,0,0.1,"1,732","2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,6,3,0.2,0.2,2.5,"2,249",280.6,NA,NA,0
13. John Day,18,15,1,1,11.2,"78,252","1,504.70",2.6 ( 2 ),2.5 ( 2 ),0.7
14. Kootenai,164,116,3.7,3.7,30.2,"326,474","1,671.80",11.0 ( 5 ),11.3 ( 5 ),8.2
15. Lake County-Goose Lake,15,12,0.7,0.6,11.1,"111,372","3,623.70",3.6 ( 2 ),3.6 ( 2 ),0.1
16. Little Humboldt,14,9,0.8,0.5,6.5,"12,154",420.8,2.1 ( 3 ),1.8 ( 3 ),0.1
17. Lower Clark Fork,185,139,5.6,5.9,50.6,"463,134","1,474.70",23.2 ( 3 ),24.1 ( 3 ),10
18. Lower Humboldt,8,4,0.3,0.1,1.3,"1,793",272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,111,100,6.1,6.5,53.7,"46,491",133.4,9.6 ( 1 ),10.0 ( 1 ),13.3
20. Lower Snake-Asotin,34,26,1.1,0.8,16.4,"14,706",333.7,1.7 ( 2 ),0.0 ( 1 ),0.7
21. Lower Snake-Tucannon,49,45,2.8,2.8,50.4,"16,234",108.3,NA,NA,3.4
22. Lower Yakima,22,19,1.1,1,17.2,"26,534",485,7.4 ( 2 ),7.7 ( 2 ),1.6
23. Malheur,25,19,1.6,1.3,20,"70,793",989.2,3.0 ( 3 ),2.6 ( 3 ),1.1
24. Middle Humboldt,14,6,0.6,0.2,2.3,"6,698",633,NA,NA,0
25. Northern Big Smoky Valley,26,17,1.2,0.7,16.8,"21,267",572.8,NA,NA,0.8
26. Northern Great Basin,9,6,0.4,0.3,3.4,"30,575","2,224.90",1.2 ( 2 ),1.2 ( 2 ),0
27. Panhandle Basins,138,114,3.7,3.9,38.1,"341,222","1,644.60",13.5 ( 3 ),14.4 ( 3 ),8.2
28. Reese,22,14,1.2,0.6,14.7,"16,853",496.9,2.8 ( 2 ),2.7 ( 2 ),0.4
29. Rock,5,2,0.2,0.1,1.1,"3,719",835.5,4.9 ( 1 ),5.2 ( 1 ),0
30. Salmon Basin,91,81,6.1,6.5,67.7,"4,112,014","11,950.50",11.6 ( 11 ),11.6 ( 11 ),7.3
31. Silver,2,1,0.1,0.1,0.8,"1,221",444.3,NA,NA,0
32. Silvies,8,5,0.4,0.3,4.5,"18,028","1,317.40",1.5 ( 2 ),1.3 ( 2 ),0.1
33. Southern Snake Basins,15,9,0.7,0.4,4.5,"242,076","12,552.70",2.6 ( 13 ),2.6 ( 11 ),0.2
34. Spokane,118,89,2.4,2.3,29,"388,139","3,142.80",5.8 ( 7 ),5.6 ( 8 ),3.5
35. St. Mary,101,87,4.7,4.8,39,"171,616",668.1,2.9 ( 1 ),1.6 ( 1 ),6.5
36. Truckee,55,42,2.7,2.4,27.9,"188,381","1,443.60",10.2 ( 9 ),9.8 ( 9 ),3.1
37. Umatilla-Walla Walla-Willow,13,8,0.4,0.3,4.6,"20,364","1,434.30",3.7 ( 7 ),3.4 ( 7 ),0.3
38. Upper Humboldt,16,11,0.7,0.5,7.6,"122,010","5,035.80",3.4 ( 8 ),3.0 ( 8 ),0.3
39. Walker,41,40,1.8,1.7,42.2,"173,449","1,942.90",11.3 ( 7 ),11.2 ( 7 ),2.6
40. West Central Basins,53,48,4.7,4.8,52.7,"1,452,484","5,702.10",8.3 ( 16 ),7.7 ( 14 ),5.3
