,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,38,38,2.7,2.7,31.3,"47,265",322.7,NA,NA,NA,0.4
2. Bitterroot,97,101,6.2,7,51.4,"731,362","1,955.00",11.3 ( 4 ),12.6 ( 4 ),3.7 ( 1 ),9.5
3. Carson,84,67,4.5,3.9,55.6,"294,544","1,407.70",14.9 ( 7 ),13.0 ( 7 ),5.0 ( 1 ),2.9
4. Clearwater Basin,119,116,4.9,5.4,46.7,"2,134,980","7,475.20",13.8 ( 10 ),15.4 ( 10 ),4.3 ( 2 ),9.6
5. Clover Valley and Franklin,14,15,0.5,0.5,22.6,"105,737","4,115.00",4.9 ( 2 ),4.5 ( 2 ),NA,0.1
6. Donner und Blitzen,57,59,6.4,6.8,64.3,"79,835",219.9,5.2 ( 2 ),6.4 ( 2 ),NA,1.6
7. Dry Lake Valley,16,26,0.7,1.3,37,"21,019",296.3,NA,NA,NA,0
8. Eastern Nevada,21,26,1.1,1.4,34.8,"319,359","4,375.20",5.4 ( 8 ),4.8 ( 8 ),0.5 ( 2 ),0.4
9. Flathead,135,132,5.1,5.6,41.5,"2,302,978","7,644.30",15.7 ( 13 ),14.9 ( 12 ),8.6 ( 16 ),9.9
10. Grande Ronde-Burnt-Powder-Imnaha,51,44,3.8,3.3,30.4,"943,081","5,316.00",6.5 ( 11 ),6.9 ( 11 ),3.4 ( 6 ),2.9
11. Guano,16,28,0.4,0.6,13.3,"69,109","2,062.90",0.4 ( 1 ),0.0 ( 1 ),NA,0
12. Harney-Malheur Lakes,32,39,1.7,2,29.5,"29,824",280.6,NA,NA,NA,0.1
13. John Day,24,25,1.7,1.9,19.7,"150,312","1,504.70",3.5 ( 2 ),4.1 ( 2 ),NA,1.9
14. Kootenai,98,95,3.7,4.3,31.5,"383,933","1,671.80",13.4 ( 5 ),13.9 ( 5 ),14.8 ( 2 ),10.4
15. Lake County-Goose Lake,23,23,1.2,1.2,17.8,"239,659","3,623.70",5.8 ( 2 ),5.8 ( 2 ),NA,0.5
16. Little Humboldt,16,15,1.1,1.1,14.3,"23,748",420.8,3.3 ( 3 ),2.9 ( 3 ),NA,0.3
17. Lower Clark Fork,144,146,7,8.1,62.9,"640,076","1,474.70",27.7 ( 4 ),29.8 ( 4 ),13.1 ( 4 ),13.9
18. Lower Humboldt,10,11,0.4,0.4,6.5,"6,537",272.6,1.1 ( 1 ),0.0 ( 1 ),NA,0
19. Lower Pend Oreille,111,122,7.4,8.8,65,"62,454",133.4,11.5 ( 1 ),12.4 ( 1 ),NA,16.2
20. Lower Snake-Asotin,69,62,2.3,2.2,43.7,"39,092",333.7,0.2 ( 1 ),3.1 ( 2 ),NA,1.6
21. Lower Snake-Tucannon,85,82,5.7,6.2,85.1,"35,531",108.3,NA,NA,NA,7.2
22. Lower Yakima,23,33,1.3,2.1,47.8,"54,252",485,8.3 ( 2 ),10.3 ( 2 ),NA,4.8
23. Malheur,34,33,2.5,2.6,33.2,"137,876",989.2,3.5 ( 3 ),3.3 ( 3 ),NA,1.9
24. Middle Humboldt,12,13,0.6,0.6,15.4,"19,383",633,NA,NA,NA,0
25. Northern Big Smoky Valley,26,26,1.6,1.5,30,"45,147",572.8,NA,NA,NA,0.8
26. Northern Great Basin,17,37,0.9,2,41.6,"240,809","2,224.90",2.3 ( 2 ),1.9 ( 2 ),NA,0.1
27. Panhandle Basins,111,111,4.4,5,41,"434,310","1,644.60",17.1 ( 3 ),17.8 ( 3 ),NA,10.4
28. Reese,22,22,1.4,1.4,23,"38,121",496.9,4.8 ( 2 ),4.3 ( 2 ),NA,0.5
29. Rock,7,6,0.3,0.3,9,"12,035",835.5,7.3 ( 1 ),6.8 ( 1 ),NA,0
30. Salmon Basin,91,92,7.4,8.1,66.9,"5,159,358","11,950.50",13.9 ( 11 ),15.1 ( 11 ),NA,9.8
31. Silver,14,18,0.7,0.8,13.9,"19,331",444.3,NA,NA,NA,0
32. Silvies,13,14,0.8,0.8,14.3,"56,653","1,317.40",2.3 ( 2 ),2.7 ( 2 ),NA,0.3
33. Southern Snake Basins,28,28,1.3,1.3,23,"864,867","12,552.70",3.7 ( 12 ),3.7 ( 13 ),4.4 ( 5 ),0.3
34. Spokane,112,113,3.2,3.6,40.3,"609,686","3,142.80",7.5 ( 8 ),8.6 ( 8 ),4.8 ( 5 ),6.5
35. St. Mary,89,111,6.1,8.2,62.8,"291,497",668.1,2.6 ( 1 ),3.1 ( 1 ),NA,8.6
36. Truckee,79,60,4.8,4.2,43.8,"326,656","1,443.60",15.4 ( 9 ),13.4 ( 9 ),NA,4.2
37. Umatilla-Walla Walla-Willow,35,25,1.2,0.9,12.3,"66,539","1,434.30",5.0 ( 7 ),5.2 ( 7 ),NA,0.8
38. Upper Humboldt,20,20,1.1,1,33.1,"255,567","5,035.80",4.8 ( 8 ),4.6 ( 8 ),2.3 ( 7 ),0.4
39. Walker,56,49,3.3,2.8,48.6,"290,702","1,942.90",16.4 ( 7 ),14.9 ( 7 ),NA,2.5
40. West Central Basins,63,62,6.5,6.9,64.7,"2,109,454","5,702.10",10.7 ( 16 ),11.5 ( 16 ),7.0 ( 7 ),7.8
