,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,40,20,2.8,1.2,9.4,"20,437",322.7,NA,NA,0.2
2. Bitterroot,102,115,8.4,9.3,54.8,"965,163","1,955.00",13.5 ( 4 ),18.3 ( 4 ),13.7
3. Carson,51,41,3.1,2.4,17.1,"180,642","1,407.70",13.4 ( 7 ),11.5 ( 7 ),2.1
4. Clearwater Basin,111,127,6,7,43.1,"2,782,679","7,475.20",17.8 ( 11 ),23.0 ( 11 ),13.4
5. Clover Valley and Franklin,16,12,0.4,0.2,2.8,"53,603","4,115.00",5.1 ( 2 ),2.1 ( 2 ),0.1
6. Donner und Blitzen,62,36,7.2,3.9,38,"45,544",219.9,7.6 ( 2 ),7.4 ( 2 ),1.4
7. Dry Lake Valley,10,10,0.4,0.3,3.3,"5,137",296.3,NA,NA,0
8. Eastern Nevada,22,19,0.9,0.7,7.5,"172,809","4,375.20",5.2 ( 8 ),4.8 ( 7 ),0.3
9. Flathead,133,150,6.4,7.2,41.4,"2,953,362","7,644.30",17.5 ( 13 ),20.2 ( 13 ),12.8
10. Grande Ronde-Burnt-Powder-Imnaha,45,52,3.5,3.8,26.8,"1,076,273","5,316.00",7.2 ( 11 ),7.4 ( 11 ),3.1
11. Guano,11,4,0.2,0,0.6,"5,183","2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,34,14,1.6,0.5,8.9,"7,426",280.6,NA,NA,0
13. John Day,25,30,1.9,2.2,18.6,"177,018","1,504.70",3.4 ( 2 ),2.6 ( 2 ),1.5
14. Kootenai,89,93,4.9,4.9,30.9,"440,582","1,671.80",14.4 ( 5 ),16.3 ( 5 ),11.6
15. Lake County-Goose Lake,16,11,0.8,0.5,6.6,"98,653","3,623.70",6.6 ( 2 ),6.4 ( 2 ),0.2
16. Little Humboldt,19,9,1.3,0.5,4.8,"11,435",420.8,3.2 ( 3 ),2.4 ( 3 ),0.1
17. Lower Clark Fork,140,156,9.4,10.5,64.1,"826,651","1,474.70",31.4 ( 3 ),37.1 ( 3 ),18.6
18. Lower Humboldt,9,9,0.3,0.2,1.5,"3,438",272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,121,123,9.8,9.9,57.3,"70,098",133.4,12.1 ( 1 ),12.9 ( 1 ),18
20. Lower Snake-Asotin,53,67,1.6,1.8,25.3,"32,901",333.7,2.9 ( 2 ),0.2 ( 1 ),1.6
21. Lower Snake-Tucannon,82,96,5.7,6.6,82.6,"37,991",108.3,NA,NA,8
22. Lower Yakima,30,33,1.8,1.9,24,"48,032",485,10.6 ( 2 ),14.3 ( 2 ),3.5
23. Malheur,29,28,2.3,2,23.4,"103,681",989.2,3.1 ( 3 ),2.3 ( 3 ),1.1
24. Middle Humboldt,10,4,0.4,0.1,0.8,"3,489",633,NA,NA,0
25. Northern Big Smoky Valley,25,19,1.2,1,12.8,"31,247",572.8,NA,NA,0.6
26. Northern Great Basin,13,9,0.6,0.3,2.9,"37,751","2,224.90",2.0 ( 2 ),1.3 ( 2 ),0
27. Panhandle Basins,104,107,5.2,5.4,35.2,"474,281","1,644.60",18.0 ( 3 ),19.4 ( 3 ),11.1
28. Reese,22,16,1.2,0.9,10,"24,247",496.9,5.1 ( 2 ),3.3 ( 2 ),0.4
29. Rock,7,3,0.2,0.1,0.5,"2,540",835.5,7.4 ( 1 ),6.2 ( 1 ),0
30. Salmon Basin,95,110,9.4,10.5,69.2,"6,717,926","11,950.50",16.0 ( 11 ),17.2 ( 11 ),11
31. Silver,8,7,0.3,0.2,6.2,"5,704",444.3,NA,NA,0
32. Silvies,9,9,0.4,0.4,5.9,"26,076","1,317.40",2.9 ( 2 ),3.0 ( 2 ),0.1
33. Southern Snake Basins,30,17,1.1,0.5,5.6,"351,961","12,552.70",4.1 ( 13 ),3.7 ( 11 ),0.3
34. Spokane,104,126,3.8,4.1,34.3,"684,919","3,142.80",9.5 ( 7 ),11.6 ( 8 ),8.7
35. St. Mary,122,146,9.5,11.6,65.8,"411,916",668.1,2.5 ( 1 ),4.3 ( 1 ),10.7
36. Truckee,43,32,3.3,2.4,20.2,"182,132","1,443.60",12.6 ( 9 ),10.9 ( 9 ),2.9
37. Umatilla-Walla Walla-Willow,21,25,0.7,0.7,8,"53,417","1,434.30",5.4 ( 7 ),7.1 ( 7 ),0.9
38. Upper Humboldt,22,19,0.8,0.6,5.5,"164,635","5,035.80",5.3 ( 8 ),4.3 ( 8 ),0.4
39. Walker,47,39,2.4,2.3,21.5,"234,014","1,942.90",14.6 ( 7 ),13.3 ( 7 ),2
40. West Central Basins,63,68,7.5,8,60.1,"2,445,186","5,702.10",12.1 ( 16 ),12.4 ( 16 ),7.9
