,,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,Elevation Band,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",3,0,0.1,0,0.2,173,240.2,NA,NA,0
1. Alvord Lake,"7,000-8,000'",30,8,2.9,0.8,7.8,"3,022",69.9,NA,NA,0
1. Alvord Lake,"8,000-9,000'",66,45,11,7.8,55.8,"4,766",11.5,NA,NA,0.8
1. Alvord Lake,"9,000-10,000'",77,64,14.5,12.6,77.1,779,1.2,NA,NA,2.2
2. Bitterroot,"5,000-6,000'",54,52,2.4,2.2,22.6,"75,621",657.5,13.6 ( 2 ),10.8 ( 2 ),3.7
2. Bitterroot,"6,000-7,000'",112,105,8.9,8.9,64.2,"339,763",718,23.1 ( 2 ),22.2 ( 2 ),11.6
2. Bitterroot,"7,000-8,000'",143,134,16.6,17.2,87.9,"442,589",483.4,NA,NA,18.8
2. Bitterroot,"8,000-9,000'",149,142,21.7,23,87.2,"114,884",93.8,NA,NA,23.4
2. Bitterroot,"9,000-10,000'",134,129,22.9,24.2,79,"2,988",2.3,NA,NA,24.7
3. Carson,"5,000-6,000'",0,0,0,0,0,0,619.1,NA,NA,0
3. Carson,"6,000-7,000'",2,1,0.1,0,0.2,353,354.2,0.0 ( 1 ),0.0 ( 1 ),0
3. Carson,"7,000-8,000'",31,17,3.5,1.8,18.7,"20,601",220.1,9.6 ( 1 ),5.5 ( 1 ),1
3. Carson,"8,000-9,000'",54,33,10.7,6.3,60.6,"52,647",155.7,14.2 ( 5 ),9.7 ( 5 ),4.5
3. Carson,"9,000-10,000'",64,37,15.2,9,75.4,"22,496",46.8,NA,NA,8.5
3. Carson,">10,000'",74,40,18.5,10.7,78.2,"6,796",11.9,NA,NA,10.7
4. Clearwater Basin,"3,000-4,000'",46,37,0.8,0.5,10.1,"62,342","2,282.20",4.3 ( 1 ),2.8 ( 1 ),2.1
4. Clearwater Basin,"4,000-5,000'",80,63,3.4,2.6,28,"276,872","1,966.60",13.7 ( 1 ),9.9 ( 1 ),9.7
4. Clearwater Basin,"5,000-6,000'",143,126,10.2,9.8,60.5,"950,297","1,812.30",31.0 ( 6 ),30.5 ( 6 ),19.3
4. Clearwater Basin,"6,000-7,000'",161,146,17.2,17.4,86.3,"1,058,154","1,138.30",19.7 ( 2 ),19.4 ( 2 ),24
4. Clearwater Basin,"7,000-8,000'",150,139,20.4,21.1,91.5,"297,212",264.1,NA,NA,23.8
4. Clearwater Basin,"8,000-9,000'",144,135,21.9,22.8,88.4,"14,194",11.7,NA,NA,23.5
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,0.4,13,793.5,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",0,0,0,0,0,31,"2,365.00",NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",5,1,0.2,0.1,1.1,"2,531",760.6,2.6 ( 1 ),0.0 ( 1 ),0
5. Clover Valley and Franklin,"8,000-9,000'",31,15,2.9,1.3,15.3,"11,157",155.8,1.6 ( 1 ),0.0 ( 1 ),0.2
5. Clover Valley and Franklin,"9,000-10,000'",62,45,9,6.7,52.8,"12,237",34.1,NA,NA,1.8
5. Clover Valley and Franklin,"10,000-11,000'",73,61,11.8,10.3,62.8,"3,302",6,NA,NA,5
6. Donner und Blitzen,"6,000-7,000'",15,1,1.2,0,0.5,293,138.9,3.2 ( 1 ),0.0 ( 1 ),0
6. Donner und Blitzen,"7,000-8,000'",51,17,7.1,2.4,26.3,"7,653",59.8,11.5 ( 1 ),9.6 ( 1 ),0.7
