,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",0,0,0,0,0,46,240.2,NA,NA,0.0 ( 1 ),0
1. Alvord Lake,"7,000-8,000'",8,3,0.8,0.3,2.6,"1,015",69.9,NA,NA,0.0 ( 2 ),0
1. Alvord Lake,"8,000-9,000'",45,32,7.8,5.8,43,"3,582",11.5,NA,NA,NA,0.2
1. Alvord Lake,"9,000-10,000'",64,53,12.6,11.3,66.4,700,1.2,NA,NA,NA,0.5
2. Bitterroot,"5,000-6,000'",52,44,2.2,1.7,16.8,"58,337",657.5,10.8 ( 2 ),8.1 ( 2 ),0.5 ( 1 ),3.7
2. Bitterroot,"6,000-7,000'",105,89,8.9,8.2,59.1,"315,305",718,22.2 ( 2 ),21.5 ( 2 ),NA,11.2
2. Bitterroot,"7,000-8,000'",134,108,17.2,16.4,86.1,"422,598",483.4,NA,NA,NA,18.8
2. Bitterroot,"8,000-9,000'",142,113,23,21.6,87.6,"108,147",93.8,NA,NA,NA,23.7
2. Bitterroot,"9,000-10,000'",129,103,24.2,22.5,81.1,"2,775",2.3,NA,NA,NA,24.6
3. Carson,"5,000-6,000'",0,0,0,0,0,0,619.1,NA,NA,NA,0
3. Carson,"6,000-7,000'",1,0,0,0,0,0,354.2,0.0 ( 1 ),0.0 ( 1 ),NA,0
3. Carson,"7,000-8,000'",17,5,1.8,0.5,6.7,"5,693",220.1,5.5 ( 1 ),1.0 ( 1 ),0.0 ( 1 ),0.4
3. Carson,"8,000-9,000'",33,15,6.3,3.2,37,"26,721",155.7,9.7 ( 5 ),4.6 ( 5 ),NA,2.4
3. Carson,"9,000-10,000'",37,22,9,5.9,60.4,"14,676",46.8,NA,NA,NA,5.5
3. Carson,">10,000'",40,24,10.7,7.5,71.6,"4,778",11.9,NA,NA,NA,8.3
4. Clearwater Basin,"3,000-4,000'",37,33,0.5,0.3,5.8,"40,646","2,282.20",2.8 ( 1 ),0.2 ( 1 ),0.0 ( 1 ),1.3
4. Clearwater Basin,"4,000-5,000'",63,58,2.6,2.4,23.7,"249,374","1,966.60",9.9 ( 1 ),7.8 ( 1 ),0.0 ( 1 ),8.5
4. Clearwater Basin,"5,000-6,000'",126,105,9.8,9.3,57.9,"898,676","1,812.30",30.5 ( 6 ),30.5 ( 6 ),NA,18.7
4. Clearwater Basin,"6,000-7,000'",146,118,17.4,16.6,84.7,"1,005,924","1,138.30",19.4 ( 2 ),19.5 ( 2 ),NA,24.3
4. Clearwater Basin,"7,000-8,000'",139,109,21.1,19.8,91.9,"278,463",264.1,NA,NA,NA,24.2
4. Clearwater Basin,"8,000-9,000'",135,107,22.8,21,92.4,"13,106",11.7,NA,NA,NA,24.3
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,0.3,0,793.5,NA,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",0,0,0,0,0,0,"2,365.00",NA,NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",1,0,0.1,0,0.3,460,760.6,0.0 ( 1 ),0.3 ( 1 ),NA,0
5. Clover Valley and Franklin,"8,000-9,000'",15,10,1.3,0.7,8.9,"5,765",155.8,0.0 ( 1 ),0.0 ( 1 ),NA,0
5. Clover Valley and Franklin,"9,000-10,000'",45,34,6.7,4.9,39,"8,870",34.1,NA,NA,7.8 ( 1 ),0.7
5. Clover Valley and Franklin,"10,000-11,000'",61,49,10.3,8.4,51.7,"2,675",6,NA,NA,NA,2.3
6. Donner und Blitzen,"6,000-7,000'",1,0,0,0,0.3,170,138.9,0.0 ( 1 ),0.0 ( 1 ),NA,0
6. Donner und Blitzen,"7,000-8,000'",17,10,2.4,1.4,14.6,"4,509",59.8,9.6 ( 1 ),7.8 ( 1 ),NA,0.1
6. Donner und Blitzen,"8,000-9,000'",51,40,9.4,8.1,61.5,"8,249",19.1,NA,NA,NA,0.5
6. Donner und Blitzen,"9,000-10,000'",67,42,13.7,9.3,53.6,"1,005",2,NA,NA,NA,1
7. Dry Lake Valley,"7,000-8,000'",0,0,0,0,0,0,230.4,NA,NA,NA,0
7. Dry Lake Valley,"8,000-9,000'",1,0,0.1,0,0.3,44,53.9,NA,NA,NA,0
7. Dry Lake Valley,"9,000-10,000'",24,7,1.9,0.5,10,296,10.2,NA,NA,NA,0
7. Dry Lake Valley,"10,000-11,000'",58,35,7,4.5,46.3,438,1.8,NA,NA,NA,0
8. Eastern Nevada,"7,000-8,000'",0,0,0,0,0,0,"2,847.80",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 3 ),0
8. Eastern Nevada,"8,000-9,000'",2,0,0.1,0,0.3,792,"1,111.30",0.0 ( 3 ),0.0 ( 3 ),1.2 ( 3 ),0
8. Eastern Nevada,"9,000-10,000'",20,6,1.6,0.4,6.5,"6,684",309.5,5.6 ( 2 ),3.0 ( 2 ),4.8 ( 2 ),0.2
8. Eastern Nevada,"10,000-11,000'",52,28,5.7,3,34.3,"14,272",87.8,7.3 ( 2 ),2.3 ( 2 ),NA,1.5
8. Eastern Nevada,">11,000'",62,39,7.9,5.2,42.7,"5,227",18.8,NA,NA,NA,2.9
9. Flathead,"3,000-4,000'",26,13,0.4,0.1,1.6,"11,019","2,118.20",5.4 ( 1 ),4.7 ( 1 ),NA,0.1
9. Flathead,"4,000-5,000'",70,63,2.4,1.7,17.1,"179,191","1,920.60",6.6 ( 3 ),5.7 ( 3 ),1.5 ( 8 ),3.3
9. Flathead,"5,000-6,000'",131,118,8.4,7.9,52.5,"705,340","1,682.00",14.9 ( 3 ),14.4 ( 3 ),11.0 ( 7 ),15.8
9. Flathead,"6,000-7,000'",175,152,16.7,16.5,82.6,"1,228,216","1,392.90",31.5 ( 6 ),32.5 ( 6 ),28.0 ( 3 ),29.2
9. Flathead,"7,000-8,000'",196,173,22.2,22.1,87.1,"579,414",491.4,NA,NA,NA,34.8
9. Flathead,"8,000-9,000'",207,179,26.2,25.6,84.4,"51,571",37.7,NA,NA,NA,34.4
9. Flathead,"9,000-10,000'",262,216,29.2,28.9,74.6,"2,528",1.6,NA,NA,NA,26.3
10. Grande Ronde-Burnt-Powder-Imnaha,"4,000-5,000'",6,5,0.2,0.1,1.6,"18,324","3,104.90",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0.2
10. Grande Ronde-Burnt-Powder-Imnaha,"5,000-6,000'",27,18,2.2,1.4,14.8,"100,773","1,382.50",5.2 ( 7 ),3.7 ( 7 ),3.1 ( 3 ),1.8
10. Grande Ronde-Burnt-Powder-Imnaha,"6,000-7,000'",71,57,9.8,8.2,60.3,"208,743",477.3,0.0 ( 1 ),0.0 ( 1 ),5.7 ( 2 ),6.7
10. Grande Ronde-Burnt-Powder-Imnaha,"7,000-8,000'",102,87,21.1,19,86.5,"274,581",271.5,10.4 ( 2 ),9.5 ( 2 ),36.6 ( 2 ),10.7
10. Grande Ronde-Burnt-Powder-Imnaha,"8,000-9,000'",110,94,26.3,23.7,80.3,"98,164",77.8,NA,NA,NA,11.6
10. Grande Ronde-Burnt-Powder-Imnaha,"9,000-10,000'",101,85,20.1,18.3,68.3,"1,883",1.9,NA,NA,NA,5
11. Guano,"5,000-6,000'",0,0,0,0,0,0,"1,512.90",0.0 ( 1 ),0.0 ( 1 ),NA,0
