,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Belle Fourche,4,0.2,7.8,"60,540","7,233.40",1.6 ( 1 ),2.3 ( 4 ),0.1
2. Bighorn,47,1.4,17.8,"673,697","8,864.60",6.4 ( 8 ),4.8 ( 4 ),0.8
3. Cheyenne,5,0.1,6.8,"62,658","15,359.30",3.6 ( 2 ),0.5 ( 2 ),0.1
4. Gallatin,66,3.4,31.8,"333,859","1,848.40",11.0 ( 4 ),7.3 ( 1 ),4
5. Glendo,56,3.8,62.4,"143,176",714.1,2.5 ( 4 ),NA,0.3
6. Jefferson,70,3.7,40.8,"1,726,682","8,812.20",7.7 ( 14 ),3.8 ( 3 ),2.4
7. Lower Bighorn,18,0.4,6.2,"62,838","3,259.10",NA,NA,0.2
8. Lower No Platte,22,1.1,13.7,"49,225",824,NA,NA,0
9. Lower Shoshone,12,0.2,3,"16,427","1,474.60",NA,NA,0
10. Madison Headwaters in WY,82,4.5,45.5,"615,202","2,557.60",10.3 ( 7 ),5.6 ( 3 ),6.3
11. Powder,13,0.3,4,"180,828","13,397.20",3.7 ( 5 ),NA,0.2
12. Smith-Judith-Musselshell,23,0.8,12.1,"374,898","8,339.80",7.2 ( 9 ),2.4 ( 1 ),0.4
13. Snake,102,8.2,84.6,"2,509,312","5,741.50",12.9 ( 11 ),7.3 ( 11 ),9.3
14. Sun-Teton-Marias,35,0.9,8.8,"489,955","10,541.30",5.5 ( 5 ),5.1 ( 1 ),1
15. Sweetwater,50,2.6,35.3,"167,077","1,201.20",6.2 ( 2 ),6.1 ( 1 ),0.6
16. Tongue,19,0.4,8.1,"109,784","5,405.20",3.3 ( 6 ),5.0 ( 3 ),0.4
17. Upper Clark Fork,67,3,33.6,"957,561","6,006.90",7.7 ( 12 ),3.2 ( 13 ),3.3
18. Upper Green,61,3.9,39.9,"1,980,932","9,583.60",7.8 ( 21 ),10.9 ( 1 ),2.9
19. Upper Missouri,26,1,11.6,"154,730","2,956.30",3.8 ( 2 ),2.8 ( 3 ),0.4
20. Upper No Platte,41,2.3,33.7,"938,025","7,590.10",9.7 ( 16 ),7.1 ( 9 ),2.1
21. Upper Shoshone,110,5.9,48.3,"474,712","1,505.30",8.9 ( 4 ),NA,6.7
22. Upper Snake Basins,60,3.6,57.1,"1,324,891","6,974.50",8.3 ( 11 ),7.6 ( 13 ),3.7
23. Upper Yellowstone,90,3.8,33,"2,271,968","11,233.00",10.0 ( 20 ),5.0 ( 2 ),4.8
24. Wind,61,2,19.4,"841,568","7,750.00",6.9 ( 9 ),3.9 ( 7 ),1.8
25. Wood and Lost Basins,60,3.8,44,"1,522,111","7,420.10",8.0 ( 16 ),5.5 ( 4 ),2.9
