,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Belle Fourche,"2,000-3,000'",0,0,0,0,"1,734.80",NA,NA,0
1. Belle Fourche,"3,000-4,000'",0,0,0.7,743,"1,717.40",NA,NA,0
1. Belle Fourche,"4,000-5,000'",1,0.1,7.8,"17,145","2,849.60",NA,0.6 ( 1 ),0
1. Belle Fourche,"5,000-6,000'",7,0.5,23.4,"17,963",721.2,1.6 ( 1 ),2.9 ( 1 ),0.1
1. Belle Fourche,"6,000-7,000'",35,2.2,76,"24,427",208.1,NA,2.8 ( 2 ),1.9
1. Belle Fourche,"7,000-8,000'",42,2.1,72.1,262,2.3,NA,NA,3.2
2. Bighorn,"3,000-4,000'",0,0,0,9,273.6,NA,NA,0
2. Bighorn,"4,000-5,000'",0,0,0.5,833,"3,531.10",NA,NA,0
2. Bighorn,"5,000-6,000'",3,0.1,5.9,"12,853","1,949.70",NA,NA,0
2. Bighorn,"6,000-7,000'",31,1.2,24.7,"69,536","1,082.60",NA,NA,0
2. Bighorn,"7,000-8,000'",58,2.8,40.8,"108,112",715.4,1.9 ( 2 ),NA,0.7
2. Bighorn,"8,000-9,000'",82,4.8,61.4,"139,607",541.1,NA,4.0 ( 3 ),2.6
2. Bighorn,"9,000-10,000'",102,6.9,71.2,"157,389",427.2,7.6 ( 5 ),7.0 ( 1 ),5.9
2. Bighorn,"10,000-11,000'",122,9.5,72.5,"123,750",243.8,9.0 ( 1 ),NA,7.8
2. Bighorn,"11,000-12,000'",129,11.5,76.9,"56,480",92.4,NA,NA,7
2. Bighorn,">12,000'",131,12.6,72.3,"5,126",7.6,NA,NA,5.8
3. Cheyenne,"2,000-3,000'",0,0,0.1,0,"3,402.70",NA,NA,0
3. Cheyenne,"3,000-4,000'",0,0,5.1,1,"3,673.10",NA,NA,0
3. Cheyenne,"4,000-5,000'",0,0,4.7,"1,147","5,669.50",NA,NA,0
3. Cheyenne,"5,000-6,000'",2,0.2,15.9,"17,167","2,131.40",NA,0.5 ( 1 ),0.1
3. Cheyenne,"6,000-7,000'",35,1.7,52.8,"43,876",478.2,3.6 ( 2 ),0.4 ( 1 ),1.4
3. Cheyenne,"7,000-8,000'",31,2,58.6,467,4.4,NA,NA,2.1
