,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,4,3,0.1,0.1,4.1,"34,080","7,233.40",1.8 ( 1 ),1.7 ( 1 ),0.2
2. Bighorn,37,38,1.3,1.4,13.1,"639,503","8,864.60",6.5 ( 8 ),7.5 ( 7 ),0.9
3. Cheyenne,4,3,0,0,1.8,"39,556","15,359.30",3.9 ( 2 ),3.7 ( 2 ),0.1
4. Gallatin,58,66,3.5,4,37.6,"395,925","1,848.40",11.0 ( 4 ),12.3 ( 4 ),4.8
5. Glendo,44,37,3.5,2.7,34,"103,858",714.1,2.5 ( 4 ),2.6 ( 4 ),0.4
6. Jefferson,60,62,3.7,3.8,37.3,"1,790,985","8,812.20",7.8 ( 14 ),8.7 ( 14 ),2.9
7. Lower Bighorn,15,16,0.3,0.3,4.3,"60,566","3,259.10",NA,NA,0.2
8. Lower No Platte,8,7,0.5,0.4,4,"16,284",824,NA,NA,0
9. Lower Shoshone,9,8,0.2,0.2,1.9,"12,490","1,474.60",NA,NA,0
10. Madison Headwaters in WY,72,76,4.7,4.9,46.9,"671,471","2,557.60",10.6 ( 6 ),11.3 ( 7 ),7
11. Powder,10,11,0.2,0.2,2.8,"174,197","13,397.20",3.7 ( 5 ),3.9 ( 5 ),0.2
12. Smith-Judith-Musselshell,16,66,0.7,2.9,70.4,"1,311,926","8,339.80",7.1 ( 9 ),8.0 ( 9 ),1
13. Snake,92,97,8.7,9.2,87.1,"2,818,590","5,741.50",13.0 ( 11 ),14.1 ( 11 ),10.4
14. Sun-Teton-Marias,26,30,0.8,0.8,6.9,"467,917","10,541.30",5.2 ( 5 ),5.6 ( 5 ),1.2
15. Sweetwater,38,34,2.3,2.1,25.8,"133,899","1,201.20",6.1 ( 2 ),6.4 ( 2 ),0.7
16. Tongue,15,16,0.4,0.4,4.5,"113,198","5,405.20",3.3 ( 6 ),3.3 ( 6 ),0.4
17. Upper Clark Fork,54,68,2.8,3.6,38.2,"1,154,402","6,006.90",8.3 ( 11 ),9.2 ( 11 ),4.8
18. Upper Green,52,51,3.8,3.7,35.3,"1,898,741","9,583.60",7.8 ( 21 ),8.2 ( 21 ),3.2
19. Upper Missouri,19,35,0.8,1.5,20.5,"237,246","2,956.30",3.7 ( 2 ),4.3 ( 2 ),1.5
20. Upper No Platte,31,31,2.1,2,27.3,"799,987","7,590.10",9.8 ( 16 ),10.8 ( 16 ),2.6
21. Upper Shoshone,99,105,6.1,6.8,54.1,"542,970","1,505.30",9.0 ( 4 ),9.8 ( 4 ),7.8
22. Upper Snake Basins,53,60,3.8,3.9,50.1,"1,465,598","6,974.50",6.8 ( 10 ),7.4 ( 10 ),3.9
23. Upper Yellowstone,79,91,4,4.6,43.4,"2,761,053","11,233.00",10.0 ( 20 ),11.1 ( 20 ),5.6
24. Wind,52,56,2.1,2.1,18.6,"887,899","7,750.00",6.9 ( 9 ),7.2 ( 9 ),2
25. Wood and Lost Basins,52,52,3.8,3.8,37.7,"1,517,210","7,420.10",8.0 ( 16 ),8.6 ( 16 ),3.3
