,,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,Elevation Band,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,734.80",NA,NA,0
1. Belle Fourche,"3,000-4,000'",0,0,0,0,0,0,"1,717.40",NA,NA,0
1. Belle Fourche,"4,000-5,000'",0,0,0,0,0,20,"2,849.60",NA,NA,0
1. Belle Fourche,"5,000-6,000'",7,3,0.3,0.2,16.1,"8,937",721.2,1.8 ( 1 ),1.7 ( 1 ),0.6
1. Belle Fourche,"6,000-7,000'",36,29,1.7,2.2,84.7,"24,853",208.1,NA,NA,3.1
1. Belle Fourche,"7,000-8,000'",42,36,1.8,2.2,70.8,271,2.3,NA,NA,4.4
2. Bighorn,"3,000-4,000'",0,0,0,0,0,0,273.6,NA,NA,0
2. Bighorn,"4,000-5,000'",0,0,0,0,0,0,"3,531.10",NA,NA,0
2. Bighorn,"5,000-6,000'",1,0,0,0,0.5,"1,440","1,949.70",NA,NA,0
2. Bighorn,"6,000-7,000'",15,10,0.5,0.5,8,"28,573","1,082.60",NA,NA,0
2. Bighorn,"7,000-8,000'",45,43,2.3,2.6,28.5,"97,831",715.4,1.9 ( 2 ),4.1 ( 1 ),0.7
2. Bighorn,"8,000-9,000'",69,69,4.6,4.9,55,"141,595",541.1,NA,NA,3.1
2. Bighorn,"9,000-10,000'",91,91,7,7.3,70.3,"167,421",427.2,7.8 ( 5 ),7.8 ( 5 ),6.8
2. Bighorn,"10,000-11,000'",111,113,9.9,10.4,76.4,"135,502",243.8,9.0 ( 1 ),9.3 ( 1 ),8.9
2. Bighorn,"11,000-12,000'",118,120,12,12.5,80.2,"61,501",92.4,NA,NA,8
2. Bighorn,">12,000'",119,122,13.3,13.9,71.3,"5,641",7.6,NA,NA,6.7
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,402.70",NA,NA,0
3. Cheyenne,"3,000-4,000'",0,0,0,0,0,0,"3,673.10",NA,NA,0
3. Cheyenne,"4,000-5,000'",0,0,0,0,0.1,21,"5,669.50",NA,NA,0
3. Cheyenne,"5,000-6,000'",2,0,0,0,2.9,"3,463","2,131.40",NA,NA,0.3
3. Cheyenne,"6,000-7,000'",33,24,1.3,1.4,43.5,"35,723",478.2,3.9 ( 2 ),3.7 ( 2 ),2.4
3. Cheyenne,"7,000-8,000'",33,18,1.4,1.5,47.2,348,4.4,NA,NA,3.2
4. Gallatin,"4,000-5,000'",0,1,0,0,0.4,819,462.7,NA,NA,0
4. Gallatin,"5,000-6,000'",0,18,0,1,17.4,"15,894",296.9,NA,NA,0.2
4. Gallatin,"6,000-7,000'",28,41,1.6,2.5,31.4,"37,243",279.8,NA,NA,2.2
4. Gallatin,"7,000-8,000'",74,79,4.9,5.4,57.5,"107,278",372.8,3.5 ( 1 ),4.5 ( 1 ),6.7
4. Gallatin,"8,000-9,000'",108,113,8.3,8.8,74,"149,095",315.9,11.2 ( 2 ),12.5 ( 2 ),12.1
